Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,177.908559,[  7 104] ; [390 138],[68.96244131 42.03755869] ; [328.03755869 199.96244131],1
d4,1,0.0,127.323367,[50 60] ; [476  51],[90.83202512 19.16797488] ; [435.16797488  91.83202512],1
d3,1,0.0,50.702307,[44 66] ; [394 134],[75.51724138 34.48275862] ; [362.48275862 165.51724138],1
a4,1,0.0,42.3903,[22 86] ; [288 238],[52.80757098 55.19242902] ; [257.19242902 268.80757098],1
d2,1,0.0,38.272069,[29 82] ; [306 218],[58.55905512 52.44094488] ; [276.44094488 247.55905512],1
a5,1,0.0,36.267911,[60 50] ; [429  99],[84.31034483 25.68965517] ; [404.68965517 123.31034483],1
a3,1,0.0,35.41506,[55 54] ; [411 115],[79.99055118 29.00944882] ; [386.00944882 139.99055118],1
u1,1,0.0,27.365154,[  3 108] ; [132 396],[23.45070423 87.54929577] ; [111.54929577 416.45070423],1
a2,1,1e-06,25.246109,[  8 103] ; [160 368],[29.18309859 81.81690141] ; [138.81690141 389.18309859],1
p2,1,4.8e-05,16.51033,[78 31] ; [458  68],[92.00629921 16.99370079] ; [443.99370079  82.00629921],1
r3,1,0.00021,13.738526,[97 13] ; [506  18],[104.6214511   5.3785489] ; [498.3785489  25.6214511],1
p4,1,0.00145,10.141571,[55 53] ; [352 173],[69.44075829 38.55924171] ; [337.55924171 187.44075829],0
s8,1,0.001742,9.803404,[38 71] ; [269 255],[52.86413902 56.13586098] ; [254.13586098 269.86413902],0
p1,1,0.002141,9.424814,[20 89] ; [ 45 481],[11.15748031 97.84251969] ; [ 53.84251969 472.15748031],0
p9,1,0.003148,8.719386,[83 24] ; [460  61],[92.51751592 14.48248408] ; [450.48248408  70.51751592],0
r1,1,0.005167,7.820177,[80 31] ; [438  87],[90.40566038 20.59433962] ; [427.59433962  97.40566038],0
r4,1,0.00557,7.68453,[94 17] ; [490  38],[101.44600939   9.55399061] ; [482.55399061  45.44600939],0
s6,1,0.007264,7.206568,[63 44] ; [370 144],[74.60708535 32.39291465] ; [358.39291465 155.60708535],0
r2,1,0.007546,7.13829,[100  11] ; [498  20],[105.52941176   5.47058824] ; [492.47058824  25.52941176],0
p3,1,0.01093,6.476591,[47 62] ; [297 229],[59.0488189 49.9511811] ; [284.9511811 241.0488189],0
