Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.005256,7.789235,[59 14] ; [10 10],[54.16129032 18.83870968] ; [14.83870968  5.16129032],0
s8,1,0.006355,7.446671,[45 25] ; [ 6 14],[39.66666667 30.33333333] ; [11.33333333  8.66666667],0
d2,1,0.006744,7.339915,[39 33] ; [ 4 16],[33.65217391 38.34782609] ; [ 9.34782609 10.65217391],0
r4,1,0.010044,6.627017,[67  6] ; [14  6],[63.58064516  9.41935484] ; [17.41935484  2.58064516],0
s3,1,0.012111,6.294555,[47 24] ; [ 7 13],[42.13186813 28.86813187] ; [11.86813187  8.13186813],0
r2,1,0.015167,5.896917,[68  5] ; [14  5],[65.06521739  7.93478261] ; [16.93478261  2.06521739],0
v3,1,0.02661,4.915966,[44 26] ; [ 7 13],[39.66666667 30.33333333] ; [11.33333333  8.66666667],0
s7,1,0.027862,4.836567,[52 16] ; [9 9],[48.23255814 19.76744186] ; [12.76744186  5.23255814],0
p1,1,0.043414,4.079199,[24 49] ; [ 2 18],[20.40860215 52.59139785] ; [ 5.59139785 14.40860215],0
a5,1,0.052219,3.76874,[59 14] ; [12  8],[55.7311828 17.2688172] ; [15.2688172  4.7311828],0
a4,1,0.066314,3.371971,[35 38] ; [ 5 15],[31.39784946 41.60215054] ; [ 8.60215054 11.39784946],0
a2,1,0.08286,3.007887,[16 57] ; [ 1 19],[13.34408602 59.65591398] ; [ 3.65591398 16.34408602],0
d5,1,0.104108,2.641451,[59 13] ; [13  7],[56.34782609 15.65217391] ; [15.65217391  4.34782609],0
a1,1,0.131863,2.270434,[ 6 67] ; [ 4 16],[ 7.84946237 65.15053763] ; [ 2.15053763 17.84946237],0
u2,1,0.134481,2.24,[7 7] ; [8 2],[8.75 5.25] ; [6.25 3.75],0
n6,1,0.136467,2.217349,[68  4] ; [16  3],[66.46153846  5.53846154] ; [17.53846154  1.46153846],0
n1,1,0.169686,1.885714,[9 6] ; [2 5],[7.5 7.5] ; [3.5 3.5],0
s2,1,0.179078,1.805263,[41 31] ; [ 8 12],[38.34782609 33.65217391] ; [10.65217391  9.34782609],0
p6,1,0.20037,1.639676,[44 28] ; [ 8 10],[41.6 30.4] ; [10.4  7.6],0
n4,1,0.201483,1.631589,[66  7] ; [16  4],[64.3655914  8.6344086] ; [17.6344086  2.3655914],0
n5,1,0.201483,1.631589,[66  7] ; [16  4],[64.3655914  8.6344086] ; [17.6344086  2.3655914],0
s6,1,0.216437,1.527842,[57 12] ; [14  6],[55.04494382 13.95505618] ; [15.95505618  4.04494382],0
d1,1,0.221568,1.494184,[44 29] ; [ 9 11],[41.60215054 31.39784946] ; [11.39784946  8.60215054],0
n2,1,0.225709,1.4677,[13  3] ; [4 3],[11.82608696  4.17391304] ; [5.17391304 1.82608696],0
