Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,3e-06,22.139208,[ 4 13] ; [89 24],[12.16153846  4.83846154] ; [80.83846154 32.16153846],1
r3,1,1e-05,19.504762,[11  5] ; [109   3],[15.  1.] ; [105.   7.],1
n6,1,0.000103,15.072642,[9 8] ; [101  12],[14.38461538  2.61538462] ; [95.61538462 17.38461538],1
v4,1,0.000222,13.636287,[12  4] ; [110   3],[15.13178295  0.86821705] ; [106.86821705   6.13178295],1
u3,1,0.002723,8.984649,[1 7] ; [22  9],[4.71794872 3.28205128] ; [18.28205128 12.71794872],0
d4,1,0.011828,6.336457,[9 8] ; [91 22],[13.07692308  3.92307692] ; [86.92307692 26.07692308],0
s6,1,0.019147,5.488003,[7 9] ; [80 30],[11.04761905  4.95238095] ; [75.95238095 34.04761905],0
r2,1,0.02003,5.409268,[12  3] ; [107   5],[14.05511811  0.94488189] ; [104.94488189   7.05511811],0
d1,1,0.03019,4.698446,[ 5 12] ; [65 48],[9.15384615 7.84615385] ; [60.84615385 52.15384615],0
a3,1,0.03363,4.513419,[8 9] ; [82 31],[11.76923077  5.23076923] ; [78.23076923 34.76923077],0
s5,1,0.0851,2.964698,[ 2 11] ; [43 65],[4.83471074 8.16528926] ; [40.16528926 67.83471074],0
n4,1,0.089093,2.890694,[10  7] ; [88 25],[12.81538462  4.18461538] ; [85.18461538 27.81538462],0
p11,1,0.130605,2.285294,[10  7] ; [86 27],[12.55384615  4.44615385] ; [83.44615385 29.55384615],0
d3,1,0.137449,2.206293,[8 8] ; [77 35],[10.625  5.375] ; [74.375 37.625],0
p9,1,0.140759,2.16964,[12  5] ; [96 17],[14.12307692  2.87692308] ; [93.87692308 19.12307692],0
b5,1,0.155951,2.013052,[12  5] ; [59 54],[9.28461538 7.71538462] ; [61.71538462 51.28461538],0
p3,1,0.16406,1.936398,[8 9] ; [73 40],[10.59230769  6.40769231] ; [70.40769231 42.59230769],0
p10,1,0.177901,1.815069,[10  6] ; [88 25],[12.15503876  3.84496124] ; [85.84496124 27.15503876],0
b1,1,0.181921,1.781863,[10  7] ; [47 66],[7.45384615 9.54615385] ; [49.54615385 63.45384615],0
a5,1,0.188768,1.72721,[9 8] ; [78 35],[11.37692308  5.62307692] ; [75.62307692 37.37692308],0
b4,1,0.217646,1.519825,[ 6 11] ; [58 55],[8.36923077 8.63076923] ; [55.63076923 57.36923077],0
p5,1,0.244138,1.356538,[ 1 16] ; [19 94],[ 2.61538462 14.38461538] ; [17.38461538 95.61538462],0
n3,1,0.277471,1.179435,[5 3] ; [25  6],[6.15384615 1.84615385] ; [23.84615385  7.15384615],0
p1,1,0.307867,1.039802,[ 1 16] ; [17 96],[ 2.35384615 14.64615385] ; [15.64615385 97.35384615],0
a2,1,0.326268,0.963654,[ 2 15] ; [25 88],[ 3.53076923 13.46923077] ; [23.46923077 89.53076923],0
a4,1,0.33536,0.928088,[ 6 11] ; [54 59],[7.84615385 9.15384615] ; [52.15384615 60.84615385],0
p4,1,0.357687,0.845997,[11  6] ; [85 28],[12.55384615  4.44615385] ; [83.44615385 29.55384615],0
s4,1,0.406586,0.688761,[ 6 11] ; [28 81],[ 4.58730159 12.41269841] ; [29.41269841 79.58730159],0
p7,1,0.413108,0.669837,[11  4] ; [92 20],[12.16535433  2.83464567] ; [90.83464567 21.16535433],0
d5,1,0.416619,0.659831,[11  6] ; [83 29],[12.3875969  4.6124031] ; [81.6124031 30.3875969],0
v3,1,0.42101,0.647495,[ 3 14] ; [30 82],[ 4.34883721 12.65116279] ; [28.65116279 83.34883721],0
d2,1,0.435143,0.609058,[ 7 10] ; [58 55],[8.5 8.5] ; [56.5 56.5],0
a8,1,0.435883,0.607097,[ 1 15] ; [14 93],[ 1.95121951 14.04878049] ; [13.04878049 93.95121951],0
p2,1,0.472295,0.516601,[14  3] ; [100  13],[14.90769231  2.09230769] ; [99.09230769 13.90769231],0
u1,1,0.492116,0.471897,[ 2 15] ; [21 92],[ 3.00769231 13.99230769] ; [19.99230769 93.00769231],0
a6,1,0.592185,0.286945,[10  7] ; [74 39],[10.98461538  6.01538462] ; [73.01538462 39.98461538],0
s8,1,0.610274,0.259777,[ 6 10] ; [50 63],[6.94573643 9.05426357] ; [49.05426357 63.94573643],0
v2,1,0.658152,0.195777,[ 5 11] ; [41 70],[ 5.79527559 10.20472441] ; [40.20472441 70.79527559],0
b3,1,0.695161,0.153554,[3 5] ; [30 37],[3.52 4.48] ; [29.48 37.52],0
b2,1,0.695161,0.153554,[3 5] ; [30 37],[3.52 4.48] ; [29.48 37.52],0
p8,1,0.696707,0.151921,[10  7] ; [72 41],[10.72307692  6.27692308] ; [71.27692308 41.72307692],0
n5,1,0.727879,0.121068,[12  4] ; [80 33],[11.41085271  4.58914729] ; [80.58914729 32.41085271],0
s3,1,0.764395,0.089828,[9 7] ; [68 45],[9.5503876 6.4496124] ; [67.4496124 45.5503876],0
s1,1,0.802366,0.062643,[ 1 16] ; [  5 106],[ 0.796875 16.203125] ; [  5.203125 105.796875],0
n2,1,0.821233,0.051058,[6 2] ; [22  9],[5.74358974 2.25641026] ; [22.25641026  8.74358974],0
n1,1,0.825309,0.048718,[3 5] ; [10 20],[2.73684211 5.26315789] ; [10.26315789 19.73684211],0
a7,1,0.853971,0.033876,[11  6] ; [75 37],[11.33333333  5.66666667] ; [74.66666667 37.33333333],0
u2,1,0.905214,0.014179,[6 3] ; [20 11],[5.85 3.15] ; [20.15 10.85],0
s7,1,0.955832,0.003067,[8 6] ; [62 48],[7.90322581 6.09677419] ; [62.09677419 47.90322581],0
s2,1,0.97667,0.000855,[9 7] ; [64 49],[9.05426357 6.94573643] ; [63.94573643 49.05426357],0
