Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,8.6e-05,15.432138,[ 5 23] ; [36 21],[13.50588235 14.49411765] ; [27.49411765 29.50588235],1
a4,1,0.005362,7.752946,[ 1 27] ; [17 40],[ 5.92941176 22.07058824] ; [12.07058824 44.92941176],0
d5,1,0.007768,7.08626,[13 14] ; [44 13],[18.32142857  8.67857143] ; [38.67857143 18.32142857],0
p8,1,0.008015,7.030108,[13 15] ; [43 14],[18.44705882  9.55294118] ; [37.55294118 19.44705882],0
p11,1,0.008631,6.897609,[17 11] ; [49  8],[21.74117647  6.25882353] ; [44.25882353 12.74117647],0
v3,1,0.008829,6.857143,[ 4 24] ; [24 32],[ 9.33333333 18.66666667] ; [18.66666667 37.33333333],0
n5,1,0.016385,5.761097,[17 11] ; [48  9],[21.41176471  6.58823529] ; [43.58823529 13.41176471],0
s6,1,0.024838,5.035156,[13 14] ; [41 15],[17.56626506  9.43373494] ; [36.43373494 19.56626506],0
n4,1,0.026326,4.934503,[15 13] ; [44 13],[19.43529412  8.56470588] ; [39.56470588 17.43529412],0
p9,1,0.028936,4.771399,[17 11] ; [47 10],[21.08235294  6.91764706] ; [42.91764706 14.08235294],0
d1,1,0.045237,4.009785,[ 4 24] ; [20 37],[ 7.90588235 20.09411765] ; [16.09411765 40.90588235],0
d2,1,0.050916,3.81103,[ 3 25] ; [17 40],[ 6.58823529 21.41176471] ; [13.41176471 43.58823529],0
r3,1,0.070076,3.28125,[25  3] ; [55  1],[26.66666667  1.33333333] ; [53.33333333  2.66666667],0
p2,1,0.081425,3.036226,[21  7] ; [51  6],[23.71764706  4.28235294] ; [48.28235294  8.71764706],0
p10,1,0.085335,2.960236,[16 12] ; [43 14],[19.43529412  8.56470588] ; [39.56470588 17.43529412],0
v1,1,0.089542,2.882587,[10 18] ; [31 25],[13.66666667 14.33333333] ; [27.33333333 28.66666667],0
r1,1,0.093365,2.815369,[15 13] ; [41 16],[18.44705882  9.55294118] ; [37.55294118 19.44705882],0
n6,1,0.108809,2.571429,[18 10] ; [45 11],[21.  7.] ; [42. 14.],0
n1,1,0.165403,1.924118,[5 7] ; [9 4],[6.72 5.28] ; [7.28 5.72],0
s8,1,0.174043,1.847772,[ 8 20] ; [25 32],[10.87058824 17.12941176] ; [22.12941176 34.87058824],0
d3,1,0.193519,1.690622,[12 14] ; [35 22],[14.72289157 11.27710843] ; [32.27710843 24.72289157],0
s1,1,0.205732,1.601208,[ 2 26] ; [ 1 56],[ 0.98823529 27.01176471] ; [ 2.01176471 54.98823529],0
b5,1,0.213985,1.544257,[21  7] ; [35 22],[18.44705882  9.55294118] ; [37.55294118 19.44705882],0
s7,1,0.269134,1.221156,[11 16] ; [28 24],[13.32911392 13.67088608] ; [25.67088608 26.32911392],0
a3,1,0.279951,1.167328,[12 16] ; [31 25],[14.33333333 13.66666667] ; [28.66666667 27.33333333],0
n2,1,0.293803,1.102114,[8 4] ; [11  2],[9.12 2.88] ; [9.88 3.12],0
b4,1,0.318722,0.994182,[13 15] ; [33 24],[15.15294118 12.84705882] ; [30.84705882 26.15294118],0
r4,1,0.343954,0.89564,[23  5] ; [51  6],[24.37647059  3.62352941] ; [49.62352941  7.37647059],0
u3,1,0.379631,0.771897,[7 9] ; [15 11],[8.38095238 7.61904762] ; [13.61904762 12.38095238],0
a7,1,0.390969,0.735927,[19  8] ; [34 22],[17.24096386  9.75903614] ; [35.75903614 20.24096386],0
v2,1,0.435887,0.607088,[12 15] ; [30 26],[13.6626506 13.3373494] ; [28.3373494 27.6626506],0
v4,1,0.457109,0.552964,[26  2] ; [55  2],[26.68235294  1.31764706] ; [54.31764706  2.68235294],0
a6,1,0.486754,0.483693,[16 12] ; [28 29],[14.49411765 13.50588235] ; [29.50588235 27.49411765],0
s5,1,0.507176,0.43989,[ 7 21] ; [17 36],[ 8.2962963 19.7037037] ; [15.7037037 37.2962963],0
u2,1,0.553857,0.350453,[9 7] ; [17  9],[9.9047619 6.0952381] ; [16.0952381  9.9047619],0
n3,1,0.568261,0.3256,[8 4] ; [10  3],[8.64 3.36] ; [9.36 3.64],0
d4,1,0.574848,0.314638,[19  9] ; [42 15],[20.09411765  7.90588235] ; [40.90588235 16.09411765],0
p7,1,0.595695,0.281538,[22  5] ; [49  8],[22.82142857  4.17857143] ; [48.17857143  8.82142857],0
a8,1,0.651884,0.203533,[ 4 23] ; [10 43],[ 4.725 22.275] ; [ 9.275 43.725],0
s4,1,0.672457,0.178741,[ 5 23] ; [12 43],[ 5.73493976 22.26506024] ; [11.26506024 43.73493976],0
r2,1,0.773158,0.083086,[25  3] ; [52  5],[25.36470588  2.63529412] ; [51.63529412  5.36470588],0
p12,1,0.797345,0.065939,[ 2 26] ; [ 5 52],[ 2.30588235 25.69411765] ; [ 4.69411765 52.30588235],0
b1,1,0.825353,0.048693,[12 16] ; [23 34],[11.52941176 16.47058824] ; [23.47058824 33.52941176],0
p1,1,0.856339,0.032774,[ 4 24] ; [ 9 48],[ 4.28235294 23.71764706] ; [ 8.71764706 48.28235294],0
b2,1,0.884558,0.021081,[6 9] ; [14 23],[5.76923077 9.23076923] ; [14.23076923 22.76923077],0
b3,1,0.884558,0.021081,[6 9] ; [14 23],[5.76923077 9.23076923] ; [14.23076923 22.76923077],0
s2,1,0.939398,0.00578,[14 14] ; [28 29],[13.83529412 14.16470588] ; [28.16470588 28.83529412],0
s3,1,0.943532,0.005017,[15 13] ; [31 26],[15.15294118 12.84705882] ; [30.84705882 26.15294118],0
