Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,39.485864,[10 33] ; [74 19],[26.55882353 16.44117647] ; [57.44117647 35.55882353],1
u1,1,0.000247,13.438294,[ 2 41] ; [32 63],[10.5942029 32.4057971] ; [23.4057971 71.5942029],1
a2,1,0.000275,13.231927,[ 3 40] ; [35 60],[11.84057971 31.15942029] ; [26.15942029 68.84057971],1
b5,1,0.001912,9.632002,[14 29] ; [58 37],[22.43478261 20.56521739] ; [49.56521739 45.43478261],0
d3,1,0.009551,6.716845,[27 16] ; [78 16],[32.95620438 10.04379562] ; [72.04379562 21.95620438],0
b1,1,0.014209,6.012042,[24 19] ; [32 63],[17.44927536 25.55072464] ; [38.55072464 56.44927536],0
n6,1,0.01721,5.674869,[36  7] ; [89  4],[39.52205882  3.47794118] ; [85.47794118  7.52205882],0
p10,1,0.018222,5.574641,[38  5] ; [93  2],[40.81884058  2.18115942] ; [90.18115942  4.81884058],0
p9,1,0.018222,5.574641,[38  5] ; [93  2],[40.81884058  2.18115942] ; [90.18115942  4.81884058],0
a5,1,0.028332,4.80773,[31 12] ; [83 12],[35.52173913  7.47826087] ; [78.47826087 16.52173913],0
s2,1,0.038169,4.297462,[29 14] ; [79 16],[33.65217391  9.34782609] ; [74.34782609 20.65217391],0
p12,1,0.044601,4.033675,[ 3 39] ; [20 75],[ 7.05109489 34.94890511] ; [15.94890511 79.05109489],0
v2,1,0.056194,3.646291,[19 23] ; [59 35],[24.08823529 17.91176471] ; [53.91176471 40.08823529],0
n3,1,0.074641,3.177882,[5 7] ; [14  5],[7.35483871 4.64516129] ; [11.64516129  7.35483871],0
a3,1,0.110605,2.545553,[30 13] ; [77 17],[33.58394161  9.41605839] ; [73.41605839 20.58394161],0
v1,1,0.118808,2.432967,[25 18] ; [68 27],[28.97826087 14.02173913] ; [64.02173913 30.97826087],0
p4,1,0.120683,2.408438,[33 10] ; [82 12],[36.09489051  6.90510949] ; [78.90510949 15.09489051],0
a4,1,0.146251,2.110927,[27 16] ; [47 48],[23.05797101 19.94202899] ; [50.94202899 44.05797101],0
r4,1,0.156086,2.011739,[40  3] ; [93  2],[41.44202899  1.55797101] ; [91.55797101  3.44202899],0
r2,1,0.156086,2.011739,[40  3] ; [93  2],[41.44202899  1.55797101] ; [91.55797101  3.44202899],0
v4,1,0.156086,2.011739,[40  3] ; [93  2],[41.44202899  1.55797101] ; [91.55797101  3.44202899],0
u3,1,0.171166,1.872701,[8 5] ; [15  3],[9.64516129 3.35483871] ; [13.35483871  4.64516129],0
s4,1,0.189637,1.720434,[16 26] ; [25 68],[12.75555556 29.24444444] ; [28.24444444 64.75555556],0
