Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4.4e-05,16.689002,[2 5] ; [107  16],[5.86923077 1.13076923] ; [103.13076923  19.86923077],1
a5,1,0.011617,6.368413,[2 5] ; [90 33],[4.95384615 2.04615385] ; [87.04615385 35.95384615],0
v1,1,0.022681,5.192788,[2 5] ; [84 36],[4.74015748 2.25984252] ; [81.25984252 38.74015748],0
p11,1,0.027861,4.836624,[3 4] ; [97 26],[5.38461538 1.61538462] ; [94.61538462 28.38461538],0
s1,1,0.030854,4.661091,[1 6] ; [  2 120],[0.1627907 6.8372093] ; [  2.8372093 119.1627907],0
s2,1,0.030891,4.659034,[1 6] ; [69 54],[3.76923077 3.23076923] ; [66.23076923 56.76923077],0
p3,1,0.042382,4.119873,[1 6] ; [65 56],[3.609375 3.390625] ; [62.390625 58.609375],0
r1,1,0.055114,3.678648,[3 4] ; [93 30],[5.16923077 1.83076923] ; [90.83076923 32.16923077],0
s6,1,0.069187,3.302194,[2 5] ; [75 44],[4.27777778 2.72222222] ; [72.72222222 46.27777778],0
d4,1,0.072861,3.217359,[4 3] ; [103  20],[5.76153846 1.23846154] ; [101.23846154  21.76153846],0
p9,1,0.080281,3.059205,[4 3] ; [100  20],[5.73228346 1.26771654] ; [98.26771654 21.73228346],0
n4,1,0.106115,2.61114,[4 3] ; [100  22],[5.64341085 1.35658915] ; [98.35658915 23.64341085],0
n6,1,0.109353,2.563551,[4 3] ; [99 22],[5.6328125 1.3671875] ; [97.3671875 23.6328125],0
p2,1,0.167232,1.907586,[4 3] ; [96 25],[5.46875 1.53125] ; [94.53125 26.46875],0
p10,1,0.176609,1.82593,[4 3] ; [94 25],[5.44444444 1.55555556] ; [92.55555556 26.44444444],0
d2,1,0.19614,1.670887,[2 5] ; [66 57],[3.66153846 3.33846154] ; [64.33846154 58.66153846],0
a6,1,0.201998,1.627869,[1 6] ; [47 76],[2.58461538 4.41538462] ; [45.41538462 77.58461538],0
p6,1,0.217584,1.520235,[4 3] ; [40 77],[2.48387097 4.51612903] ; [41.51612903 75.48387097],0
b4,1,0.337395,0.920303,[5 2] ; [65 58],[3.76923077 3.23076923] ; [66.23076923 56.76923077],0
n3,1,0.414216,0.666667,[2 1] ; [23  4],[2.5 0.5] ; [22.5  4.5],0
b2,1,0.440644,0.594605,[1 3] ; [37 46],[1.74712644 2.25287356] ; [36.25287356 46.74712644],0
b3,1,0.440644,0.594605,[1 3] ; [37 46],[1.74712644 2.25287356] ; [36.25287356 46.74712644],0
d3,1,0.449496,0.571921,[2 5] ; [53 70],[2.96153846 4.03846154] ; [52.03846154 70.96153846],0
r2,1,0.48037,0.498024,[5 1] ; [110  10],[5.47619048 0.52380952] ; [109.52380952  10.47619048],0
b1,1,0.493041,0.469883,[4 3] ; [54 69],[3.12307692 3.87692308] ; [54.87692308 68.12307692],0
a4,1,0.499571,0.455847,[2 5] ; [51 72],[2.85384615 4.14615385] ; [50.14615385 72.85384615],0
n5,1,0.500741,0.453365,[6 1] ; [90 31],[5.25 1.75] ; [90.75 30.25],0
s5,1,0.502871,0.448872,[2 5] ; [48 68],[2.84552846 4.15447154] ; [47.15447154 68.84552846],0
b5,1,0.52062,0.412665,[4 3] ; [55 68],[3.17692308 3.82307692] ; [55.82307692 67.17692308],0
v3,1,0.530701,0.39305,[3 4] ; [66 54],[3.80314961 3.19685039] ; [65.19685039 54.80314961],0
d1,1,0.57752,0.310261,[3 4] ; [66 57],[3.71538462 3.28461538] ; [65.28461538 57.71538462],0
n2,1,0.665984,0.186335,[2 1] ; [21  6],[2.3 0.7] ; [20.7  6.3],0
p4,1,0.747961,0.103252,[3 3] ; [68 52],[3.38095238 2.61904762] ; [67.61904762 52.38095238],0
a3,1,0.762952,0.090966,[5 2] ; [94 29],[5.33076923 1.66923077] ; [93.66923077 29.33076923],0
p5,1,0.76397,0.090163,[1 6] ; [ 13 109],[0.75968992 6.24031008] ; [ 13.24031008 108.75968992],0
n1,1,0.765064,0.089304,[1 2] ; [11 15],[1.24137931 1.75862069] ; [10.75862069 15.24137931],0
p7,1,0.826885,0.047829,[4 2] ; [85 35],[4.23809524 1.76190476] ; [84.76190476 35.23809524],0
p8,1,0.846604,0.037424,[4 3] ; [63 55],[3.752 3.248] ; [63.248 54.752],0
d5,1,0.848276,0.036603,[6 1] ; [102  21],[5.81538462 1.18461538] ; [102.18461538  20.81538462],0
u3,1,0.886948,0.020212,[1 1] ; [13 16],[0.90322581 1.09677419] ; [13.09677419 15.90322581],0
s4,1,0.972385,0.001198,[1 6] ; [ 17 106],[0.96923077 6.03076923] ; [ 17.03076923 105.96923077],0
