Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.017723,5.623349,[13 13] ; [15 47],[ 8.27272727 17.72727273] ; [19.72727273 42.27272727],0
s8,1,0.037484,4.328291,[10 16] ; [11 51],[ 6.20454545 19.79545455] ; [14.79545455 47.20454545],0
v2,1,0.038261,4.293367,[16 10] ; [22 37],[11.62352941 14.37647059] ; [26.37647059 32.62352941],0
p6,1,0.051241,3.800372,[ 9 16] ; [10 50],[ 5.58823529 19.41176471] ; [13.41176471 46.58823529],0
p8,1,0.0678,3.335501,[11 14] ; [15 47],[ 7.47126437 17.52873563] ; [18.52873563 43.47126437],0
a5,1,0.076124,3.14577,[21  5] ; [38 24],[17.43181818  8.56818182] ; [41.56818182 20.43181818],0
v1,1,0.08041,3.056605,[15 11] ; [22 37],[11.31764706 14.68235294] ; [25.68235294 33.31764706],0
p1,1,0.100395,2.699257,[ 4 22] ; [ 3 58],[ 2.09195402 23.90804598] ; [ 4.90804598 56.09195402],0
a8,1,0.104894,2.629505,[ 1 22] ; [11 49],[ 3.3253012 19.6746988] ; [ 8.6746988 51.3253012],0
v4,1,0.120412,2.411956,[23  3] ; [44 16],[20.25581395  5.74418605] ; [46.74418605 13.25581395],0
p3,1,0.126122,2.339604,[12 13] ; [19 43],[ 8.90804598 16.09195402] ; [22.09195402 39.90804598],0
a2,1,0.130788,2.283132,[ 2 24] ; [13 49],[ 4.43181818 21.56818182] ; [10.56818182 51.43181818],0
r4,1,0.158094,1.992368,[20  6] ; [38 24],[17.13636364  8.86363636] ; [40.86363636 21.13636364],0
r1,1,0.169637,1.886152,[21  5] ; [41 21],[18.31818182  7.68181818] ; [43.68181818 18.31818182],0
n3,1,0.19043,1.714286,[4 1] ; [12 13],[2.66666667 2.33333333] ; [13.33333333 11.66666667],0
n1,1,0.222423,1.488668,[3 1] ; [11 15],[1.86666667 2.13333333] ; [12.13333333 13.86666667],0
r2,1,0.258745,1.275458,[24  2] ; [49 10],[22.32941176  3.67058824] ; [50.67058824  8.32941176],0
d5,1,0.316561,1.003102,[17  9] ; [47 15],[18.90909091  7.09090909] ; [45.09090909 16.90909091],0
s3,1,0.322359,0.979351,[14 11] ; [27 34],[11.91860465 13.08139535] ; [29.08139535 31.91860465],0
s5,1,0.345221,0.890945,[ 3 22] ; [12 46],[ 4.51807229 20.48192771] ; [10.48192771 47.51807229],0
r3,1,0.359501,0.839637,[22  4] ; [47 15],[20.38636364  5.61363636] ; [48.61363636 13.38636364],0
u2,1,0.365416,0.819195,[4 4] ; [13  6],[5.03703704 2.96296296] ; [11.96296296  7.03703704],0
d4,1,0.403154,0.698898,[17  9] ; [46 16],[18.61363636  7.38636364] ; [44.38636364 17.61363636],0
p10,1,0.438306,0.600713,[15 10] ; [31 30],[13.37209302 11.62790698] ; [32.62790698 28.37209302],0
u3,1,0.472423,0.516303,[5 3] ; [ 9 10],[4.14814815 3.85185185] ; [9.85185185 9.14814815],0
b1,1,0.473869,0.51294,[16 10] ; [33 29],[14.47727273 11.52272727] ; [34.52272727 27.47727273],0
a6,1,0.546328,0.363937,[15 11] ; [40 22],[16.25  9.75] ; [38.75 23.25],0
b4,1,0.562655,0.335129,[16 10] ; [34 28],[14.77272727 11.22727273] ; [35.22727273 26.77272727],0
d2,1,0.579202,0.307527,[13 13] ; [27 35],[11.81818182 14.18181818] ; [28.18181818 33.81818182],0
s4,1,0.581163,0.304358,[ 5 21] ; [ 9 53],[ 4.13636364 21.86363636] ; [ 9.86363636 52.13636364],0
