Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,2e-06,22.641802,[177 132] ; [15 47],[159.91374663 149.08625337] ; [32.08625337 29.91374663],1
p11,1,0.000231,13.559479,[280  31] ; [46 17],[271.0855615  39.9144385] ; [54.9144385  8.0855615],1
p3,1,0.00042,12.443206,[217  93] ; [29 33],[205. 105.] ; [41. 21.],1
s5,1,0.000667,11.579315,[130 170] ; [11 46],[118.48739496 181.51260504] ; [22.51260504 34.48739496],1
d5,1,0.003622,8.464124,[263  46] ; [44 19],[255.00806452  53.99193548] ; [51.99193548 11.00806452],0
p4,1,0.006644,7.366889,[246  64] ; [40 23],[237.69436997  72.30563003] ; [48.30563003 14.69436997],0
r1,1,0.033945,4.497448,[267  41] ; [48 15],[261.50943396  46.49056604] ; [53.49056604  9.50943396],0
r3,1,0.035742,4.409362,[300   8] ; [58  5],[297.20754717  10.79245283] ; [60.79245283  2.20754717],0
p2,1,0.049223,3.867723,[293  18] ; [55  8],[289.37967914  21.62032086] ; [58.62032086  4.37967914],0
p10,1,0.051645,3.787229,[281  29] ; [51 11],[276.66666667  33.33333333] ; [55.33333333  6.66666667],0
r4,1,0.053082,3.741336,[296  15] ; [56  7],[292.70588235  18.29411765] ; [59.29411765  3.70588235],0
a3,1,0.058386,3.58265,[235  74] ; [40 22],[229.04312668  79.95687332] ; [45.95687332 16.04312668],0
a1,1,0.112094,2.524448,[ 21 290] ; [ 1 62],[ 18.29411765 292.70588235] ; [ 3.70588235 59.29411765],0
s8,1,0.11795,2.444337,[165 143] ; [26 35],[159.42547425 148.57452575] ; [31.57452575 29.42547425],0
n1,1,0.162028,1.955197,[16 25] ; [9 6],[18.30357143 22.69642857] ; [6.69642857 8.30357143],0
s1,1,0.175825,1.832561,[  9 300] ; [ 4 59],[ 10.7983871 298.2016129] ; [ 2.2016129 60.7983871],0
s6,1,0.183995,1.765055,[215  84] ; [38 22],[210.71587744  88.28412256] ; [42.28412256 17.71587744],0
u2,1,0.199818,1.643703,[38 38] ; [15  8],[40.68686869 35.31313131] ; [12.31313131 10.68686869],0
p5,1,0.209904,1.572089,[ 66 245] ; [ 9 54],[ 62.36631016 248.63368984] ; [12.63368984 50.36631016],0
p9,1,0.224418,1.475893,[284  25] ; [54  8],[281.5148248  27.4851752] ; [56.4851752  5.5148248],0
n3,1,0.252174,1.31122,[31 10] ; [9 6],[29.28571429 11.71428571] ; [10.71428571  4.28571429],0
v3,1,0.288629,1.126005,[145 159] ; [25 37],[141.20218579 162.79781421] ; [28.79781421 33.20218579],0
p1,1,0.300035,1.074039,[ 39 271] ; [11 52],[ 41.55495979 268.44504021] ; [ 8.44504021 54.55495979],0
s7,1,0.300347,1.072652,[171 123] ; [30 29],[167.40509915 126.59490085] ; [33.59490085 25.40509915],0
b5,1,0.312982,1.018051,[166 145] ; [38 25],[169.63636364 141.36363636] ; [34.36363636 28.63636364],0
r2,1,0.316217,1.00453,[294  11] ; [59  4],[292.56793478  12.43206522] ; [60.43206522  2.56793478],0
v2,1,0.321144,0.98428,[184 118] ; [33 28],[180.53443526 121.46556474] ; [36.46556474 24.53443526],0
b4,1,0.335411,0.927892,[172 139] ; [39 24],[175.45721925 135.54278075] ; [35.54278075 27.45721925],0
u4,1,0.350841,0.870411,[  8 302] ; [ 3 60],[  9.14209115 300.85790885] ; [ 1.85790885 61.14209115],0
a6,1,0.351705,0.867295,[210  99] ; [39 24],[206.83064516 102.16935484] ; [42.16935484 20.83064516],0
d3,1,0.352605,0.86406,[220  90] ; [41 22],[216.91689008  93.08310992] ; [44.08310992 18.91689008],0
v1,1,0.365536,0.818782,[195 112] ; [35 26],[191.875 115.125] ; [38.125 22.875],0
d2,1,0.396518,0.71886,[159 151] ; [36 27],[162.06434316 147.93565684] ; [32.93565684 30.06434316],0
n6,1,0.39887,0.71173,[284  24] ; [60  3],[285.58490566  22.41509434] ; [58.41509434  4.58490566],0
b2,1,0.429583,0.623949,[ 78 125] ; [11 24],[ 75.91176471 127.08823529] ; [13.08823529 21.91176471],0
b3,1,0.429583,0.623949,[ 78 125] ; [11 24],[ 75.91176471 127.08823529] ; [13.08823529 21.91176471],0
d1,1,0.453661,0.561488,[203 108] ; [38 25],[200.40374332 110.59625668] ; [40.59625668 22.40374332],0
s4,1,0.492201,0.471711,[ 50 255] ; [ 8 54],[ 48.20163488 256.79836512] ; [ 9.79836512 52.20163488],0
u1,1,0.525714,0.402669,[ 60 251] ; [10 53],[ 58.20855615 252.79144385] ; [11.79144385 51.20855615],0
d4,1,0.533114,0.388452,[260  49] ; [51 12],[258.33064516  50.66935484] ; [52.66935484 10.33064516],0
n2,1,0.534393,0.386032,[34  8] ; [11  4],[33.15789474  8.84210526] ; [11.84210526  3.15789474],0
a5,1,0.618988,0.247293,[243  68] ; [51 12],[244.47593583  66.52406417] ; [49.52406417 13.47593583],0
p12,1,0.660228,0.193247,[ 36 274] ; [ 6 56],[ 35. 275.] ; [ 7. 55.],0
a2,1,0.668734,0.183086,[ 77 234] ; [14 49],[ 75.67112299 235.32887701] ; [15.32887701 47.67112299],0
v4,1,0.674638,0.176224,[300   7] ; [61  2],[299.53243243   7.46756757] ; [61.46756757  1.53243243],0
a8,1,0.686776,0.162597,[ 51 232] ; [ 9 48],[ 49.94117647 233.05882353] ; [10.05882353 46.94117647],0
s3,1,0.72085,0.12768,[181 125] ; [34 26],[179.75409836 126.24590164] ; [35.24590164 24.75409836],0
n5,1,0.79087,0.070321,[277  33] ; [57  6],[277.58713137  32.41286863] ; [56.41286863  6.58713137],0
b1,1,0.791615,0.069809,[129 182] ; [25 38],[128.05882353 182.94117647] ; [25.94117647 37.05882353],0
a4,1,0.816198,0.054027,[145 165] ; [28 34],[144.16666667 165.83333333] ; [28.83333333 33.16666667],0
u3,1,0.828015,0.047197,[41 35] ; [13 10],[41.45454545 34.54545455] ; [12.54545455 10.45454545],0
s2,1,0.936243,0.006399,[166 142] ; [32 28],[165.7173913 142.2826087] ; [32.2826087 27.7173913],0
a7,1,0.943673,0.004992,[225  85] ; [46 17],[225.22788204  84.77211796] ; [45.77211796 17.22788204],0
