Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,50.00817,[235  99] ; [ 97 141],[193.86013986 140.13986014] ; [138.13986014  99.86013986],1
v3,1,0.0,33.513144,[178 155] ; [ 70 170],[144.12565445 188.87434555] ; [103.87434555 136.12565445],1
p4,1,0.000318,12.96241,[254  88] ; [147  97],[234.03071672 107.96928328] ; [166.96928328  77.03071672],1
s8,1,0.000358,12.738611,[181 159] ; [ 93 150],[159.7941681 180.2058319] ; [114.2058319 128.7941681],1
n5,1,0.001123,10.61226,[309  33] ; [196  46],[295.73630137  46.26369863] ; [209.26369863  32.73630137],0
p3,1,0.004323,8.142707,[208 135] ; [119 125],[191.07495741 151.92504259] ; [135.92504259 108.07495741],0
p8,1,0.004884,7.921732,[217 119] ; [127 113],[200.66666667 135.33333333] ; [143.33333333  96.66666667],0
p10,1,0.006152,7.505189,[301  38] ; [196  47],[289.48969072  49.51030928] ; [207.51030928  35.48969072],0
p6,1,0.006833,7.316431,[162 175] ; [ 89 153],[146.09153713 190.90846287] ; [104.90846287 137.09153713],0
p12,1,0.014501,5.976105,[ 38 303] ; [ 13 230],[ 29.77910959 311.22089041] ; [ 21.22089041 221.77910959],0
r3,1,0.016364,5.763328,[335   7] ; [227  14],[329.68096055  12.31903945] ; [232.31903945   8.68096055],0
d1,1,0.01737,5.658593,[225 118] ; [137 108],[211.16666667 131.83333333] ; [150.83333333  94.16666667],0
s5,1,0.018964,5.504862,[132 197] ; [ 72 164],[118.78938053 210.21061947] ; [ 85.21061947 150.78938053],0
r1,1,0.023282,5.147312,[293  48] ; [193  52],[282.80887372  58.19112628] ; [203.19112628  41.80887372],0
p5,1,0.023893,5.102414,[ 56 287] ; [ 24 220],[ 46.74616695 296.25383305] ; [ 33.25383305 210.74616695],0
a3,1,0.027238,4.875638,[268  73] ; [173  72],[256.62286689  84.37713311] ; [184.37713311  60.62286689],0
r4,1,0.033289,4.530852,[323  20] ; [219  26],[316.16666667  26.83333333] ; [225.83333333  19.16666667],0
r2,1,0.035242,4.433405,[327  12] ; [223  18],[321.46551724  17.53448276] ; [228.53448276  12.46551724],0
p9,1,0.038889,4.265699,[305  34] ; [203  38],[296.91724138  42.08275862] ; [211.08275862  29.91724138],0
d4,1,0.038957,4.262761,[294  48] ; [194  50],[284.80546075  57.19453925] ; [203.19453925  40.80546075],0
n1,1,0.041346,4.161788,[25 22] ; [19 38],[19.88461538 27.11538462] ; [24.11538462 32.88461538],0
b3,1,0.068936,3.308172,[ 96 132] ; [46 95],[ 87.7398374 140.2601626] ; [54.2601626 86.7398374],0
b2,1,0.068936,3.308172,[ 96 132] ; [46 95],[ 87.7398374 140.2601626] ; [54.2601626 86.7398374],0
d3,1,0.072516,3.225142,[253  90] ; [164  81],[243.25  99.75] ; [173.75  71.25],0
u1,1,0.079829,3.068381,[ 76 267] ; [ 40 205],[ 67.66666667 275.33333333] ; [ 48.33333333 196.66666667],0
p7,1,0.082227,3.020325,[245  92] ; [159  82],[235.55017301 101.44982699] ; [168.44982699  72.55017301],0
b5,1,0.08508,2.965087,[216 127] ; [137 108],[205.91666667 137.08333333] ; [147.08333333  97.91666667],0
d5,1,0.088245,2.906106,[298  44] ; [201  44],[290.72913118  51.27086882] ; [208.27086882  36.72913118],0
n6,1,0.127327,2.324794,[311  30] ; [213  31],[305.44273504  35.55726496] ; [218.55726496  25.44273504],0
a5,1,0.135986,2.222807,[274  69] ; [183  62],[266.58333333  76.41666667] ; [190.41666667  54.58333333],0
a2,1,0.149939,2.072872,[ 98 245] ; [ 57 188],[ 90.41666667 252.58333333] ; [ 64.58333333 180.41666667],0
s6,1,0.178328,1.811506,[240  95] ; [158  80],[232.68760908 102.31239092] ; [165.31239092  72.68760908],0
s1,1,0.226679,1.461576,[  8 330] ; [ 10 232],[ 10.48965517 327.51034483] ; [  7.51034483 234.48965517],0
p11,1,0.23504,1.410098,[290  53] ; [198  47],[284.66666667  58.33333333] ; [203.33333333  41.66666667],0
a8,1,0.247106,1.339593,[ 54 246] ; [ 32 193],[ 49.14285714 250.85714286] ; [ 36.85714286 188.14285714],0
a1,1,0.248966,1.329099,[ 18 325] ; [  8 237],[ 15.16666667 327.83333333] ; [ 10.83333333 234.16666667],0
a7,1,0.286212,1.137356,[252  90] ; [170  74],[246.28668942  95.71331058] ; [175.71331058  68.28668942],0
a4,1,0.31548,1.007594,[173 168] ; [114 131],[167.00853242 173.99146758] ; [119.99146758 125.00853242],0
s3,1,0.33263,0.938632,[190 146] ; [146  95],[195.66031196 140.33968804] ; [140.33968804 100.66031196],0
s2,1,0.353642,0.860347,[183 154] ; [123 121],[177.49053356 159.50946644] ; [128.50946644 115.49053356],0
