Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,5e-06,20.971888,[11 54] ; [13  5],[18.79518072 46.20481928] ; [ 5.20481928 12.79518072],1
s6,1,0.000144,14.451613,[11 55] ; [11  7],[17.28571429 48.71428571] ; [ 4.71428571 13.28571429],1
p2,1,0.002624,9.051955,[25 41] ; [14  4],[30.64285714 35.35714286] ; [8.35714286 9.64285714],0
p3,1,0.009497,6.726867,[ 8 57] ; [ 7 11],[11.74698795 53.25301205] ; [ 3.25301205 14.74698795],0
u3,1,0.009696,6.689877,[ 7 24] ; [4 1],[ 9.47222222 21.52777778] ; [1.52777778 3.47222222],0
s7,1,0.017578,5.637709,[13 50] ; [8 8],[16.74683544 46.25316456] ; [ 4.25316456 11.74683544],0
d1,1,0.018381,5.559504,[27 39] ; [13  5],[31.42857143 34.57142857] ; [8.57142857 9.42857143],0
p6,1,0.018669,5.532288,[ 3 61] ; [ 4 14],[ 5.46341463 58.53658537] ; [ 1.53658537 16.46341463],0
v2,1,0.023342,5.142857,[17 46] ; [10  8],[21. 42.] ; [ 6. 12.],0
p9,1,0.0322,4.587814,[27 35] ; [13  5],[31. 31.] ; [9. 9.],0
s8,1,0.037235,4.339635,[ 6 60] ; [ 5 13],[ 8.64285714 57.35714286] ; [ 2.35714286 15.64285714],0
s4,1,0.037235,4.339635,[ 6 60] ; [ 5 13],[ 8.64285714 57.35714286] ; [ 2.35714286 15.64285714],0
p4,1,0.04168,4.148148,[11 55] ; [ 7 11],[14.14285714 51.85714286] ; [ 3.85714286 14.14285714],0
r3,1,0.043607,4.071697,[29 35] ; [13  5],[32.7804878 31.2195122] ; [9.2195122 8.7804878],0
n6,1,0.04702,3.944656,[37 29] ; [14  3],[40.55421687 25.44578313] ; [10.44578313  6.55421687],0
v1,1,0.054868,3.686095,[15 49] ; [8 9],[18.17283951 45.82716049] ; [ 4.82716049 12.17283951],0
p11,1,0.059058,3.563636,[24 42] ; [11  7],[27.5 38.5] ; [ 7.5 10.5],0
d3,1,0.073461,3.203937,[32 34] ; [13  5],[35.35714286 30.64285714] ; [9.64285714 8.35714286],0
s1,1,0.076729,3.132867,[ 3 63] ; [ 3 15],[ 4.71428571 61.28571429] ; [ 1.28571429 16.71428571],0
s5,1,0.080267,3.059478,[ 8 58] ; [ 5 12],[10.3373494 55.6626506] ; [ 2.6626506 14.3373494],0
n3,1,0.081608,3.032581,[13 19] ; [6 2],[15.2 16.8] ; [3.8 4.2],0
n1,1,0.150111,2.071118,[13 20] ; [1 7],[11.26829268 21.73170732] ; [2.73170732 5.26829268],0
a3,1,0.162381,1.95191,[35 30] ; [13  5],[37.59036145 27.40963855] ; [10.40963855  7.59036145],0
d5,1,0.215565,1.533656,[41 25] ; [14  4],[43.21428571 22.78571429] ; [11.78571429  6.21428571],0
b3,1,0.288379,1.127173,[19 20] ; [3 7],[17.51020408 21.48979592] ; [4.48979592 5.51020408],0
b2,1,0.288379,1.127173,[19 20] ; [3 7],[17.51020408 21.48979592] ; [4.48979592 5.51020408],0
n5,1,0.3092,1.034091,[39 27] ; [13  5],[40.85714286 25.14285714] ; [11.14285714  6.85714286],0
d2,1,0.313974,1.013885,[27 37] ; [10  8],[28.87804878 35.12195122] ; [8.12195122 9.87804878],0
d4,1,0.346737,0.885364,[43 22] ; [14  4],[44.63855422 20.36144578] ; [12.36144578  5.63855422],0
p8,1,0.381144,0.76701,[ 9 57] ; [ 1 16],[ 7.95180723 58.04819277] ; [ 2.04819277 14.95180723],0
p10,1,0.447083,0.578036,[26 39] ; [9 9],[27.40963855 37.59036145] ; [ 7.59036145 10.40963855],0
b4,1,0.454548,0.559287,[43 23] ; [10  8],[41.64285714 24.35714286] ; [11.35714286  6.64285714],0
u1,1,0.460821,0.543901,[ 4 62] ; [ 2 16],[ 4.71428571 61.28571429] ; [ 1.28571429 16.71428571],0
a5,1,0.469312,0.523595,[34 32] ; [11  7],[35.35714286 30.64285714] ; [9.64285714 8.35714286],0
a6,1,0.469312,0.523595,[32 34] ; [ 7 11],[30.64285714 35.35714286] ; [8.35714286 9.64285714],0
r1,1,0.501138,0.452525,[20 46] ; [ 4 14],[18.85714286 47.14285714] ; [ 5.14285714 12.85714286],0
r2,1,0.530034,0.394326,[36 28] ; [11  6],[37.13580247 26.86419753] ; [9.86419753 7.13580247],0
n4,1,0.559655,0.340301,[39 27] ; [12  6],[40.07142857 25.92857143] ; [10.92857143  7.07142857],0
u2,1,0.580832,0.304891,[10 21] ; [1 4],[ 9.47222222 21.52777778] ; [1.52777778 3.47222222],0
a1,1,0.612352,0.256764,[ 8 58] ; [ 3 15],[ 8.64285714 57.35714286] ; [ 2.35714286 15.64285714],0
a7,1,0.719115,0.129342,[32 33] ; [ 8 10],[31.3253012 33.6746988] ; [8.6746988 9.3253012],0
p1,1,0.778319,0.079248,[ 9 57] ; [ 2 16],[ 8.64285714 57.35714286] ; [ 2.35714286 15.64285714],0
a2,1,0.778319,0.079248,[ 9 57] ; [ 2 16],[ 8.64285714 57.35714286] ; [ 2.35714286 15.64285714],0
b5,1,0.819506,0.052066,[31 35] ; [9 9],[31.42857143 34.57142857] ; [8.57142857 9.42857143],0
p5,1,0.858427,0.031818,[ 3 63] ; [ 1 17],[ 3.14285714 62.85714286] ; [ 0.85714286 17.14285714],0
v3,1,0.926239,0.008571,[14 52] ; [ 4 14],[14.14285714 51.85714286] ; [ 3.85714286 14.14285714],0
n2,1,0.938689,0.005916,[16 17] ; [4 4],[16.09756098 16.90243902] ; [3.90243902 4.09756098],0
v4,1,0.969481,0.001464,[37 29] ; [10  8],[36.92857143 29.07142857] ; [10.07142857  7.92857143],0
a4,1,0.973702,0.001087,[25 40] ; [ 7 11],[25.06024096 39.93975904] ; [ 6.93975904 11.06024096],0
b1,1,1.0,0.0,[33 33] ; [9 9],[33. 33.] ; [9. 9.],0
