Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,58.476161,[253   9] ; [77 35],[231.17647059  30.82352941] ; [98.82352941 13.17647059],1
p10,1,0.0,40.71728,[199  61] ; [47 64],[172.39892183  87.60107817] ; [73.60107817 37.39892183],1
p2,1,0.0,36.175357,[211  51] ; [57 57],[186.74468085  75.25531915] ; [81.25531915 32.74468085],1
p9,1,0.0,33.487311,[208  52] ; [54 54],[185.10869565  74.89130435] ; [76.89130435 31.10869565],1
r4,1,0.0,32.151503,[223  40] ; [66 48],[201.61007958  61.38992042] ; [87.38992042 26.61007958],1
v4,1,2.8e-05,17.530874,[241  20] ; [86 26],[228.81233244  32.18766756] ; [98.18766756 13.81233244],1
b1,1,5.9e-05,16.141552,[ 77 186] ; [58 56],[ 94.17771883 168.82228117] ; [40.82228117 73.17771883],1
n6,1,8.9e-05,15.347544,[206  56] ; [66 46],[190.54545455  71.45454545] ; [81.45454545 30.54545455],1
a1,1,0.000609,11.747677,[  5 258] ; [ 11 103],[ 11.16180371 251.83819629] ; [  4.83819629 109.16180371],1
s1,1,0.000637,11.664969,[  5 252] ; [ 11 101],[ 11.14363144 245.85636856] ; [  4.85636856 107.14363144],1
s8,1,0.001238,10.433058,[ 81 182] ; [17 97],[ 68.36604775 194.63395225] ; [29.63395225 84.36604775],0
s6,1,0.002292,9.2996,[138 122] ; [41 73],[124.43850267 135.56149733] ; [54.56149733 59.43850267],0
d3,1,0.002467,9.165119,[185  78] ; [60 51],[172.28609626  90.71390374] ; [72.71390374 38.28609626],0
v1,1,0.002531,9.117929,[114 141] ; [32 82],[100.89430894 154.10569106] ; [45.10569106 68.89430894],0
p7,1,0.002682,9.012106,[125 128] ; [36 75],[111.90384615 141.09615385] ; [49.09615385 61.90384615],0
p4,1,0.008616,6.900803,[ 97 164] ; [26 86],[ 86.06702413 174.93297587] ; [36.93297587 75.06702413],0
n2,1,0.009291,6.766087,[55 16] ; [30 24],[48.28 22.72] ; [36.72 17.28],0
d4,1,0.009767,6.676918,[207  56] ; [74 38],[197.07466667  65.92533333] ; [83.92533333 28.07466667],0
n4,1,0.013624,6.086182,[185  77] ; [65 48],[174.66666667  87.33333333] ; [75.33333333 37.66666667],0
r1,1,0.015187,5.894671,[197  66] ; [70 42],[187.256  75.744] ; [79.744 32.256],0
p8,1,0.01581,5.823917,[ 99 160] ; [28 83],[ 88.9 170.1] ; [38.1 72.9],0
a6,1,0.018304,5.566841,[180  83] ; [63 50],[169.97074468  93.02925532] ; [73.02925532 39.97074468],0
v2,1,0.019958,5.415555,[126 124] ; [40 68],[115.92178771 134.07821229] ; [50.07821229 57.92178771],0
p6,1,0.020906,5.334618,[ 60 200] ; [14 97],[ 51.85983827 208.14016173] ; [22.14016173 88.85983827],0
a8,1,0.023508,5.13054,[ 38 207] ; [ 7 98],[ 31.5 213.5] ; [13.5 91.5],0
n3,1,0.024972,5.025843,[51 21] ; [26 25],[45.07317073 26.92682927] ; [31.92682927 19.07317073],0
u2,1,0.025928,4.960804,[57 36] ; [19 27],[50.84892086 42.15107914] ; [25.15107914 20.84892086],0
r2,1,0.039532,4.237845,[233  27] ; [90 20],[226.97297297  33.02702703] ; [96.02702703 13.97297297],0
d1,1,0.071394,3.250673,[135 128] ; [47 67],[126.96551724 136.03448276] ; [55.03448276 58.96551724],0
d5,1,0.092881,2.82371,[194  69] ; [73 39],[187.256  75.744] ; [79.744 32.256],0
u3,1,0.129509,2.298379,[50 43] ; [18 27],[45.82608696 47.17391304] ; [22.17391304 22.82608696],0
b5,1,0.148488,2.087712,[175  88] ; [67 47],[168.82228117  94.17771883] ; [73.17771883 40.82228117],0
b4,1,0.17884,1.807239,[158 105] ; [60 54],[152.0795756 110.9204244] ; [65.9204244 48.0795756],0
n5,1,0.193674,1.689443,[179  81] ; [70 43],[173.56568365  86.43431635] ; [75.43431635 37.56568365],0
a5,1,0.202029,1.627642,[166  97] ; [64 50],[160.45092838 102.54907162] ; [69.54907162 44.45092838],0
a7,1,0.211995,1.557751,[184  79] ; [71 41],[178.84  84.16] ; [76.16 35.84],0
p1,1,0.298247,1.082014,[  8 254] ; [  6 108],[  9.75531915 252.24468085] ; [  4.24468085 109.75531915],0
b2,1,0.308489,1.037134,[ 42 106] ; [21 38],[ 45.04347826 102.95652174] ; [17.95652174 41.04347826],0
b3,1,0.308489,1.037134,[ 42 106] ; [21 38],[ 45.04347826 102.95652174] ; [17.95652174 41.04347826],0
s7,1,0.343385,0.897753,[ 81 171] ; [29 78],[ 77.21448468 174.78551532] ; [32.78551532 74.21448468],0
p12,1,0.347381,0.883001,[  6 254] ; [  1 113],[  4.86631016 255.13368984] ; [  2.13368984 111.86631016],0
s3,1,0.361896,0.831303,[114 146] ; [43 68],[110.02695418 149.97304582] ; [46.97304582 64.02695418],0
s4,1,0.374939,0.78723,[ 26 233] ; [15 99],[ 28.4691689 230.5308311] ; [ 12.5308311 101.4691689],0
a2,1,0.375314,0.785996,[ 41 222] ; [22 92],[ 43.94960212 219.05039788] ; [19.05039788 94.94960212],0
a3,1,0.375987,0.783781,[170  93] ; [67 45],[166.216  96.784] ; [70.784 41.216],0
s2,1,0.378691,0.774946,[ 92 168] ; [35 79],[ 88.28877005 171.71122995] ; [38.71122995 75.28877005],0
u4,1,0.465603,0.532393,[  5 258] ; [  1 113],[  4.18567639 258.81432361] ; [  1.81432361 112.18567639],0
n1,1,0.536412,0.382231,[23 48] ; [20 33],[24.62096774 46.37903226] ; [18.37903226 34.62096774],0
d2,1,0.564527,0.331927,[102 161] ; [47 65],[104.49866667 158.50133333] ; [44.50133333 67.49866667],0
v3,1,0.592789,0.28601,[ 77 177] ; [30 79],[ 74.87052342 179.12947658] ; [32.12947658 76.87052342],0
u1,1,0.828308,0.047034,[ 28 235] ; [ 13 101],[ 28.60212202 234.39787798] ; [ 12.39787798 101.60212202],0
p5,1,0.829275,0.046497,[  8 253] ; [  3 110],[  7.67647059 253.32352941] ; [  3.32352941 109.67647059],0
a4,1,0.874736,0.024852,[ 96 166] ; [42 70],[ 96.67379679 165.32620321] ; [41.32620321 70.67379679],0
