Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000104,15.067777,[18 20] ; [33  4],[25.84 12.16] ; [25.16 11.84],1
p9,1,0.002309,9.286078,[ 6 29] ; [19 18],[12.15277778 22.84722222] ; [12.84722222 24.15277778],0
r3,1,0.005506,7.705362,[18 20] ; [29  8],[23.81333333 14.18666667] ; [23.18666667 13.81333333],0
s8,1,0.005727,7.634178,[ 1 37] ; [ 9 28],[ 5.06666667 32.93333333] ; [ 4.93333333 32.06666667],0
n3,1,0.006052,7.534799,[ 6 10] ; [15  3],[9.88235294 6.11764706] ; [11.11764706  6.88235294],0
a5,1,0.014022,6.035359,[22 16] ; [11 26],[16.72 21.28] ; [16.28 20.72],0
p7,1,0.014225,6.009957,[10 28] ; [20 17],[15.2 22.8] ; [14.8 22.2],0
d5,1,0.014913,5.926674,[27 11] ; [16 21],[21.78666667 16.21333333] ; [21.21333333 15.78666667],0
p4,1,0.018753,5.524449,[ 9 29] ; [18 18],[13.86486486 24.13513514] ; [13.13513514 22.86486486],0
p3,1,0.041885,4.13986,[ 7 30] ; [15 22],[11. 26.] ; [11. 26.],0
b3,1,0.05894,3.566952,[11 15] ; [ 4 19],[ 7.95918367 18.04081633] ; [ 7.04081633 15.95918367],0
b2,1,0.05894,3.566952,[11 15] ; [ 4 19],[ 7.95918367 18.04081633] ; [ 7.04081633 15.95918367],0
d1,1,0.063297,3.448818,[17 21] ; [ 9 28],[13.17333333 24.82666667] ; [12.82666667 24.17333333],0
s3,1,0.070118,3.28025,[ 9 28] ; [16 20],[12.67123288 24.32876712] ; [12.32876712 23.67123288],0
p6,1,0.076984,3.127445,[ 5 31] ; [11 24],[ 8.11267606 27.88732394] ; [ 7.88732394 27.11267606],0
d4,1,0.079839,3.068172,[27 11] ; [19 18],[23.30666667 14.69333333] ; [22.69333333 14.30666667],0
a1,1,0.082885,3.007403,[ 7 31] ; [ 2 35],[ 4.56 33.44] ; [ 4.44 32.56],0
n2,1,0.09223,2.83502,[7 9] ; [13  5],[9.41176471 6.58823529] ; [10.58823529  7.41176471],0
d2,1,0.103133,2.65641,[21 16] ; [14 23],[17.5 19.5] ; [17.5 19.5],0
a3,1,0.106415,2.606674,[24 14] ; [16 20],[20.54054054 17.45945946] ; [19.45945946 16.54054054],0
p11,1,0.128103,2.315346,[11 27] ; [17 20],[14.18666667 23.81333333] ; [13.81333333 23.18666667],0
a4,1,0.136233,2.22,[15 22] ; [ 9 28],[12. 25.] ; [12. 25.],0
s2,1,0.149405,2.078314,[ 6 32] ; [11 26],[ 8.61333333 29.38666667] ; [ 8.38666667 28.61333333],0
b5,1,0.186818,1.742532,[20 18] ; [25 12],[22.8 15.2] ; [22.2 14.8],0
r4,1,0.191379,1.70697,[10 28] ; [15 22],[12.66666667 25.33333333] ; [12.33333333 24.66666667],0
a6,1,0.205728,1.601237,[23 15] ; [17 20],[20.26666667 17.73333333] ; [19.73333333 17.26666667],0
v2,1,0.219108,1.510204,[10 27] ; [15 22],[12.5 24.5] ; [12.5 24.5],0
a2,1,0.248549,1.331441,[ 5 33] ; [ 2 35],[ 3.54666667 34.45333333] ; [ 3.45333333 33.54666667],0
d3,1,0.297896,1.083588,[21 17] ; [16 21],[18.74666667 19.25333333] ; [18.25333333 18.74666667],0
u1,1,0.317086,1.000929,[ 3 35] ; [ 1 36],[ 2.02666667 35.97333333] ; [ 1.97333333 35.02666667],0
n6,1,0.343596,0.89697,[20 17] ; [24 13],[22. 15.] ; [22. 15.],0
s4,1,0.355568,0.853485,[ 6 32] ; [ 9 28],[ 7.6 30.4] ; [ 7.4 29.6],0
b1,1,0.423544,0.64046,[23 15] ; [19 18],[21.28 16.72] ; [20.72 16.28],0
s7,1,0.442605,0.589518,[ 7 28] ; [10 26],[ 8.38028169 26.61971831] ; [ 8.61971831 27.38028169],0
u3,1,0.445009,0.583333,[5 9] ; [ 5 16],[ 4. 10.] ; [ 6. 15.],0
u2,1,0.492529,0.470996,[ 4 10] ; [ 8 12],[4.94117647 9.05882353] ; [ 7.05882353 12.94117647],0
p8,1,0.530063,0.39427,[ 7 30] ; [ 9 27],[ 8.10958904 28.89041096] ; [ 7.89041096 28.10958904],0
v3,1,0.57223,0.318966,[ 9 28] ; [ 7 30],[ 8. 29.] ; [ 8. 29.],0
s5,1,0.597104,0.279385,[ 5 33] ; [ 6 28],[ 5.80555556 32.19444444] ; [ 5.19444444 28.80555556],0
a8,1,0.620496,0.245171,[ 2 35] ; [ 3 33],[ 2.53424658 34.46575342] ; [ 2.46575342 33.53424658],0
n1,1,0.622301,0.242647,[ 6 10] ; [ 5 12],[ 5.33333333 10.66666667] ; [ 5.66666667 11.33333333],0
r2,1,0.623627,0.240803,[24 12] ; [22 14],[23. 13.] ; [23. 13.],0
v1,1,0.682762,0.167033,[ 8 29] ; [ 9 26],[ 8.73611111 28.26388889] ; [ 8.26388889 26.73611111],0
n5,1,0.734235,0.115259,[21 17] ; [19 18],[20.26666667 17.73333333] ; [19.73333333 17.26666667],0
s6,1,0.74395,0.106686,[12 26] ; [13 24],[12.66666667 25.33333333] ; [12.33333333 24.66666667],0
b4,1,0.906836,0.013696,[19 19] ; [19 18],[19.25333333 18.74666667] ; [18.74666667 18.25333333],0
n4,1,0.916248,0.011059,[21 17] ; [20 17],[20.77333333 17.22666667] ; [20.22666667 16.77333333],0
a7,1,0.920646,0.009924,[16 22] ; [16 21],[16.21333333 21.78666667] ; [15.78666667 21.21333333],0
p12,1,0.98475,0.000365,[ 1 37] ; [ 1 36],[ 1.01333333 36.98666667] ; [ 0.98666667 36.01333333],0
p5,1,1.0,0.0,[ 1 36] ; [ 1 36],[ 1. 36.] ; [ 1. 36.],0
