Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000503,12.105651,[62  6] ; [206  85],[50.7632312 17.2367688] ; [217.2367688  73.7632312],1
s5,1,0.003266,8.652702,[37 28] ; [106 180],[26.48148148 38.51851852] ; [116.51851852 169.48148148],0
v2,1,0.003947,8.308003,[31 38] ; [182 103],[41.51694915 27.48305085] ; [171.48305085 113.51694915],0
s3,1,0.004687,7.996508,[52 17] ; [166 126],[41.66759003 27.33240997] ; [176.33240997 115.66759003],0
a8,1,0.006377,7.440514,[ 2 65] ; [ 41 223],[ 8.70392749 58.29607251] ; [ 34.29607251 229.70392749],0
b3,1,0.011859,6.331897,[ 9 32] ; [ 84 111],[16.15677966 24.84322034] ; [ 76.84322034 118.15677966],0
b2,1,0.011859,6.331897,[ 9 32] ; [ 84 111],[16.15677966 24.84322034] ; [ 76.84322034 118.15677966],0
v3,1,0.014452,5.982032,[22 47] ; [136 146],[31.05982906 37.94017094] ; [126.94017094 155.05982906],0
p9,1,0.016961,5.700401,[58 12] ; [272  23],[63.28767123  6.71232877] ; [266.71232877  28.28767123],0
s2,1,0.019379,5.467026,[48 21] ; [159 135],[39.34710744 29.65289256] ; [167.65289256 126.34710744],0
n4,1,0.023907,5.10139,[52 18] ; [253  43],[58.33333333 11.66666667] ; [246.66666667  49.33333333],0
p6,1,0.031429,4.62936,[45 25] ; [147 147],[36.92307692 33.07692308] ; [155.07692308 138.92307692],0
s1,1,0.044925,4.021465,[ 5 65] ; [  7 287],[ 2.30769231 67.69230769] ; [  9.69230769 284.30769231],0
a7,1,0.079849,3.067965,[46 24] ; [224  71],[51.78082192 18.21917808] ; [218.21917808  76.78082192],0
u2,1,0.081213,3.040463,[ 9 12] ; [48 27],[12.46875  8.53125] ; [44.53125 30.46875],0
p11,1,0.122255,2.388185,[54 16] ; [251  45],[58.33333333 11.66666667] ; [246.66666667  49.33333333],0
r2,1,0.12417,2.363916,[63  7] ; [278  15],[65.75757576  4.24242424] ; [275.24242424  17.75757576],0
p10,1,0.148856,2.083939,[58 12] ; [262  32],[61.53846154  8.46153846] ; [258.46153846  35.53846154],0
v1,1,0.156528,2.007453,[37 33] ; [177 108],[42.1971831 27.8028169] ; [171.8028169 113.1971831],0
b1,1,0.16519,1.926065,[35 35] ; [121 175],[29.83606557 40.16393443] ; [126.16393443 169.83606557],0
p7,1,0.18101,1.789312,[58 12] ; [220  72],[53.75690608 16.24309392] ; [224.24309392  67.75690608],0
r4,1,0.186014,1.748909,[62  8] ; [276  20],[64.64480874  5.35519126] ; [273.35519126  22.64480874],0
v4,1,0.209732,1.573279,[65  5] ; [284  11],[66.93150685  3.06849315] ; [282.06849315  12.93150685],0
n6,1,0.241602,1.371219,[60 10] ; [266  28],[62.69230769  7.30769231] ; [263.30769231  30.69230769],0
p5,1,0.25519,1.294666,[11 59] ; [ 64 229],[14.46280992 55.53719008] ; [ 60.53719008 232.46280992],0
b4,1,0.318863,0.993605,[45 25] ; [171 125],[41.31147541 28.68852459] ; [174.68852459 121.31147541],0
u4,1,0.333761,0.934251,[ 1 69] ; [ 11 285],[ 2.29508197 67.70491803] ; [  9.70491803 286.29508197],0
n3,1,0.358034,0.844776,[9 5] ; [36 11],[10.32786885  3.67213115] ; [34.67213115 12.32786885],0
d1,1,0.358366,0.843612,[49 21] ; [190 106],[45.71038251 24.28961749] ; [193.28961749 102.71038251],0
p8,1,0.361037,0.834283,[52 18] ; [202  92],[48.84615385 21.15384615] ; [205.15384615  88.84615385],0
s7,1,0.387164,0.74783,[43 24] ; [160 114],[39.8856305 27.1143695] ; [163.1143695 110.8856305],0
a3,1,0.399466,0.709933,[49 21] ; [221  74],[51.78082192 18.21917808] ; [218.21917808  76.78082192],0
d3,1,0.457174,0.552806,[53 17] ; [211  85],[50.49180328 19.50819672] ; [213.50819672  82.49180328],0
a5,1,0.458532,0.549477,[53 17] ; [236  60],[55.27322404 14.72677596] ; [233.72677596  62.27322404],0
a6,1,0.492082,0.471971,[46 24] ; [207  89],[48.38797814 21.61202186] ; [204.61202186  91.38797814],0
u1,1,0.499884,0.455183,[18 52] ; [ 65 231],[15.87431694 54.12568306] ; [ 67.12568306 228.87431694],0
d2,1,0.50295,0.448706,[40 30] ; [156 140],[37.4863388 32.5136612] ; [158.5136612 137.4863388],0
