Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,9e-06,19.658733,[ 8 15] ; [83 20],[16.61111111  6.38888889] ; [74.38888889 28.61111111],1
s5,1,0.000221,13.646744,[ 2 21] ; [51 49],[ 9.91056911 13.08943089] ; [43.08943089 56.91056911],1
p6,1,0.000457,12.285199,[ 4 19] ; [59 43],[11.592 11.408] ; [51.408 50.592],1
p11,1,0.000481,12.187589,[13 10] ; [91 13],[18.83464567  4.16535433] ; [85.16535433 18.83464567],1
v1,1,0.003984,8.291211,[ 6 17] ; [61 42],[12.23015873 10.76984127] ; [54.76984127 48.23015873],0
d3,1,0.004091,8.243098,[ 5 18] ; [57 47],[11.22834646 11.77165354] ; [50.77165354 53.22834646],0
d1,1,0.007801,7.078569,[ 6 17] ; [59 45],[11.77165354 11.22834646] ; [53.22834646 50.77165354],0
p3,1,0.019459,5.459811,[10 13] ; [72 32],[14.8503937  8.1496063] ; [67.1496063 36.8503937],0
d2,1,0.024708,5.044213,[ 6 17] ; [54 50],[10.86614173 12.13385827] ; [49.13385827 54.86614173],0
p10,1,0.032611,4.566078,[16  7] ; [91 13],[19.37795276  3.62204724] ; [87.62204724 16.37795276],0
a5,1,0.049229,3.867544,[12 11] ; [76 28],[15.93700787  7.06299213] ; [72.06299213 31.93700787],0
b4,1,0.051279,3.799147,[16  7] ; [49 55],[11.77165354 11.22834646] ; [53.22834646 50.77165354],0
n3,1,0.054864,3.686201,[2 5] ; [14  6],[4.14814815 2.85185185] ; [11.85185185  8.14814815],0
d4,1,0.056385,3.64065,[14  9] ; [82 21],[17.52380952  5.47619048] ; [78.47619048 24.52380952],0
u3,1,0.07417,3.188243,[2 9] ; [17 18],[4.54347826 6.45652174] ; [14.45652174 20.54347826],0
p4,1,0.075176,3.166235,[13 10] ; [78 26],[16.48031496  6.51968504] ; [74.51968504 29.48031496],0
s2,1,0.09798,2.738115,[ 8 15] ; [56 48],[11.59055118 11.40944882] ; [52.40944882 51.59055118],0
s3,1,0.100328,2.700318,[10 13] ; [64 39],[13.50793651  9.49206349] ; [60.49206349 42.50793651],0
s7,1,0.113156,2.509585,[ 9 13] ; [60 41],[12.34146341  9.65853659] ; [56.65853659 44.34146341],0
r1,1,0.139068,2.188241,[14  9] ; [79 25],[16.84251969  6.15748031] ; [76.15748031 27.84251969],0
p2,1,0.144329,2.13119,[18  5] ; [93 11],[20.1023622  2.8976378] ; [90.8976378 13.1023622],0
s6,1,0.156318,2.009491,[13 10] ; [71 28],[15.83606557  7.16393443] ; [68.16393443 30.83606557],0
r4,1,0.193553,1.690365,[18  5] ; [92 12],[19.92125984  3.07874016] ; [90.07874016 13.92125984],0
a3,1,0.20066,1.637567,[12 11] ; [69 35],[14.66929134  8.33070866] ; [66.33070866 37.66929134],0
p5,1,0.226995,1.459593,[ 2 21] ; [20 84],[ 3.98425197 19.01574803] ; [18.01574803 85.98425197],0
a8,1,0.252995,1.306692,[ 1 20] ; [14 88],[ 2.56097561 18.43902439] ; [12.43902439 89.56097561],0
a4,1,0.257327,1.283083,[ 7 16] ; [45 59],[ 9.41732283 13.58267717] ; [42.58267717 61.41732283],0
v3,1,0.283962,1.148028,[ 7 15] ; [46 58],[ 9.25396825 12.74603175] ; [43.74603175 60.25396825],0
r2,1,0.30564,1.049422,[19  4] ; [91 10],[20.40322581  2.59677419] ; [89.59677419 11.40322581],0
