Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,57.496181,[103   2] ; [19 22],[87.73972603 17.26027397] ; [34.26027397  6.73972603],1
r2,1,0.0,38.603287,[99  6] ; [20 20],[86.17241379 18.82758621] ; [32.82758621  7.17241379],1
r1,1,0.0,25.291858,[82 23] ; [14 27],[69.04109589 35.95890411] ; [26.95890411 14.04109589],1
v4,1,2e-06,22.992428,[99  5] ; [26 14],[90.27777778 13.72222222] ; [34.72222222  5.27777778],1
a6,1,0.001733,9.812569,[66 39] ; [14 27],[57.53424658 47.46575342] ; [22.46575342 18.53424658],0
p11,1,0.001881,9.66179,[75 30] ; [18 23],[66.88356164 38.11643836] ; [26.11643836 14.88356164],0
n2,1,0.003652,8.449445,[25  8] ; [ 9 15],[19.68421053 13.31578947] ; [14.31578947  9.68421053],0
p3,1,0.003917,8.321955,[39 66] ; [ 5 35],[31.86206897 73.13793103] ; [12.13793103 27.86206897],0
p9,1,0.00586,7.592758,[77 27] ; [20 20],[70.05555556 33.94444444] ; [26.94444444 13.05555556],0
b1,1,0.011532,6.381477,[35 70] ; [23 18],[41.71232877 63.28767123] ; [16.28767123 24.71232877],0
s6,1,0.011811,6.338981,[43 60] ; [ 8 33],[36.47916667 66.52083333] ; [14.52083333 26.47916667],0
p8,1,0.013447,6.10936,[50 55] ; [10 30],[43.44827586 61.55172414] ; [16.55172414 23.44827586],0
p7,1,0.01637,5.762728,[58 45] ; [14 27],[51.5 51.5] ; [20.5 20.5],0
n6,1,0.02601,4.955384,[72 33] ; [20 21],[66.16438356 38.83561644] ; [25.83561644 15.16438356],0
n3,1,0.026207,4.942338,[26  8] ; [11 12],[22.07017544 11.92982456] ; [14.92982456  8.07017544],0
u3,1,0.065451,3.393561,[26 18] ; [ 6 12],[22.70967742 21.29032258] ; [9.29032258 8.70967742],0
v2,1,0.076178,3.144621,[48 52] ; [13 28],[43.26241135 56.73758865] ; [17.73758865 23.26241135],0
d5,1,0.07637,3.140511,[75 30] ; [23 18],[70.47945205 34.52054795] ; [27.52054795 13.47945205],0
s1,1,0.079527,3.074537,[  3 102] ; [ 4 37],[ 5.03424658 99.96575342] ; [ 1.96575342 39.03424658],0
p2,1,0.088314,2.904836,[76 28] ; [24 17],[71.72413793 32.27586207] ; [28.27586207 12.72413793],0
u2,1,0.106502,2.605371,[27 17] ; [ 7 11],[24.12903226 19.87096774] ; [9.87096774 8.12903226],0
d1,1,0.106604,2.60386,[46 59] ; [12 29],[41.71232877 63.28767123] ; [16.28767123 24.71232877],0
a5,1,0.109432,2.562398,[59 46] ; [17 24],[54.65753425 50.34246575] ; [21.34246575 19.65753425],0
a7,1,0.13404,2.245084,[75 30] ; [24 17],[71.19863014 33.80136986] ; [27.80136986 13.19863014],0
