Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,30.768599,[64 42] ; [ 8 47],[47.40372671 58.59627329] ; [24.59627329 30.40372671],1
d2,1,5e-06,20.86717,[61 42] ; [12 44],[47.28930818 55.71069182] ; [25.71069182 30.28930818],1
a3,1,5e-06,20.834932,[81 25] ; [22 33],[67.8136646 38.1863354] ; [35.1863354 19.8136646],1
a6,1,6e-06,20.475009,[77 27] ; [21 35],[63.7 40.3] ; [34.3 21.7],1
d1,1,4.5e-05,16.640918,[66 40] ; [16 40],[53.65432099 52.34567901] ; [28.34567901 27.65432099],1
s7,1,0.001273,10.381883,[48 52] ; [11 41],[38.81578947 61.18421053] ; [20.18421053 31.81578947],0
d5,1,0.001862,9.680427,[82 22] ; [31 25],[73.45 30.55] ; [39.55 16.45],0
s5,1,0.005793,7.613607,[35 65] ; [ 7 44],[27.81456954 72.18543046] ; [14.18543046 36.81456954],0
n5,1,0.006037,7.539338,[77 29] ; [28 27],[69.13043478 36.86956522] ; [35.86956522 19.13043478],0
s8,1,0.006164,7.501832,[47 57] ; [13 43],[39. 65.] ; [21. 35.],0
b3,1,0.039075,4.257612,[31 42] ; [ 6 23],[26.48039216 46.51960784] ; [10.51960784 18.48039216],0
b2,1,0.039075,4.257612,[31 42] ; [ 6 23],[26.48039216 46.51960784] ; [10.51960784 18.48039216],0
u2,1,0.049093,3.872181,[10 14] ; [23 11],[13.65517241 10.34482759] ; [19.34482759 14.65517241],0
n4,1,0.054329,3.702573,[73 33] ; [30 26],[67.39506173 38.60493827] ; [35.60493827 20.39506173],0
b5,1,0.064852,3.408747,[60 46] ; [40 16],[65.43209877 40.56790123] ; [34.56790123 21.43209877],0
p1,1,0.065729,3.386594,[10 96] ; [ 1 55],[ 7.19753086 98.80246914] ; [ 3.80246914 52.19753086],0
d4,1,0.077487,3.116834,[82 22] ; [37 19],[77.35 26.65] ; [41.65 14.35],0
d3,1,0.081245,3.039825,[65 39] ; [27 29],[59.8 44.2] ; [32.2 23.8],0
p9,1,0.116816,2.459496,[72 32] ; [30 23],[67.56687898 36.43312102] ; [34.43312102 18.56687898],0
p5,1,0.135899,2.223787,[11 93] ; [ 2 52],[ 8.55696203 95.44303797] ; [ 4.44303797 49.55696203],0
p3,1,0.137201,2.209073,[38 66] ; [14 42],[33.8 70.2] ; [18.2 37.8],0
v2,1,0.137579,2.204835,[55 45] ; [22 30],[50.65789474 49.34210526] ; [26.34210526 25.65789474],0
r2,1,0.139709,2.181161,[101   5] ; [49  6],[98.75776398  7.24223602] ; [51.24223602  3.75776398],0
p7,1,0.153289,2.039216,[32 72] ; [22 30],[36. 68.] ; [18. 34.],0
s6,1,0.15827,1.990679,[65 39] ; [28 27],[60.83018868 43.16981132] ; [32.16981132 22.83018868],0
p10,1,0.169604,1.886441,[70 35] ; [30 24],[66.03773585 38.96226415] ; [33.96226415 20.03773585],0
s2,1,0.171294,1.87158,[52 53] ; [21 34],[47.90625 57.09375] ; [25.09375 29.90625],0
a1,1,0.175403,1.836146,[10 96] ; [ 2 54],[ 7.85185185 98.14814815] ; [ 4.14814815 51.85185185],0
p12,1,0.184063,1.764506,[10 96] ; [ 2 53],[ 7.90062112 98.09937888] ; [ 4.09937888 50.90062112],0
s1,1,0.215798,1.532098,[  6 100] ; [ 6 48],[ 7.95 98.05] ; [ 4.05 49.95],0
a7,1,0.264857,1.24319,[70 36] ; [32 24],[66.74074074 39.25925926] ; [35.25925926 20.74074074],0
v3,1,0.293384,1.104026,[38 60] ; [16 37],[35.04635762 62.95364238] ; [18.95364238 34.04635762],0
b4,1,0.397132,0.716994,[57 49] ; [34 22],[59.54320988 46.45679012] ; [31.45679012 24.54320988],0
p11,1,0.405296,0.692558,[61 45] ; [36 20],[63.4691358 42.5308642] ; [33.5308642 22.4691358],0
p8,1,0.409032,0.681612,[29 77] ; [12 44],[26.82716049 79.17283951] ; [14.17283951 41.82716049],0
r1,1,0.424256,0.638496,[80 26] ; [39 17],[77.86419753 28.13580247] ; [41.13580247 14.86419753],0
