Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,27.719421,[30 17] ; [ 2 32],[18.56790123 28.43209877] ; [13.43209877 20.56790123],1
d4,1,1e-06,24.823026,[42  5] ; [12 21],[31.725 15.275] ; [22.275 10.725],1
a5,1,1e-05,19.436174,[33 14] ; [ 7 27],[23.20987654 23.79012346] ; [16.79012346 17.20987654],1
d2,1,0.000223,13.624342,[30 16] ; [ 8 26],[21.85 24.15] ; [16.15 17.85],1
v4,1,0.0004,12.533849,[42  5] ; [18 15],[35.25 11.75] ; [24.75  8.25],1
a4,1,0.000569,11.876276,[24 22] ; [ 5 29],[16.675 29.325] ; [12.325 21.675],1
v2,1,0.000732,11.406668,[25 22] ; [ 5 27],[17.84810127 29.15189873] ; [12.15189873 19.84810127],1
s6,1,0.002174,9.396199,[27 17] ; [ 9 25],[20.30769231 23.69230769] ; [15.69230769 18.30769231],0
a3,1,0.002661,9.026435,[33 14] ; [12 21],[26.4375 20.5625] ; [18.5625 14.4375],0
r1,1,0.00635,7.448149,[31 16] ; [12 22],[24.95061728 22.04938272] ; [18.04938272 15.95061728],0
s5,1,0.007975,7.039162,[17 27] ; [ 4 30],[11.84615385 32.15384615] ; [ 9.15384615 24.84615385],0
r4,1,0.015833,5.821291,[32 15] ; [14 20],[26.69135802 20.30864198] ; [19.30864198 14.69135802],0
p3,1,0.020155,5.398387,[21 25] ; [ 7 27],[16.1 29.9] ; [11.9 22.1],0
r2,1,0.021216,5.30899,[39  6] ; [22 12],[34.74683544 10.25316456] ; [26.25316456  7.74683544],0
r3,1,0.025829,4.967459,[36 11] ; [18 16],[31.33333333 15.66666667] ; [22.66666667 11.33333333],0
d3,1,0.026206,4.942403,[24 23] ; [ 9 25],[19.14814815 27.85185185] ; [13.85185185 20.14814815],0
s4,1,0.056068,3.650023,[12 35] ; [ 3 31],[ 8.7037037 38.2962963] ; [ 6.2962963 27.7037037],0
n3,1,0.080732,3.0501,[15  8] ; [5 9],[12.43243243 10.56756757] ; [7.56756757 6.43243243],0
v3,1,0.088519,2.901104,[17 26] ; [ 7 26],[13.57894737 29.42105263] ; [10.42105263 22.57894737],0
s8,1,0.08973,2.879202,[16 30] ; [ 6 28],[12.65 33.35] ; [ 9.35 24.65],0
b1,1,0.112148,2.523684,[33 14] ; [18 16],[29.59259259 17.40740741] ; [21.40740741 12.59259259],0
n6,1,0.154083,2.031358,[31 15] ; [17 16],[27.94936709 18.05063291] ; [20.05063291 12.94936709],0
s2,1,0.162915,1.946956,[21 26] ; [10 24],[17.98765432 29.01234568] ; [13.01234568 20.98765432],0
p10,1,0.197696,1.659315,[22 24] ; [11 22],[19.21518987 26.78481013] ; [13.78481013 19.21518987],0
n5,1,0.198895,1.650469,[26 20] ; [24 10],[28.75 17.25] ; [21.25 12.75],0
p6,1,0.243433,1.360601,[12 34] ; [ 5 28],[ 9.89873418 36.10126582] ; [ 7.10126582 25.89873418],0
