Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.002564,9.094236,[9 6] ; [16 58],[ 4.21348315 10.78651685] ; [20.78651685 53.21348315],0
n2,1,0.008892,6.844444,[8 1] ; [14 21],[4.5 4.5] ; [17.5 17.5],0
a3,1,0.009056,6.811836,[13  3] ; [34 41],[8.26373626 7.73626374] ; [38.73626374 36.26373626],0
v4,1,0.016612,5.736869,[13  2] ; [40 35],[8.83333333 6.16666667] ; [44.16666667 30.83333333],0
n6,1,0.036049,4.394781,[13  3] ; [39 35],[9.24444444 6.75555556] ; [42.75555556 31.24444444],0
n5,1,0.041634,4.15003,[14  2] ; [45 29],[10.48888889  5.51111111] ; [48.51111111 25.48888889],0
r2,1,0.04211,4.130787,[12  3] ; [37 35],[8.44827586 6.55172414] ; [40.55172414 31.44827586],0
p1,1,0.045723,3.991784,[ 4 12] ; [ 6 70],[ 1.73913043 14.26086957] ; [ 8.26086957 67.73913043],0
n4,1,0.054007,3.712479,[13  3] ; [42 34],[9.56521739 6.43478261] ; [45.43478261 30.56521739],0
b1,1,0.055169,3.676967,[ 4 12] ; [39 37],[7.47826087 8.52173913] ; [35.52173913 40.47826087],0
d5,1,0.066089,3.377585,[13  3] ; [43 33],[9.73913043 6.26086957] ; [46.26086957 29.73913043],0
d1,1,0.07856,3.094454,[9 7] ; [25 51],[ 5.91304348 10.08695652] ; [28.08695652 47.91304348],0
s4,1,0.082191,3.021039,[ 1 15] ; [20 56],[ 3.65217391 12.34782609] ; [17.34782609 58.65217391],0
b3,1,0.087669,2.916667,[5 3] ; [15 33],[2.85714286 5.14285714] ; [17.14285714 30.85714286],0
b2,1,0.087669,2.916667,[5 3] ; [15 33],[2.85714286 5.14285714] ; [17.14285714 30.85714286],0
p10,1,0.09808,2.736486,[11  5] ; [34 40],[8. 8.] ; [37. 37.],0
d2,1,0.103372,2.652728,[9 6] ; [28 47],[6.16666667 8.83333333] ; [30.83333333 44.16666667],0
u3,1,0.112484,2.51897,[2 1] ; [10 31],[0.81818182 2.18181818] ; [11.18181818 29.81818182],0
d4,1,0.128251,2.313553,[12  3] ; [45 31],[9.3956044 5.6043956] ; [47.6043956 28.3956044],0
a2,1,0.184034,1.764743,[ 3 13] ; [ 6 70],[ 1.56521739 14.43478261] ; [ 7.43478261 68.56521739],0
s8,1,0.185107,1.75614,[ 4 11] ; [10 66],[ 2.30769231 12.69230769] ; [11.69230769 64.30769231],0
p11,1,0.196078,1.671352,[10  6] ; [34 42],[7.65217391 8.34782609] ; [36.34782609 39.65217391],0
p9,1,0.209932,1.571895,[10  6] ; [33 40],[7.73033708 8.26966292] ; [35.26966292 37.73033708],0
d3,1,0.212234,1.556123,[10  6] ; [34 41],[7.73626374 8.26373626] ; [36.26373626 38.73626374],0
s2,1,0.234288,1.414636,[6 9] ; [19 57],[ 4.12087912 10.87912088] ; [20.87912088 55.12087912],0
a4,1,0.261216,1.2623,[7 9] ; [22 53],[ 5.0989011 10.9010989] ; [23.9010989 51.0989011],0
r3,1,0.263213,1.251779,[9 5] ; [36 39],[7.07865169 6.92134831] ; [37.92134831 37.07865169],0
n1,1,0.361855,0.831444,[4 5] ; [10 25],[2.86363636 6.13636364] ; [11.13636364 23.86363636],0
b4,1,0.368829,0.807607,[11  5] ; [43 33],[9.39130435 6.60869565] ; [44.60869565 31.39130435],0
s5,1,0.387794,0.745846,[ 1 14] ; [11 62],[ 2.04545455 12.95454545] ; [ 9.95454545 63.04545455],0
p2,1,0.427168,0.630512,[7 9] ; [41 34],[8.43956044 7.56043956] ; [39.56043956 35.43956044],0
r1,1,0.430757,0.620783,[ 6 10] ; [21 55],[ 4.69565217 11.30434783] ; [22.30434783 53.69565217],0
p4,1,0.450689,0.568919,[ 4 11] ; [28 48],[5.27472527 9.72527473] ; [26.72527473 49.27472527],0
b5,1,0.457986,0.550812,[7 9] ; [41 35],[8.34782609 7.65217391] ; [39.65217391 36.34782609],0
a6,1,0.518315,0.417245,[9 7] ; [36 40],[7.82608696 8.17391304] ; [37.17391304 38.82608696],0
a1,1,0.55238,0.35307,[ 2 14] ; [ 6 70],[ 1.39130435 14.60869565] ; [ 6.60869565 69.39130435],0
p3,1,0.594243,0.283766,[ 3 13] ; [19 57],[ 3.82608696 12.17391304] ; [18.17391304 57.82608696],0
s7,1,0.606086,0.265914,[ 5 10] ; [19 52],[ 4.18604651 10.81395349] ; [19.81395349 51.18604651],0
a5,1,0.64943,0.206619,[7 9] ; [38 38],[7.82608696 8.17391304] ; [37.17391304 38.82608696],0
p8,1,0.705065,0.143256,[ 4 12] ; [22 52],[ 4.62222222 11.37777778] ; [21.37777778 52.62222222],0
s6,1,0.733982,0.115487,[ 5 10] ; [22 54],[ 4.45054945 10.54945055] ; [22.54945055 53.45054945],0
u2,1,0.782186,0.076437,[1 2] ; [17 24],[1.22727273 1.77272727] ; [16.77272727 24.22727273],0
a7,1,0.813452,0.055684,[8 7] ; [38 38],[7.58241758 7.41758242] ; [38.41758242 37.58241758],0
u1,1,0.874254,0.025045,[ 1 15] ; [ 4 72],[ 0.86956522 15.13043478] ; [ 4.13043478 71.86956522],0
s1,1,0.874254,0.025045,[ 1 15] ; [ 4 72],[ 0.86956522 15.13043478] ; [ 4.13043478 71.86956522],0
p5,1,0.883859,0.021339,[ 1 15] ; [ 4 71],[ 0.87912088 15.12087912] ; [ 4.12087912 70.87912088],0
s3,1,0.893752,0.017838,[ 5 10] ; [26 48],[5.2247191 9.7752809] ; [25.7752809 48.2247191],0
p7,1,0.893752,0.017838,[ 5 10] ; [26 48],[5.2247191 9.7752809] ; [25.7752809 48.2247191],0
n3,1,0.985994,0.000308,[4 5] ; [15 19],[3.97674419 5.02325581] ; [15.02325581 18.97674419],0
p6,1,0.987511,0.000245,[ 3 13] ; [14 60],[ 3.02222222 12.97777778] ; [13.97777778 60.02222222],0
