Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,7.8e-05,15.610257,[56 15] ; [11 18],[47.57 23.43] ; [19.43  9.57],1
a5,1,0.009358,6.753242,[47 24] ; [11 18],[41.18 29.82] ; [16.82 12.18],0
n6,1,0.025039,5.021209,[57 14] ; [17 12],[52.54 18.46] ; [21.46  7.54],0
p10,1,0.032931,4.549369,[57 14] ; [16 11],[52.8877551 18.1122449] ; [20.1122449  6.8877551],0
v3,1,0.048304,3.899364,[24 44] ; [ 4 23],[20.04210526 47.95789474] ; [ 7.95789474 19.04210526],0
p9,1,0.092346,2.832998,[61 10] ; [20  8],[58.09090909 12.90909091] ; [22.90909091  5.09090909],0
p8,1,0.106471,2.605833,[32 37] ; [ 8 20],[28.45360825 40.54639175] ; [11.54639175 16.45360825],0
v1,1,0.109137,2.566671,[36 31] ; [10 18],[32.44210526 34.55789474] ; [13.55789474 14.44210526],0
a8,1,0.122794,2.381315,[11 60] ; [ 1 25],[ 8.78350515 62.21649485] ; [ 3.21649485 22.78350515],0
d4,1,0.125677,2.345105,[48 23] ; [24  5],[51.12 19.88] ; [20.88  8.12],0
r4,1,0.135537,2.227906,[48 23] ; [15 14],[44.73 26.27] ; [18.27 10.73],0
p11,1,0.157487,1.998196,[54 17] ; [18 11],[51.12 19.88] ; [20.88  8.12],0
s6,1,0.158927,1.98441,[49 18] ; [17 12],[46.0625 20.9375] ; [19.9375  9.0625],0
s8,1,0.197729,1.65907,[37 34] ; [11 18],[34.08 36.92] ; [13.92 15.08],0
s1,1,0.250188,1.322255,[ 3 67] ; [ 3 26],[ 4.24242424 65.75757576] ; [ 1.75757576 27.24242424],0
u2,1,0.257362,1.282895,[11 15] ; [8 5],[12.66666667 13.33333333] ; [6.33333333 6.66666667],0
p6,1,0.295992,1.092164,[26 44] ; [ 7 20],[23.81443299 46.18556701] ; [ 9.18556701 17.81443299],0
r3,1,0.315526,1.007403,[61 10] ; [27  2],[62.48  8.52] ; [25.52  3.48],0
r2,1,0.329848,0.949494,[58  9] ; [22  6],[56.42105263 10.57894737] ; [23.57894737  4.42105263],0
p2,1,0.339954,0.910606,[57 14] ; [20  8],[55.22222222 15.77777778] ; [21.77777778  6.22222222],0
b2,1,0.346709,0.885466,[12 33] ; [ 8 13],[13.63636364 31.36363636] ; [ 6.36363636 14.63636364],0
b3,1,0.346709,0.885466,[12 33] ; [ 8 13],[13.63636364 31.36363636] ; [ 6.36363636 14.63636364],0
b4,1,0.368664,0.808163,[46 25] ; [16 13],[44.02 26.98] ; [17.98 11.02],0
