Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.001063,10.71402,[ 8 19] ; [13  3],[13.18604651 13.81395349] ; [7.81395349 8.18604651],0
p10,1,0.001959,9.58749,[10 17] ; [13  2],[14.78571429 12.21428571] ; [8.21428571 6.78571429],0
s4,1,0.003712,8.419569,[ 1 26] ; [ 6 10],[ 4.39534884 22.60465116] ; [ 2.60465116 13.39534884],0
p11,1,0.004596,8.031854,[14 13] ; [15  1],[18.20930233  8.79069767] ; [10.79069767  5.20930233],0
p2,1,0.008389,6.948451,[15 12] ; [15  1],[18.8372093  8.1627907] ; [11.1627907  4.8372093],0
p4,1,0.018043,5.591991,[12 15] ; [13  3],[15.69767442 11.30232558] ; [9.30232558 6.69767442],0
p9,1,0.018884,5.512222,[13 13] ; [13  2],[16.48780488  9.51219512] ; [9.51219512 5.48780488],0
b4,1,0.034695,4.460144,[19  8] ; [ 6 10],[15.69767442 11.30232558] ; [9.30232558 6.69767442],0
p6,1,0.042315,4.122547,[ 4 22] ; [7 9],[ 6.80952381 19.19047619] ; [ 4.19047619 11.80952381],0
v3,1,0.060254,3.530378,[ 6 21] ; [8 8],[ 8.79069767 18.20930233] ; [ 5.20930233 10.79069767],0
r4,1,0.060254,3.530378,[ 6 21] ; [8 8],[ 8.79069767 18.20930233] ; [ 5.20930233 10.79069767],0
p3,1,0.102308,2.669186,[ 8 18] ; [9 7],[10.52380952 15.47619048] ; [6.47619048 9.52380952],0
r3,1,0.130169,2.290483,[18  9] ; [14  2],[20.09302326  6.90697674] ; [11.90697674  4.09302326],0
r1,1,0.140917,2.167917,[ 9 18] ; [9 7],[11.30232558 15.69767442] ; [6.69767442 9.30232558],0
n2,1,0.143235,2.142857,[4 6] ; [4 1],[5.33333333 4.66666667] ; [2.66666667 2.33333333],0
v2,1,0.167064,1.909091,[12 15] ; [10  5],[14.14285714 12.85714286] ; [7.85714286 7.14285714],0
s8,1,0.167924,1.901384,[ 5 22] ; [ 6 10],[ 6.90697674 20.09302326] ; [ 4.09302326 11.90697674],0
n1,1,0.170904,1.875,[1 9] ; [2 3],[2. 8.] ; [1. 4.],0
v1,1,0.181623,1.784294,[ 8 19] ; [8 8],[10.04651163 16.95348837] ; [ 5.95348837 10.04651163],0
s5,1,0.200359,1.639759,[ 4 23] ; [ 5 11],[ 5.65116279 21.34883721] ; [ 3.34883721 12.65116279],0
s7,1,0.219901,1.505017,[ 6 17] ; [6 7],[ 7.66666667 15.33333333] ; [4.33333333 8.66666667],0
b5,1,0.220095,1.503751,[17 10] ; [7 9],[15.06976744 11.93023256] ; [8.93023256 7.06976744],0
p5,1,0.233081,1.421958,[ 3 24] ; [ 4 12],[ 4.39534884 22.60465116] ; [ 2.60465116 13.39534884],0
a5,1,0.277613,1.17874,[14 13] ; [11  5],[15.69767442 11.30232558] ; [9.30232558 6.69767442],0
u2,1,0.305507,1.05,[9 5] ; [6 1],[10.  4.] ; [5. 2.],0
a4,1,0.347695,0.881851,[ 8 19] ; [7 9],[ 9.41860465 17.58139535] ; [ 5.58139535 10.41860465],0
