Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,84.674137,[ 6 34] ; [229  47],[29.74683544 10.25316456] ; [205.25316456  70.74683544],1
v4,1,0.0,50.732835,[19 21] ; [248  26],[34.01273885  5.98726115] ; [232.98726115  41.01273885],1
r3,1,0.0,39.698022,[21 18] ; [250  25],[33.65923567  5.34076433] ; [237.34076433  37.65923567],1
r1,1,0.0,32.982734,[11 29] ; [201  74],[26.92063492 13.07936508] ; [185.07936508  89.92063492],1
p10,1,0.00024,13.490734,[13 26] ; [175  98],[23.5 15.5] ; [164.5 108.5],1
a6,1,0.001608,9.950169,[17 23] ; [187  88],[25.9047619 14.0952381] ; [178.0952381  96.9047619],0
a7,1,0.002031,9.521045,[17 23] ; [185  89],[25.73248408 14.26751592] ; [176.26751592  97.73248408],0
u3,1,0.002202,9.372699,[ 3 16] ; [51 43],[9.07964602 9.92035398] ; [44.92035398 49.07964602],0
p9,1,0.002473,9.1603,[17 21] ; [189  83],[25.2516129 12.7483871] ; [180.7483871  91.2516129],0
p11,1,0.002535,9.115051,[17 23] ; [185  91],[25.56962025 14.43037975] ; [176.43037975  99.56962025],0
v3,1,0.003121,8.735298,[ 3 37] ; [ 79 187],[10.71895425 29.28104575] ; [ 71.28104575 194.71895425],0
a5,1,0.00828,6.971912,[16 24] ; [171 105],[23.67088608 16.32911392] ; [163.32911392 112.67088608],0
n6,1,0.009414,6.742475,[21 18] ; [204  72],[27.85714286 11.14285714] ; [197.14285714  78.85714286],0
s3,1,0.009853,6.661334,[ 9 30] ; [123 151],[16.44728435 22.55271565] ; [115.55271565 158.44728435],0
p2,1,0.011332,6.412515,[20 20] ; [192  82],[27.00636943 12.99363057] ; [184.99363057  89.00636943],0
d3,1,0.011889,6.327279,[18 22] ; [179  94],[25.17571885 14.82428115] ; [171.82428115 101.17571885],0
d5,1,0.016819,5.715165,[22 18] ; [201  73],[28.40764331 11.59235669] ; [194.59235669  79.40764331],0
b1,1,0.024449,5.062474,[23 17] ; [107 169],[16.4556962 23.5443038] ; [113.5443038 162.4556962],0
n3,1,0.032527,4.57049,[8 9] ; [68 25],[11.74545455  5.25454545] ; [64.25454545 28.74545455],0
s6,1,0.04023,4.208144,[12 28] ; [130 145],[18.03174603 21.96825397] ; [123.96825397 151.03174603],0
