Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,110.760503,[198 275] ; [226  52],[267.04660453 205.95339547] ; [156.95339547 121.04660453],1
v1,1,0.0,33.401058,[206 274] ; [181  99],[244.42105263 235.57894737] ; [142.57894737 137.42105263],1
n4,1,1e-05,19.593856,[335 154] ; [235  48],[361.0492228 127.9507772] ; [208.9507772  74.0492228],1
s8,1,1.9e-05,18.246692,[174 316] ; [144 137],[202.10116732 287.89883268] ; [115.89883268 165.10116732],1
s7,1,2e-05,18.22543,[187 286] ; [149 118],[214.76756757 258.23243243] ; [121.23243243 145.76756757],1
n5,1,5.2e-05,16.388477,[321 165] ; [225  57],[345.515625 140.484375] ; [200.484375  81.515625],1
p3,1,0.00076,11.336319,[198 291] ; [150 133],[220.43005181 268.56994819] ; [127.56994819 155.43005181],1
p12,1,0.000862,11.102403,[ 16 471] ; [ 25 256],[ 25.99869792 461.00130208] ; [ 15.00130208 265.99869792],1
d1,1,0.001481,10.102007,[257 234] ; [182 102],[278.12774194 212.87225806] ; [160.87225806 123.12774194],0
n6,1,0.003749,8.401674,[390  99] ; [248  34],[404.6459144  84.3540856] ; [233.3540856  48.6459144],0
p10,1,0.005195,7.810378,[366 120] ; [235  45],[381.31331593 104.68668407] ; [219.68668407  60.31331593],0
r4,1,0.008203,6.988586,[433  58] ; [267  17],[443.48387097  47.51612903] ; [256.51612903  27.48387097],0
a3,1,0.009888,6.654977,[323 167] ; [211  71],[338.93782383 151.06217617] ; [195.06217617  86.93782383],0
s2,1,0.012534,6.233745,[221 267] ; [153 127],[237.64583333 250.35416667] ; [136.35416667 143.64583333],0
a2,1,0.014411,5.987118,[102 389] ; [ 81 203],[115.93935484 375.06064516] ; [ 67.06064516 216.93935484],0
d2,1,0.016697,5.727978,[216 274] ; [150 133],[232.00517464 257.99482536] ; [133.99482536 149.00517464],0
r2,1,0.020471,5.371282,[449  35] ; [273   9],[456.19843342  27.80156658] ; [265.80156658  16.19843342],0
r1,1,0.021638,5.274678,[374 113] ; [237  46],[386.43766234 100.56233766] ; [224.56233766  58.43766234],0
a1,1,0.021856,5.257179,[ 12 479] ; [ 16 268],[ 17.73935484 473.26064516] ; [ 10.26064516 273.73935484],0
d4,1,0.024617,5.050616,[387 103] ; [242  41],[398.71927555  91.28072445] ; [230.28072445  52.71927555],0
s4,1,0.030137,4.701438,[ 95 389] ; [ 38 244],[ 84.03655352 399.96344648] ; [ 48.96344648 233.03655352],0
d3,1,0.041389,4.160013,[320 169] ; [206  78],[332.74773609 156.25226391] ; [193.25226391  90.74773609],0
p7,1,0.042035,4.133788,[283 198] ; [183  93],[296.09775429 184.90224571] ; [169.90224571 106.09775429],0
a5,1,0.042482,4.115896,[340 151] ; [216  68],[352.25290323 138.74709677] ; [203.74709677  80.25290323],0
v4,1,0.043347,4.081836,[455  32] ; [274   9],[461.06883117  25.93116883] ; [267.93116883  15.06883117],0
p9,1,0.053289,3.734819,[387  99] ; [237  41],[396.94240838  89.05759162] ; [227.05759162  50.94240838],0
u1,1,0.061064,3.508239,[ 76 415] ; [ 59 225],[ 85.52903226 405.47096774] ; [ 49.47096774 234.52903226],0
s3,1,0.067166,3.350967,[255 235] ; [162 113],[267.09803922 222.90196078] ; [149.90196078 125.09803922],0
p8,1,0.078632,3.092962,[224 262] ; [146 131],[235.67496723 250.32503277] ; [134.32503277 142.67496723],0
b4,1,0.085735,2.952684,[275 216] ; [177 107],[286.36387097 204.63612903] ; [165.63612903 118.36387097],0
p4,1,0.119178,2.428091,[257 232] ; [164 117],[267.36233766 221.63766234] ; [153.63766234 127.36233766],0
s6,1,0.131257,2.27757,[304 182] ; [187  88],[313.56898817 172.43101183] ; [177.43101183  97.56898817],0
d5,1,0.150804,2.0641,[386 104] ; [235  48],[393.64812419  96.35187581] ; [227.35187581  55.64812419],0
p2,1,0.180485,1.793627,[395  95] ; [239  44],[401.88874515  88.11125485] ; [232.11125485  50.88874515],0
p11,1,0.188657,1.728076,[376 115] ; [229  55],[383.29677419 107.70322581] ; [221.70322581  62.29677419],0
u4,1,0.214616,1.540015,[  5 486] ; [  6 278],[  6.96903226 484.03096774] ; [  4.03096774 279.96903226],0
p1,1,0.215004,1.537407,[ 24 464] ; [ 20 263],[ 27.84954604 460.15045396] ; [ 16.15045396 266.84954604],0
b2,1,0.229736,1.442495,[ 91 188] ; [ 66 107],[ 96.90929204 182.09070796] ; [ 60.09070796 112.90929204],0
b3,1,0.229736,1.442495,[ 91 188] ; [ 66 107],[ 96.90929204 182.09070796] ; [ 60.09070796 112.90929204],0
b1,1,0.234564,1.412969,[194 297] ; [100 184],[186.26322581 304.73677419] ; [107.73677419 176.26322581],0
s1,1,0.283433,1.150556,[ 15 471] ; [  5 273],[ 12.72251309 473.27748691] ; [  7.27748691 270.72251309],0
a6,1,0.334325,0.932071,[327 164] ; [198  85],[333.04263566 157.95736434] ; [191.95736434  91.04263566],0
a4,1,0.34638,0.886673,[208 282] ; [130 153],[214.25614489 275.74385511] ; [123.74385511 159.25614489],0
n1,1,0.35846,0.843281,[47 81] ; [16 38],[44.30769231 83.69230769] ; [18.69230769 35.30769231],0
n3,1,0.391671,0.733747,[92 34] ; [45 12],[94.32786885 31.67213115] ; [42.67213115 14.32786885],0
a8,1,0.516979,0.419917,[ 61 397] ; [ 38 214],[ 63.86197183 394.13802817] ; [ 35.13802817 216.86197183],0
u2,1,0.51921,0.415463,[87 79] ; [41 31],[89.27731092 76.72268908] ; [38.72268908 33.27731092],0
a7,1,0.536148,0.382726,[350 140] ; [208  75],[353.71280724 136.28719276] ; [204.28719276  78.71280724],0
s5,1,0.634713,0.225724,[137 337] ; [ 84 191],[139.85847797 334.14152203] ; [ 81.14152203 193.85847797],0
p6,1,0.790032,0.0709,[160 325] ; [ 94 183],[161.66666667 323.33333333] ; [ 92.33333333 184.66666667],0
u3,1,0.878393,0.023411,[94 72] ; [40 32],[93.46218487 72.53781513] ; [40.53781513 31.46218487],0
n2,1,0.910972,0.012502,[95 33] ; [42 14],[95.30434783 32.69565217] ; [41.69565217 14.30434783],0
b5,1,0.921828,0.00963,[306 185] ; [178 106],[306.63741935 184.36258065] ; [177.36258065 106.63741935],0
