Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,156.476686,[  5 105] ; [353 155],[63.72168285 46.27831715] ; [294.27831715 213.72168285],1
d3,1,0.0,110.397342,[26 84] ; [385 123],[73.15533981 36.84466019] ; [337.84466019 170.15533981],1
d5,1,0.0,91.260504,[53 57] ; [446  62],[88.81877023 21.18122977] ; [410.18122977  97.81877023],1
d2,1,0.0,26.248649,[28 82] ; [265 241],[52.32142857 57.67857143] ; [240.67857143 265.32142857],1
a5,1,1e-06,24.797002,[61 49] ; [398 110],[81.69902913 28.30097087] ; [377.30097087 130.69902913],1
a3,1,1e-06,23.558535,[58 52] ; [384 123],[78.8006483 31.1993517] ; [363.1993517 143.8006483],1
a4,1,1e-05,19.542972,[27 82] ; [243 264],[47.77597403 61.22402597] ; [222.22402597 284.77597403],1
u1,1,2.4e-05,17.859311,[  3 107] ; [ 97 411],[17.79935275 92.20064725] ; [ 82.20064725 425.79935275],1
s2,1,7.1e-05,15.789743,[31 79] ; [246 256],[49.7875817 60.2124183] ; [227.2124183 274.7875817],1
a2,1,0.000113,14.901055,[  9 101] ; [127 381],[24.20711974 85.79288026] ; [111.79288026 396.20711974],1
r3,1,0.000523,12.032237,[99 10] ; [494  12],[105.10081301   3.89918699] ; [487.89918699  18.10081301],1
a7,1,0.001281,10.370352,[65 45] ; [377 130],[78.8006483 31.1993517] ; [363.1993517 143.8006483],0
s7,1,0.005304,7.772739,[34 68] ; [236 251],[46.75721562 55.24278438] ; [223.24278438 263.75721562],0
n4,1,0.005784,7.616487,[77 33] ; [415  93],[87.57281553 22.42718447] ; [404.42718447 103.57281553],0
v2,1,0.008589,6.9063,[50 53] ; [305 183],[61.86971235 41.13028765] ; [293.13028765 194.86971235],0
r1,1,0.00978,6.674524,[77 32] ; [413  93],[86.84552846 22.15447154] ; [403.15447154 102.84552846],0
u3,1,0.013315,6.12675,[22 30] ; [77 46],[29.41714286 22.58285714] ; [69.58285714 53.41714286],0
s6,1,0.0136,6.089325,[56 53] ; [319 179],[67.33937397 41.66062603] ; [307.66062603 190.33937397],0
a6,1,0.016268,5.773678,[65 45] ; [359 148],[75.59157212 34.40842788] ; [348.40842788 158.59157212],0
p1,1,0.0171,5.686081,[16 93] ; [ 38 466],[ 9.60195759 99.39804241] ; [ 44.39804241 459.60195759],0
s5,1,0.017114,5.684594,[22 87] ; [156 336],[32.2828619 76.7171381] ; [145.7171381 346.2828619],0
p9,1,0.021202,5.310097,[88 21] ; [445  56],[95.24098361 13.75901639] ; [437.75901639  63.24098361],0
s8,1,0.024301,5.072992,[37 72] ; [231 274],[47.57654723 61.42345277] ; [220.42345277 284.57654723],0
s3,1,0.025719,4.974812,[46 62] ; [271 227],[56.4950495 51.5049505] ; [260.5049505 237.4950495],0
n3,1,0.0288,4.779504,[26  3] ; [68 30],[21.46456693  7.53543307] ; [72.53543307 25.46456693],0
r4,1,0.030334,4.690287,[93 17] ; [464  44],[99.14239482 10.85760518] ; [457.85760518  50.14239482],0
r2,1,0.030683,4.670617,[97 12] ; [472  27],[102.00822368   6.99177632] ; [466.99177632  32.00822368],0
p4,1,0.045812,3.988486,[57 53] ; [313 191],[66.28664495 43.71335505] ; [303.71335505 200.28664495],0
v3,1,0.059453,3.552565,[36 72] ; [210 276],[44.72727273 63.27272727] ; [201.27272727 284.72727273],0
u2,1,0.068582,3.316648,[26 26] ; [79 43],[31.37931034 20.62068966] ; [73.62068966 48.37931034],0
n6,1,0.070277,3.276533,[88 22] ; [437  67],[94.05537459 15.94462541] ; [430.94462541  73.05537459],0
p10,1,0.079567,3.073734,[86 22] ; [433  69],[91.88852459 16.11147541] ; [427.11147541  74.88852459],0
v1,1,0.082684,3.011346,[51 55] ; [281 209],[59.04697987 46.95302013] ; [272.95302013 217.04697987],0
p2,1,0.095816,2.773834,[88 21] ; [437  66],[93.50490196 15.49509804] ; [431.49509804  71.50490196],0
a1,1,0.1022,2.670871,[  2 108] ; [ 28 480],[  5.33980583 104.66019417] ; [ 24.66019417 483.33980583],0
s1,1,0.109244,2.565121,[  5 103] ; [ 10 491],[  2.66009852 105.33990148] ; [ 12.33990148 488.66009852],0
b2,1,0.128693,2.308194,[22 45] ; [141 188],[27.57828283 39.42171717] ; [135.42171717 193.57828283],0
b3,1,0.128693,2.308194,[22 45] ; [141 188],[27.57828283 39.42171717] ; [135.42171717 193.57828283],0
n1,1,0.179712,1.8,[13 15] ; [32 66],[10. 18.] ; [35. 63.],0
p7,1,0.185613,1.752099,[64 43] ; [328 165],[69.90666667 37.09333333] ; [322.09333333 170.90666667],0
b4,1,0.188455,1.729659,[59 51] ; [307 201],[65.14563107 44.85436893] ; [300.85436893 207.14563107],0
a8,1,0.2014,1.63219,[12 90] ; [ 78 384],[16.27659574 85.72340426] ; [ 73.72340426 388.27659574],0
n2,1,0.221651,1.493653,[24  5] ; [70 28],[21.46456693  7.53543307] ; [72.53543307 25.46456693],0
p8,1,0.279145,1.171248,[54 53] ; [281 219],[59.05271829 47.94728171] ; [275.94728171 224.05271829],0
p12,1,0.285716,1.139701,[  7 103] ; [ 48 453],[  9.90180033 100.09819967] ; [ 45.09819967 455.90180033],0
b1,1,0.468905,0.524556,[43 67] ; [180 328],[39.69255663 70.30744337] ; [183.30744337 324.69255663],0
p6,1,0.503365,0.447835,[35 74] ; [176 320],[38.01487603 70.98512397] ; [172.98512397 323.01487603],0
p5,1,0.730605,0.118556,[13 96] ; [ 66 436],[14.09328969 94.90671031] ; [ 64.90671031 437.09328969],0
p3,1,0.737244,0.112564,[53 56] ; [255 251],[54.58861789 54.41138211] ; [253.41138211 252.58861789],0
v4,1,0.819998,0.051778,[103   5] ; [478  26],[102.52941176   5.47058824] ; [478.47058824  25.52941176],0
n5,1,0.921914,0.009608,[83 27] ; [381 121],[83.39869281 26.60130719] ; [380.60130719 121.39869281],0
b5,1,0.98294,0.000457,[64 46] ; [295 213],[63.89967638 46.10032362] ; [295.10032362 212.89967638],0
