Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,37.02086,[131 118] ; [80 10],[154.98230088  94.01769912] ; [56.01769912 33.98230088],1
s2,1,0.0,33.9212,[ 89 159] ; [65 26],[112.66076696 135.33923304] ; [41.33923304 49.66076696],1
s8,1,6e-06,20.349878,[ 76 174] ; [52 39],[ 93.84164223 156.15835777] ; [34.15835777 56.84164223],1
s4,1,1.6e-05,18.562453,[ 18 229] ; [22 68],[ 29.31750742 217.68249258] ; [10.68249258 79.31750742],1
s3,1,2.4e-05,17.876272,[110 135] ; [62 25],[126.92771084 118.07228916] ; [45.07228916 41.92771084],1
s7,1,2.5e-05,17.778049,[ 88 148] ; [58 34],[105.04878049 130.95121951] ; [40.95121951 51.04878049],1
p7,1,0.000119,14.803434,[108 136] ; [60 28],[123.46987952 120.53012048] ; [44.53012048 43.46987952],1
p12,1,0.000267,13.287334,[  7 241] ; [12 80],[ 13.85882353 234.14117647] ; [ 5.14117647 86.85882353],1
p5,1,0.000606,11.758961,[  8 241] ; [12 80],[ 14.60410557 234.39589443] ; [ 5.39589443 86.60410557],1
p6,1,0.002814,8.924117,[ 53 192] ; [34 56],[ 63.62686567 181.37313433] ; [23.37313433 66.62686567],0
v4,1,0.010697,6.514999,[216  32] ; [87  3],[222.31952663  25.68047337] ; [80.68047337  9.31952663],0
r4,1,0.0135,6.102371,[200  50] ; [84  8],[207.60233918  42.39766082] ; [76.39766082 15.60233918],0
p4,1,0.02127,5.304521,[ 87 161] ; [44 46],[ 96.1183432 151.8816568] ; [34.8816568 55.1183432],0
p10,1,0.027296,4.872015,[171  76] ; [74 17],[179.03846154  67.96153846] ; [65.96153846 25.03846154],0
v1,1,0.027551,4.855919,[106 137] ; [52 39],[114.95209581 128.04790419] ; [43.04790419 47.95209581],0
d2,1,0.052733,3.752362,[111 137] ; [51 39],[118.86390533 129.13609467] ; [43.13609467 46.86390533],0
a5,1,0.054987,3.682494,[172  78] ; [73 19],[179.09356725  70.90643275] ; [65.90643275 26.09356725],0
p1,1,0.060793,3.515623,[ 13 236] ; [10 81],[ 16.84411765 232.15588235] ; [ 6.15588235 84.84411765],0
p8,1,0.06377,3.436509,[ 83 162] ; [40 49],[ 90.2245509 154.7754491] ; [32.7754491 56.2245509],0
