Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,34.135999,[81  4] ; [10 12],[72.28971963 12.71028037] ; [18.71028037  3.28971963],1
r3,1,1e-06,23.564159,[82  2] ; [14  8],[76.0754717  7.9245283] ; [19.9245283  2.0754717],1
p7,1,1.7e-05,18.532235,[63 22] ; [ 5 16],[54.52830189 30.47169811] ; [13.47169811  7.52830189],1
p11,1,2.3e-05,17.926448,[74 11] ; [10 12],[66.72897196 18.27102804] ; [17.27102804  4.72897196],1
p4,1,9.3e-05,15.272727,[52 32] ; [ 3 18],[44. 40.] ; [11. 10.],1
r1,1,0.000303,13.051909,[75 10] ; [12 10],[69.11214953 15.88785047] ; [17.88785047  4.11214953],1
v4,1,0.000572,11.86572,[83  2] ; [17  5],[79.43925234  5.56074766] ; [20.56074766  1.43925234],1
n6,1,0.001189,10.507413,[73 12] ; [12 10],[67.52336449 17.47663551] ; [17.47663551  4.52336449],0
p6,1,0.002251,9.333086,[32 51] ; [ 1 21],[26.08571429 56.91428571] ; [ 6.91428571 15.08571429],0
n4,1,0.003202,8.6885,[76  9] ; [14  8],[71.4953271 13.5046729] ; [18.5046729  3.4953271],0
v2,1,0.003314,8.626256,[72 13] ; [11  9],[67.19047619 17.80952381] ; [15.80952381  4.19047619],0
p3,1,0.003503,8.525089,[49 36] ; [ 5 17],[42.89719626 42.10280374] ; [11.10280374 10.89719626],0
p10,1,0.004077,8.249015,[70 14] ; [12 10],[64.98113208 19.01886792] ; [17.01886792  4.98113208],0
p9,1,0.004077,8.249015,[70 14] ; [12 10],[64.98113208 19.01886792] ; [17.01886792  4.98113208],0
v1,1,0.004343,8.134677,[55 29] ; [ 7 15],[49.13207547 34.86792453] ; [12.86792453  9.13207547],0
s8,1,0.006243,7.478887,[34 51] ; [ 2 20],[28.59813084 56.40186916] ; [ 7.40186916 14.59813084],0
p8,1,0.020327,5.383601,[50 34] ; [ 7 15],[45.16981132 38.83018868] ; [11.83018868 10.16981132],0
n3,1,0.027067,4.886538,[12  1] ; [4 4],[9.9047619 3.0952381] ; [6.0952381 1.9047619],0
a5,1,0.041295,4.163877,[65 20] ; [12 10],[61.1682243 23.8317757] ; [15.8317757  6.1682243],0
d4,1,0.042568,4.112489,[70 14] ; [14  8],[66.56603774 17.43396226] ; [17.43396226  4.56603774],0
s3,1,0.044799,4.026175,[25 58] ; [ 2 20],[21.34285714 61.65714286] ; [ 5.65714286 16.34285714],0
d3,1,0.047843,3.915506,[58 27] ; [10 12],[54.01869159 30.98130841] ; [13.98130841  8.01869159],0
d1,1,0.054627,3.693428,[54 31] ; [ 9 13],[50.04672897 34.95327103] ; [12.95327103  9.04672897],0
s4,1,0.06628,3.37282,[ 3 82] ; [ 3 19],[ 4.76635514 80.23364486] ; [ 1.23364486 20.76635514],0
a6,1,0.068517,3.318202,[60 25] ; [11 11],[56.40186916 28.59813084] ; [14.59813084  7.40186916],0
b5,1,0.11333,2.507164,[47 38] ; [ 8 14],[43.69158879 41.30841121] ; [11.30841121 10.69158879],0
a1,1,0.131078,2.279697,[ 4 81] ; [ 3 19],[ 5.56074766 79.43925234] ; [ 1.43925234 20.56074766],0
s7,1,0.132086,2.267821,[25 53] ; [ 3 17],[22.28571429 55.71428571] ; [ 5.71428571 14.28571429],0
a7,1,0.140313,2.174522,[63 21] ; [13  9],[60.22641509 23.77358491] ; [15.77358491  6.22641509],0
a2,1,0.194976,1.679615,[18 67] ; [ 2 20],[15.88785047 69.11214953] ; [ 4.11214953 17.88785047],0
r2,1,0.251943,1.3125,[81  3] ; [19  2],[80.  4.] ; [20.  1.],0
n1,1,0.2524,1.309972,[2 8] ; [4 5],[3.15789474 6.84210526] ; [2.84210526 6.15789474],0
d5,1,0.293098,1.105336,[67 18] ; [15  7],[65.14018692 19.85981308] ; [16.85981308  5.14018692],0
s2,1,0.302766,1.061973,[20 64] ; [ 3 19],[18.22641509 65.77358491] ; [ 4.77358491 17.22641509],0
n5,1,0.356214,0.851197,[66 19] ; [15  7],[64.34579439 20.65420561] ; [16.65420561  5.34579439],0
n2,1,0.374857,0.7875,[10  2] ; [6 3],[9.14285714 2.85714286] ; [6.85714286 2.14285714],0
a3,1,0.437042,0.604038,[62 22] ; [18  4],[63.39622642 20.60377358] ; [16.60377358  5.39622642],0
b1,1,0.481709,0.494991,[34 51] ; [ 7 15],[32.57009346 52.42990654] ; [ 8.42990654 13.57009346],0
p1,1,0.528014,0.398213,[11 74] ; [ 4 18],[11.91588785 73.08411215] ; [ 3.08411215 18.91588785],0
b4,1,0.643063,0.214758,[51 34] ; [12 10],[50.04672897 34.95327103] ; [12.95327103  9.04672897],0
a4,1,0.675925,0.174749,[39 46] ; [ 9 13],[38.13084112 46.86915888] ; [ 9.86915888 12.13084112],0
u3,1,0.80857,0.058696,[10 13] ; [2 2],[10.22222222 12.77777778] ; [1.77777778 2.22222222],0
b2,1,0.837675,0.041971,[29 33] ; [6 6],[29.32432432 32.67567568] ; [5.67567568 6.32432432],0
b3,1,0.837675,0.041971,[29 33] ; [6 6],[29.32432432 32.67567568] ; [5.67567568 6.32432432],0
d2,1,0.842286,0.039589,[44 40] ; [11 11],[43.58490566 40.41509434] ; [11.41509434 10.58490566],0
u2,1,0.935989,0.00645,[11 12] ; [2 2],[11.07407407 11.92592593] ; [1.92592593 2.07407407],0
