Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,103.884511,[293   9] ; [10 14],[280.69325153  21.30674847] ; [22.30674847  1.69325153],1
r4,1,0.0,75.744717,[278  26] ; [ 7 17],[264.14634146  39.85365854] ; [20.85365854  3.14634146],1
r1,1,1.9e-05,18.273487,[255  46] ; [12 12],[247.28307692  53.71692308] ; [19.71692308  4.28307692],1
s3,1,0.000248,13.427079,[156 140] ; [ 3 20],[147.53605016 148.46394984] ; [11.46394984 11.53605016],1
s2,1,0.001177,10.526356,[144 156] ; [ 3 20],[136.53250774 163.46749226] ; [10.46749226 12.53250774],0
d1,1,0.001916,9.628041,[198 106] ; [ 8 16],[190.92682927 113.07317073] ; [15.07317073  8.92682927],0
n6,1,0.002427,9.194628,[249  53] ; [13 10],[243.45846154  58.54153846] ; [18.54153846  4.45846154],0
d5,1,0.003278,8.646102,[259  44] ; [15  9],[253.88990826  49.11009174] ; [20.11009174  3.88990826],0
r3,1,0.008528,6.919035,[283  20] ; [18  5],[279.76380368  23.23619632] ; [21.23619632  1.76380368],0
n4,1,0.00896,6.83085,[235  67] ; [13 11],[229.74233129  72.25766871] ; [18.25766871  5.74233129],0
b1,1,0.013069,6.159742,[101 203] ; [14 10],[106.58536585 197.41463415] ; [ 8.41463415 15.58536585],0
s1,1,0.019303,5.473814,[  9 286] ; [ 3 21],[ 11.09717868 283.90282132] ; [ 0.90282132 23.09717868],0
s5,1,0.022407,5.213918,[ 88 203] ; [ 2 22],[ 83.14285714 207.85714286] ; [ 6.85714286 17.14285714],0
s6,1,0.022678,5.193036,[193 104] ; [10 14],[187.82242991 109.17757009] ; [15.17757009  8.82242991],0
a6,1,0.033279,4.531347,[225  78] ; [13 11],[220.53211009  82.46788991] ; [17.46788991  6.53211009],0
p2,1,0.038371,4.288487,[233  69] ; [14 10],[228.81595092  73.18404908] ; [18.18404908  5.81595092],0
d3,1,0.059949,3.538782,[219  84] ; [13 11],[214.97247706  88.02752294] ; [17.02752294  6.97247706],0
d2,1,0.067026,3.35439,[171 130] ; [ 9 15],[166.70769231 134.29230769] ; [13.29230769 10.70769231],0
p6,1,0.080003,3.064847,[ 71 226] ; [ 2 22],[ 67.54205607 229.45794393] ; [ 5.45794393 18.54205607],0
d4,1,0.082869,3.00771,[256  47] ; [17  7],[252.96330275  50.03669725] ; [20.03669725  3.96330275],0
n5,1,0.086746,2.93374,[224  77] ; [14 10],[220.42461538  80.57538462] ; [17.57538462  6.42461538],0
a1,1,0.09303,2.82114,[ 14 290] ; [ 3 21],[ 15.75609756 288.24390244] ; [ 1.24390244 22.75609756],0
