Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,77.677621,[260  62] ; [43 74],[222.24601367  99.75398633] ; [80.75398633 36.24601367],1
d3,1,0.0,38.703606,[259  63] ; [59 58],[233.24829157  88.75170843] ; [84.75170843 32.24829157],1
a2,1,0.0,33.739808,[112 210] ; [  8 109],[ 88.01822323 233.98177677] ; [31.98177677 85.01822323],1
u1,1,0.0,29.970604,[ 93 229] ; [  5 112],[ 71.88154897 250.11845103] ; [26.11845103 90.88154897],1
b5,1,2e-06,22.493452,[208 114] ; [46 71],[186.30523918 135.69476082] ; [67.69476082 49.30523918],1
r4,1,6e-05,16.108655,[307  15] ; [98 19],[297.06150342  24.93849658] ; [107.93849658   9.06150342],1
r1,1,0.000637,11.664993,[277  43] ; [85 32],[265.08009153  54.91990847] ; [96.91990847 20.08009153],1
a5,1,0.003966,8.299336,[264  58] ; [81 36],[253.0523918  68.9476082] ; [91.9476082 25.0523918],0
b1,1,0.005753,7.625982,[118 204] ; [60 57],[130.56036446 191.43963554] ; [47.43963554 69.56036446],0
r2,1,0.006565,7.388168,[308  12] ; [102  12],[302.30414747  17.69585253] ; [107.69585253   6.30414747],0
d1,1,0.009137,6.795907,[222 100] ; [65 52],[210.51025057 111.48974943] ; [76.48974943 40.51025057],0
v4,1,0.021792,5.262294,[311   9] ; [107   9],[306.78899083  13.21100917] ; [111.21100917   4.78899083],0
d4,1,0.042843,4.101571,[276  46] ; [90 26],[269.06849315  52.93150685] ; [96.93150685 19.06849315],0
p2,1,0.053894,3.715986,[299  23] ; [100  15],[294.  28.] ; [105.  10.],0
s8,1,0.060327,3.528376,[158 160] ; [70 47],[166.67586207 151.32413793] ; [61.32413793 55.67586207],0
v2,1,0.076941,3.128361,[196 119] ; [59 53],[188.1147541 126.8852459] ; [66.8852459 45.1147541],0
u3,1,0.078418,3.097391,[49 30] ; [13 17],[44.93577982 34.06422018] ; [17.06422018 12.93577982],0
d5,1,0.121564,2.39706,[280  42] ; [94 22],[274.94977169  47.05022831] ; [99.05022831 16.94977169],0
b4,1,0.132528,2.262643,[191 131] ; [60 57],[184.1047836 137.8952164] ; [66.8952164 50.1047836],0
p5,1,0.1489,2.083481,[ 57 261] ; [28 88],[ 62.28110599 255.71889401] ; [22.71889401 93.28110599],0
n6,1,0.154587,2.02639,[300  20] ; [105  12],[296.56750572  23.43249428] ; [108.43249428   8.56750572],0
s7,1,0.16372,1.939522,[171 127] ; [74 40],[177.20873786 120.79126214] ; [67.79126214 46.20873786],0
r3,1,0.173735,1.85042,[307  12] ; [109   8],[304.36697248  14.63302752] ; [111.63302752   5.36697248],0
s5,1,0.175229,1.837628,[115 193] ; [50 62],[121. 187.] ; [44. 68.],0
v1,1,0.185358,1.754131,[206 109] ; [66 47],[200.18691589 114.81308411] ; [71.81308411 41.18691589],0
b2,1,0.235721,1.406004,[ 78 127] ; [37 44],[ 82.43006993 122.56993007] ; [32.56993007 48.43006993],0
b3,1,0.235721,1.406004,[ 78 127] ; [37 44],[ 82.43006993 122.56993007] ; [32.56993007 48.43006993],0
p1,1,0.260953,1.263694,[ 37 285] ; [  9 107],[ 33.8173516 288.1826484] ; [ 12.1826484 103.8173516],0
p12,1,0.260953,1.263694,[ 37 285] ; [  9 107],[ 33.8173516 288.1826484] ; [ 12.1826484 103.8173516],0
p3,1,0.304966,1.052351,[225  96] ; [76 41],[220.59589041 100.40410959] ; [80.40410959 36.59589041],0
p9,1,0.310069,1.030383,[288  32] ; [109   8],[290.70938215  29.29061785] ; [106.29061785  10.70938215],0
n2,1,0.371744,0.797826,[37  9] ; [20  8],[35.43243243 10.56756757] ; [21.56756757  6.43243243],0
u2,1,0.398614,0.712502,[48 31] ; [15 14],[46.08333333 32.91666667] ; [16.91666667 12.08333333],0
p8,1,0.41856,0.654356,[216 102] ; [74 42],[212.48847926 105.51152074] ; [77.51152074 38.48847926],0
a4,1,0.427294,0.630166,[166 155] ; [55 61],[162.33638444 158.66361556] ; [58.66361556 57.33638444],0
n3,1,0.509071,0.435977,[34 12] ; [18  9],[32.76712329 13.23287671] ; [19.23287671  7.76712329],0
s2,1,0.526341,0.401452,[183 132] ; [64 53],[180.10416667 134.89583333] ; [66.89583333 50.10416667],0
v3,1,0.534594,0.385652,[136 170] ; [55 60],[138.82660333 167.17339667] ; [52.17339667 62.82660333],0
u4,1,0.555361,0.3478,[ 10 311] ; [  5 112],[ 10.99315068 310.00684932] ; [  4.00684932 112.99315068],0
s1,1,0.558275,0.3427,[ 12 306] ; [  3 112],[ 11.01616628 306.98383372] ; [  3.98383372 111.01616628],0
a1,1,0.584123,0.299616,[ 18 304] ; [  5 112],[ 16.87015945 305.12984055] ; [  6.12984055 110.87015945],0
d2,1,0.689442,0.159691,[177 144] ; [62 55],[175.15753425 145.84246575] ; [63.84246575 53.15753425],0
p6,1,0.717425,0.130973,[163 156] ; [56 58],[161.34180139 157.65819861] ; [57.65819861 56.34180139],0
n4,1,0.724109,0.124589,[290  31] ; [107  10],[290.95205479  30.04794521] ; [106.04794521  10.95205479],0
a3,1,0.773113,0.08312,[243  78] ; [87 30],[241.84931507  79.15068493] ; [88.15068493 28.84931507],0
s6,1,0.78945,0.071302,[235  79] ; [86 27],[236.05152225  77.94847775] ; [84.94847775 28.05152225],0
s4,1,0.916497,0.010993,[ 55 259] ; [21 96],[ 55.36890951 258.63109049] ; [20.63109049 96.36890951],0
p7,1,0.93609,0.00643,[237  82] ; [85 30],[236.67741935  82.32258065] ; [85.32258065 29.67741935],0
s3,1,0.945585,0.004658,[189 125] ; [70 47],[188.69141531 125.30858469] ; [70.30858469 46.69141531],0
