Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,3.5e-05,17.11056,[ 4 35] ; [16 12],[11.64179104 27.35820896] ; [ 8.35820896 19.64179104],1
p7,1,0.000242,13.476592,[11 28] ; [20  7],[18.31818182 20.68181818] ; [12.68181818 14.31818182],1
p6,1,0.000482,12.184148,[ 3 34] ; [12 14],[ 8.80952381 28.19047619] ; [ 6.19047619 19.80952381],1
r3,1,0.002029,9.52329,[23 16] ; [26  2],[28.52238806 10.47761194] ; [20.47761194  7.52238806],0
s6,1,0.032584,4.567481,[13 25] ; [17 11],[17.27272727 20.72727273] ; [12.72727273 15.27272727],0
p3,1,0.0447,4.029928,[ 9 30] ; [13 15],[12.80597015 26.19402985] ; [ 9.19402985 18.80597015],0
p9,1,0.057936,3.595505,[15 22] ; [18 10],[18.78461538 18.21538462] ; [14.21538462 13.78461538],0
s2,1,0.068863,3.309915,[11 28] ; [14 14],[14.55223881 24.44776119] ; [10.44776119 17.55223881],0
d3,1,0.077143,3.124089,[10 29] ; [13 15],[13.3880597 25.6119403] ; [ 9.6119403 18.3880597],0
n1,1,0.098648,2.727273,[ 9 13] ; [6 2],[11. 11.] ; [4. 4.],0
u2,1,0.113846,2.5,[10  8] ; [10  2],[12.  6.] ; [8. 4.],0
b2,1,0.121075,2.403355,[11 11] ; [ 5 14],[ 8.58536585 13.41463415] ; [ 7.41463415 11.58536585],0
b3,1,0.121075,2.403355,[11 11] ; [ 5 14],[ 8.58536585 13.41463415] ; [ 7.41463415 11.58536585],0
s7,1,0.121264,2.40092,[ 8 26] ; [11 15],[10.76666667 23.23333333] ; [ 8.23333333 17.76666667],0
p10,1,0.122102,2.390145,[14 23] ; [16 12],[17.07692308 19.92307692] ; [12.92307692 15.07692308],0
u3,1,0.136037,2.222222,[ 7 11] ; [8 4],[9. 9.] ; [6. 6.],0
d5,1,0.142074,2.155353,[18 21] ; [18 10],[20.95522388 18.04477612] ; [15.04477612 12.95522388],0
b1,1,0.173003,1.856726,[23 16] ; [21  7],[25.6119403 13.3880597] ; [18.3880597  9.6119403],0
v2,1,0.18021,1.795888,[11 24] ; [13 14],[13.5483871 21.4516129] ; [10.4516129 16.5483871],0
a1,1,0.190976,1.71007,[ 5 34] ; [ 1 27],[ 3.49253731 35.50746269] ; [ 2.50746269 25.49253731],0
v4,1,0.213259,1.549164,[25 12] ; [22  5],[27.171875  9.828125] ; [19.828125  7.171875],0
r4,1,0.248827,1.329876,[21 18] ; [19  9],[23.28358209 15.71641791] ; [16.71641791 11.28358209],0
s5,1,0.252076,1.311763,[ 7 31] ; [ 8 18],[ 8.90625 29.09375] ; [ 6.09375 19.90625],0
p2,1,0.253158,1.305793,[19 20] ; [17 10],[21.27272727 17.72727273] ; [14.72727273 12.27272727],0
s8,1,0.280589,1.164235,[ 8 31] ; [ 9 19],[ 9.89552239 29.10447761] ; [ 7.10447761 20.89552239],0
n3,1,0.282471,1.155161,[12  9] ; [7 2],[13.3  7.7] ; [5.7 3.3],0
b5,1,0.309718,1.03188,[16 23] ; [15 13],[18.04477612 20.95522388] ; [12.95522388 15.04477612],0
n4,1,0.309718,1.03188,[23 16] ; [13 15],[20.95522388 18.04477612] ; [15.04477612 12.95522388],0
p11,1,0.331386,0.943475,[19 20] ; [17 11],[20.95522388 18.04477612] ; [15.04477612 12.95522388],0
a4,1,0.340811,0.907377,[11 28] ; [11 17],[12.80597015 26.19402985] ; [ 9.19402985 18.80597015],0
a5,1,0.419806,0.650859,[17 22] ; [15 13],[18.62686567 20.37313433] ; [13.37313433 14.62686567],0
d4,1,0.461235,0.542896,[21 17] ; [18 10],[22.45454545 15.54545455] ; [16.54545455 11.45454545],0
s3,1,0.513187,0.427562,[20 18] ; [17 11],[21.3030303 16.6969697] ; [15.6969697 12.3030303],0
d2,1,0.575736,0.313179,[18 21] ; [11 17],[16.88059701 22.11940299] ; [12.11940299 15.88059701],0
a6,1,0.61624,0.251188,[13 26] ; [11 17],[13.97014925 25.02985075] ; [10.02985075 17.97014925],0
r1,1,0.659765,0.193809,[23 16] ; [15 13],[22.11940299 16.88059701] ; [15.88059701 12.11940299],0
p1,1,0.669185,0.182557,[ 3 36] ; [ 3 25],[ 3.49253731 35.50746269] ; [ 2.50746269 25.49253731],0
s1,1,0.702801,0.145575,[ 2 37] ; [ 2 25],[ 2.36363636 36.63636364] ; [ 1.63636364 25.36363636],0
a3,1,0.788969,0.071636,[21 18] ; [16 12],[21.53731343 17.46268657] ; [15.46268657 12.53731343],0
v3,1,0.834885,0.043447,[ 8 28] ; [ 5 20],[ 7.67213115 28.32786885] ; [ 5.32786885 19.67213115],0
s4,1,0.873162,0.025486,[ 9 30] ; [ 6 22],[ 8.73134328 30.26865672] ; [ 6.26865672 21.73134328],0
r2,1,0.910002,0.012777,[30  8] ; [21  6],[29.81538462  8.18461538] ; [21.18461538  5.81538462],0
d1,1,0.918486,0.010474,[13 26] ; [ 9 19],[12.80597015 26.19402985] ; [ 9.19402985 18.80597015],0
n5,1,0.9524,0.003563,[17 22] ; [12 16],[16.88059701 22.11940299] ; [12.11940299 15.88059701],0
b4,1,0.9524,0.003563,[22 17] ; [16 12],[22.11940299 16.88059701] ; [15.88059701 12.11940299],0
v1,1,0.982253,0.000495,[18 21] ; [13 15],[18.04477612 20.95522388] ; [12.95522388 15.04477612],0
