Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.013979,6.040813,[ 5 12] ; [17  8],[8.9047619 8.0952381] ; [13.0952381 11.9047619],0
v2,1,0.023879,5.103397,[11  6] ; [ 7 17],[7.46341463 9.53658537] ; [10.53658537 13.46341463],0
s3,1,0.079527,3.074542,[ 2 15] ; [ 9 16],[ 4.45238095 12.54761905] ; [ 6.54761905 18.45238095],0
n3,1,0.086359,2.940972,[3 5] ; [5 1],[4.57142857 3.42857143] ; [3.42857143 2.57142857],0
n1,1,0.124283,2.3625,[1 7] ; [3 3],[2.28571429 5.71428571] ; [1.71428571 4.28571429],0
r3,1,0.133016,2.256952,[12  4] ; [23  2],[13.65853659  2.34146341] ; [21.34146341  3.65853659],0
a4,1,0.135922,2.223529,[ 7 10] ; [ 5 20],[ 4.85714286 12.14285714] ; [ 7.14285714 17.85714286],0
u3,1,0.140711,2.170163,[4 2] ; [4 9],[2.52631579 3.47368421] ; [5.47368421 7.52631579],0
s6,1,0.144652,2.127759,[ 7 10] ; [16  9],[9.30952381 7.69047619] ; [13.69047619 11.30952381],0
b1,1,0.146508,2.108235,[12  5] ; [12 13],[9.71428571 7.28571429] ; [14.28571429 10.71428571],0
s5,1,0.14958,2.076529,[ 6 11] ; [ 4 21],[ 4.04761905 12.95238095] ; [ 5.95238095 19.04761905],0
n2,1,0.197703,1.659259,[4 4] ; [5 1],[5.14285714 2.85714286] ; [3.85714286 2.14285714],0
p4,1,0.228336,1.451194,[12  5] ; [13 12],[10.11904762  6.88095238] ; [14.88095238 10.11904762],0
p7,1,0.228336,1.451194,[12  5] ; [13 12],[10.11904762  6.88095238] ; [14.88095238 10.11904762],0
b5,1,0.230555,1.437433,[ 7 10] ; [15 10],[8.9047619 8.0952381] ; [13.0952381 11.9047619],0
d3,1,0.230555,1.437433,[ 7 10] ; [15 10],[8.9047619 8.0952381] ; [13.0952381 11.9047619],0
p6,1,0.268494,1.224426,[ 6 11] ; [ 5 20],[ 4.45238095 12.54761905] ; [ 6.54761905 18.45238095],0
a3,1,0.285657,1.139976,[11  6] ; [12 13],[9.30952381 7.69047619] ; [13.69047619 11.30952381],0
p5,1,0.298458,1.08107,[ 5 12] ; [ 4 21],[ 3.64285714 13.35714286] ; [ 5.35714286 19.64285714],0
p11,1,0.325062,0.968471,[13  4] ; [22  3],[14.16666667  2.83333333] ; [20.83333333  4.16666667],0
a1,1,0.337523,0.919819,[ 2 15] ; [ 1 24],[ 1.21428571 15.78571429] ; [ 1.78571429 23.21428571],0
s1,1,0.337523,0.919819,[ 2 15] ; [ 1 24],[ 1.21428571 15.78571429] ; [ 1.78571429 23.21428571],0
u1,1,0.337523,0.919819,[ 2 15] ; [ 1 24],[ 1.21428571 15.78571429] ; [ 1.78571429 23.21428571],0
p8,1,0.345637,0.889412,[ 7 10] ; [14 11],[8.5 8.5] ; [12.5 12.5],0
b2,1,0.381905,0.76456,[4 6] ; [ 3 10],[3.04347826 6.95652174] ; [3.95652174 9.04347826],0
b3,1,0.381905,0.76456,[4 6] ; [ 3 10],[3.04347826 6.95652174] ; [3.95652174 9.04347826],0
s7,1,0.393854,0.727011,[7 9] ; [ 7 16],[ 5.74358974 10.25641026] ; [ 8.25641026 14.74358974],0
a7,1,0.408187,0.684076,[8 9] ; [15 10],[9.30952381 7.69047619] ; [13.69047619 11.30952381],0
s8,1,0.414079,0.667059,[ 6 11] ; [12 13],[7.28571429 9.71428571] ; [10.71428571 14.28571429],0
