Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000143,14.467593,[ 8 37] ; [42 38],[18. 27.] ; [32. 48.],1
v4,1,0.000294,13.109506,[25 20] ; [68 12],[33.48 11.52] ; [59.52 20.48],1
s8,1,0.000305,13.041288,[ 2 43] ; [26 54],[10.08 34.92] ; [17.92 62.08],1
r4,1,0.00046,12.272303,[21 24] ; [62 18],[29.88 15.12] ; [53.12 26.88],1
p11,1,0.000598,11.780979,[11 34] ; [45 35],[20.16 24.84] ; [35.84 44.16],1
n4,1,0.006457,7.418252,[21 24] ; [57 23],[28.08 16.92] ; [49.92 30.08],0
r3,1,0.006828,7.317556,[28 17] ; [67 13],[34.2 10.8] ; [60.8 19.2],0
s7,1,0.010039,6.627908,[ 5 36] ; [26 50],[10.86324786 30.13675214] ; [20.13675214 55.86324786],0
s5,1,0.011238,6.427229,[ 3 40] ; [20 57],[ 8.24166667 34.75833333] ; [14.75833333 62.24166667],0
p10,1,0.012283,6.269597,[15 29] ; [45 33],[21.63934426 22.36065574] ; [38.36065574 39.63934426],0
n5,1,0.014444,5.983049,[21 23] ; [56 24],[27.32258065 16.67741935] ; [49.67741935 30.32258065],0
s4,1,0.016066,5.795592,[ 3 42] ; [19 61],[ 7.92 37.08] ; [14.08 65.92],0
u1,1,0.072458,3.226441,[ 2 43] ; [12 68],[ 5.04 39.96] ; [ 8.96 71.04],0
r2,1,0.087036,2.92836,[33 11] ; [68 10],[36.42622951  7.57377049] ; [64.57377049 13.42622951],0
p9,1,0.105792,2.615985,[17 27] ; [41 35],[21.26666667 22.73333333] ; [36.73333333 39.26666667],0
v2,1,0.127989,2.316732,[13 29] ; [34 41],[16.87179487 25.12820513] ; [30.12820513 44.87179487],0
v3,1,0.135436,2.229057,[ 8 33] ; [25 52],[11.46610169 29.53389831] ; [21.53389831 55.46610169],0
d4,1,0.162292,1.952738,[29 15] ; [62 18],[32.29032258 11.70967742] ; [58.70967742 21.29032258],0
p3,1,0.172724,1.85914,[ 8 37] ; [23 57],[11.16 33.84] ; [19.84 60.16],0
b4,1,0.180513,1.793393,[22 23] ; [49 31],[25.56 19.44] ; [45.44 34.56],0
n3,1,0.184218,1.763265,[10 11] ; [18  9],[12.25  8.75] ; [15.75 11.25],0
n2,1,0.216407,1.528036,[12 11] ; [20  9],[14.15384615  8.84615385] ; [17.84615385 11.15384615],0
d1,1,0.226519,1.462587,[18 27] ; [41 39],[21.24 23.76] ; [37.76 42.24],0
a1,1,0.287937,1.12924,[ 6 39] ; [ 6 74],[ 4.32 40.68] ; [ 7.68 72.32],0
p8,1,0.319254,0.992,[11 33] ; [14 66],[ 8.87096774 35.12903226] ; [16.12903226 63.87096774],0
s1,1,0.34704,0.88425,[ 5 40] ; [ 5 74],[ 3.62903226 41.37096774] ; [ 6.37096774 72.62903226],0
a2,1,0.347487,0.882613,[ 6 39] ; [16 64],[ 7.92 37.08] ; [14.08 65.92],0
p7,1,0.351356,0.868553,[14 30] ; [19 60],[11.80487805 32.19512195] ; [21.19512195 57.80487805],0
b5,1,0.37071,0.801282,[21 24] ; [44 36],[23.4 21.6] ; [41.6 38.4],0
u2,1,0.406405,0.689292,[11  9] ; [12 16],[ 9.58333333 10.41666667] ; [13.41666667 14.58333333],0
a3,1,0.448312,0.574915,[25 19] ; [51 29],[26.96774194 17.03225806] ; [49.03225806 30.96774194],0
s2,1,0.49119,0.473919,[10 35] ; [22 57],[11.61290323 33.38709677] ; [20.38709677 58.61290323],0
r1,1,0.509905,0.434263,[26 19] ; [51 29],[27.72 17.28] ; [49.28 30.72],0
p1,1,0.527749,0.398724,[ 3 42] ; [ 8 72],[ 3.96 41.04] ; [ 7.04 72.96],0
a8,1,0.551969,0.353801,[ 5 40] ; [ 6 70],[ 4.09090909 40.90909091] ; [ 6.90909091 69.09090909],0
d5,1,0.562497,0.335399,[28 16] ; [55 25],[29.4516129 14.5483871] ; [53.5483871 26.4516129],0
s3,1,0.594687,0.283084,[16 28] ; [25 54],[14.66666667 29.33333333] ; [26.33333333 52.66666667],0
d3,1,0.611002,0.258718,[21 23] ; [42 38],[22.35483871 21.64516129] ; [40.64516129 39.35483871],0
u3,1,0.620722,0.244854,[ 9 11] ; [11 18],[ 8.16326531 11.83673469] ; [11.83673469 17.16326531],0
a6,1,0.650672,0.205054,[24 20] ; [47 33],[25.19354839 18.80645161] ; [45.80645161 34.19354839],0
p6,1,0.653228,0.201854,[ 5 40] ; [11 68],[ 5.80645161 39.19354839] ; [10.19354839 68.80645161],0
a5,1,0.808271,0.058882,[26 19] ; [48 32],[26.64 18.36] ; [47.36 32.64],0
b3,1,0.819879,0.051848,[ 9 19] ; [17 32],[ 9.45454545 18.54545455] ; [16.54545455 32.45454545],0
b2,1,0.819879,0.051848,[ 9 19] ; [17 32],[ 9.45454545 18.54545455] ; [16.54545455 32.45454545],0
a4,1,0.823819,0.049567,[18 27] ; [30 49],[17.41935484 27.58064516] ; [30.58064516 48.41935484],0
d2,1,0.833176,0.044365,[20 24] ; [37 41],[20.55737705 23.44262295] ; [36.44262295 41.55737705],0
p4,1,0.838895,0.041334,[10 34] ; [19 59],[10.45901639 33.54098361] ; [18.54098361 59.45901639],0
n1,1,0.854277,0.033733,[10 12] ; [12 16],[ 9.68 12.32] ; [12.32 15.68],0
a7,1,0.915698,0.011205,[26 19] ; [47 33],[26.28 18.72] ; [46.72 33.28],0
u4,1,0.922408,0.009487,[ 1 44] ; [ 2 78],[ 1.08 43.92] ; [ 1.92 78.08],0
b1,1,0.964237,0.00201,[24 21] ; [43 37],[24.12 20.88] ; [42.88 37.12],0
