Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,24.079284,[19 26] ; [184  52],[32.5088968 12.4911032] ; [170.4911032  65.5088968],1
p9,1,1.6e-05,18.583956,[31 13] ; [222  18],[39.1971831  4.8028169] ; [213.8028169  26.1971831],1
p8,1,0.000154,14.318831,[15 30] ; [152  87],[26.46126761 18.53873239] ; [140.53873239  98.46126761],1
p4,1,0.000214,13.704254,[18 25] ; [172  71],[28.56643357 14.43356643] ; [161.43356643  81.56643357],1
p10,1,0.000524,12.026872,[31 13] ; [218  25],[38.17421603  5.82578397] ; [210.82578397  32.17421603],1
p11,1,0.002837,8.909126,[27 18] ; [196  48],[34.72318339 10.27681661] ; [188.27681661  55.72318339],0
n4,1,0.005218,7.802382,[28 17] ; [196  46],[35.12195122  9.87804878] ; [188.87804878  53.12195122],0
n5,1,0.010658,6.521531,[29 16] ; [197  45],[35.43554007  9.56445993] ; [190.56445993  51.43554007],0
p3,1,0.010865,6.487205,[18 26] ; [150  94],[25.66666667 18.33333333] ; [142.33333333 101.66666667],0
s1,1,0.012314,6.265029,[ 5 40] ; [  7 232],[ 1.90140845 43.09859155] ; [ 10.09859155 228.90140845],0
v4,1,0.015552,5.852861,[41  4] ; [238   5],[43.59375  1.40625] ; [235.40625   7.59375],0
b1,1,0.038041,4.303166,[24 21] ; [ 90 154],[17.75086505 27.24913495] ; [ 96.24913495 147.75086505],0
s4,1,0.038638,4.276697,[17 27] ; [ 57 183],[11.46478873 32.53521127] ; [ 62.53521127 177.46478873],0
n3,1,0.049547,3.856717,[8 7] ; [41 11],[10.97014925  4.02985075] ; [38.02985075 13.97014925],0
s3,1,0.066354,3.370996,[26 18] ; [174  65],[31.09540636 12.90459364] ; [168.90459364  70.09540636],0
u2,1,0.071495,3.248365,[3 9] ; [28 24],[5.8125 6.1875] ; [25.1875 26.8125],0
p12,1,0.079442,3.076288,[ 9 36] ; [ 26 217],[ 5.46875 39.53125] ; [ 29.53125 213.46875],0
r1,1,0.100053,2.704697,[35 10] ; [210  31],[38.54895105  6.45104895] ; [206.45104895  34.54895105],0
d3,1,0.104564,2.634515,[27 17] ; [179  65],[31.47222222 12.52777778] ; [174.52777778  69.47222222],0
a2,1,0.11743,2.451271,[ 8 37] ; [ 71 173],[12.30103806 32.69896194] ; [ 66.69896194 177.30103806],0
u1,1,0.121296,2.400503,[ 6 39] ; [ 58 186],[ 9.96539792 35.03460208] ; [ 54.03460208 189.96539792],0
d5,1,0.162325,1.952428,[34 10] ; [208  35],[37.1010453  6.8989547] ; [204.8989547  38.1010453],0
a7,1,0.16801,1.900606,[27 18] ; [171  72],[30.9375 14.0625] ; [167.0625  75.9375],0
n6,1,0.171301,1.871522,[37  7] ; [219  22],[39.52280702  4.47719298] ; [216.47719298  24.52280702],0
a1,1,0.181414,1.786003,[ 5 40] ; [ 14 230],[ 2.95847751 42.04152249] ; [ 16.04152249 227.95847751],0
n2,1,0.183675,1.767639,[12  4] ; [46  6],[13.64705882  2.35294118] ; [44.35294118  7.64705882],0
s2,1,0.189085,1.72473,[29 16] ; [179  63],[32.61324042 12.38675958] ; [175.38675958  66.61324042],0
d1,1,0.199889,1.643189,[26 19] ; [165  79],[29.74048443 15.25951557] ; [161.25951557  82.74048443],0
a3,1,0.220783,1.499276,[32 13] ; [192  50],[35.12195122  9.87804878] ; [188.87804878  53.12195122],0
r4,1,0.223517,1.481644,[41  4] ; [233  11],[42.66435986  2.33564014] ; [231.33564014  12.66435986],0
p1,1,0.248304,1.332819,[ 8 37] ; [ 28 214],[ 5.6445993 39.3554007] ; [ 30.3554007 211.6445993],0
s7,1,0.263721,1.249119,[25 18] ; [156  77],[28.19927536 14.80072464] ; [152.80072464  80.19927536],0
a5,1,0.264275,1.246226,[39  6] ; [194  50],[36.28027682  8.71972318] ; [196.71972318  47.28027682],0
v1,1,0.28475,1.144277,[24 21] ; [149  92],[27.22027972 17.77972028] ; [145.77972028  95.22027972],0
d4,1,0.298364,1.081494,[36  8] ; [212  30],[38.15384615  5.84615385] ; [209.84615385  32.15384615],0
p6,1,0.328642,0.954241,[18 27] ; [115 125],[21. 24.] ; [112. 128.],0
r3,1,0.364332,0.822906,[42  3] ; [233   9],[43.1184669  1.8815331] ; [231.8815331  10.1184669],0
v2,1,0.451298,0.567389,[27 15] ; [140 101],[24.7844523 17.2155477] ; [142.2155477  98.7844523],0
a6,1,0.552662,0.35257,[26 18] ; [155  88],[27.74912892 16.25087108] ; [153.25087108  89.74912892],0
s8,1,0.646009,0.210969,[24 20] ; [141 101],[25.38461538 18.61538462] ; [139.61538462 102.38461538],0
p5,1,0.676181,0.174457,[ 8 37] ; [ 50 194],[ 9.03114187 35.96885813] ; [ 48.96885813 195.03114187],0
s6,1,0.677075,0.173437,[40  5] ; [207  32],[39.13732394  5.86267606] ; [207.86267606  31.13732394],0
n1,1,0.719791,0.128693,[7 8] ; [27 25],[7.6119403 7.3880597] ; [26.3880597 25.6119403],0
b2,1,0.739886,0.110227,[13 19] ; [64 82],[13.84269663 18.15730337] ; [63.15730337 82.84269663],0
b3,1,0.739886,0.110227,[13 19] ; [64 82],[13.84269663 18.15730337] ; [63.15730337 82.84269663],0
d2,1,0.74205,0.108333,[25 19] ; [131 111],[24. 20.] ; [132. 110.],0
a4,1,0.756586,0.09608,[24 21] ; [124 120],[23.0449827 21.9550173] ; [124.9550173 119.0449827],0
u4,1,0.782902,0.075922,[ 1 44] ; [  4 240],[ 0.77854671 44.22145329] ; [  4.22145329 239.77854671],0
b4,1,0.81117,0.057081,[27 18] ; [151  93],[27.71626298 17.28373702] ; [150.28373702  93.71626298],0
a8,1,0.829327,0.046468,[ 5 37] ; [ 29 192],[ 5.42965779 36.57034221] ; [ 28.57034221 192.42965779],0
v3,1,0.870026,0.026773,[18 24] ; [107 135],[18.48591549 23.51408451] ; [106.51408451 135.48591549],0
u3,1,0.897747,0.016514,[8 5] ; [33 19],[8.2 4.8] ; [32.8 19.2],0
b5,1,0.964982,0.001927,[24 21] ; [131 113],[24.1349481 20.8650519] ; [130.8650519 113.1349481],0
