Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.002087,9.470961,[ 7 83] ; [ 8 18],[11.63793103 78.36206897] ; [ 3.36206897 22.63793103],0
n4,1,0.006514,7.402254,[48 44] ; [22  5],[54.11764706 37.88235294] ; [15.88235294 11.11764706],0
n1,1,0.027752,4.843407,[13 32] ; [5 2],[15.57692308 29.42307692] ; [2.42307692 4.57692308],0
v1,1,0.032222,4.586672,[24 67] ; [13 14],[28.53389831 62.46610169] ; [ 8.46610169 18.53389831],0
v2,1,0.052585,3.757072,[30 61] ; [14 12],[34.22222222 56.77777778] ; [ 9.77777778 16.22222222],0
s7,1,0.066556,3.365973,[ 9 77] ; [ 6 18],[11.72727273 74.27272727] ; [ 3.27272727 20.72727273],0
r2,1,0.103657,2.648363,[71 19] ; [25  2],[73.84615385 16.15384615] ; [22.15384615  4.84615385],0
d3,1,0.114199,2.495136,[49 43] ; [19  8],[52.57142857 39.42857143] ; [15.42857143 11.57142857],0
d4,1,0.131236,2.277823,[60 32] ; [21  5],[63.15254237 28.84745763] ; [17.84745763  8.15254237],0
a1,1,0.172037,1.865105,[ 6 86] ; [ 4 23],[ 7.73109244 84.26890756] ; [ 2.26890756 24.73109244],0
b2,1,0.18498,1.757152,[21 40] ; [ 3 14],[18.76923077 42.23076923] ; [ 5.23076923 11.76923077],0
b3,1,0.18498,1.757152,[21 40] ; [ 3 14],[18.76923077 42.23076923] ; [ 5.23076923 11.76923077],0
p1,1,0.194557,1.682766,[ 4 87] ; [ 3 24],[ 5.39830508 85.60169492] ; [ 1.60169492 25.39830508],0
n6,1,0.196094,1.671232,[55 36] ; [20  7],[57.83898305 33.16101695] ; [17.16101695  9.83898305],0
a3,1,0.200772,1.636748,[48 43] ; [18  9],[50.89830508 40.10169492] ; [15.10169492 11.89830508],0
s2,1,0.235921,1.404803,[ 7 84] ; [ 4 22],[ 8.55555556 82.44444444] ; [ 2.44444444 23.55555556],0
a7,1,0.285126,1.142495,[53 39] ; [18  8],[55.3559322 36.6440678] ; [15.6440678 10.3559322],0
n5,1,0.344303,0.894342,[45 47] ; [16 11],[47.15966387 44.84033613] ; [13.84033613 13.15966387],0
a4,1,0.368227,0.809639,[35 56] ; [13 14],[37.01694915 53.98305085] ; [10.98305085 16.01694915],0
d5,1,0.388648,0.743167,[60 32] ; [20  7],[61.8487395 30.1512605] ; [18.1512605  8.8487395],0
a6,1,0.3989,0.711641,[53 39] ; [18  9],[54.8907563 37.1092437] ; [16.1092437 10.8907563],0
p8,1,0.411805,0.673584,[20 71] ; [ 8 19],[21.59322034 69.40677966] ; [ 6.40677966 20.59322034],0
u2,1,0.41679,0.659348,[15 28] ; [4 4],[16.01960784 26.98039216] ; [2.98039216 5.01960784],0
u3,1,0.419216,0.652511,[18 26] ; [5 4],[19.09433962 24.90566038] ; [3.90566038 5.09433962],0
p2,1,0.42032,0.64942,[49 43] ; [12 15],[47.15966387 44.84033613] ; [13.84033613 13.15966387],0
s5,1,0.470625,0.520509,[12 78] ; [ 2 23],[10.95652174 79.04347826] ; [ 3.04347826 21.95652174],0
a2,1,0.475611,0.508911,[18 74] ; [ 7 20],[19.32773109 72.67226891] ; [ 5.67226891 21.32773109],0
b4,1,0.48704,0.483058,[51 41] ; [17 10],[52.57142857 39.42857143] ; [15.42857143 11.57142857],0
n3,1,0.534594,0.385651,[26 18] ; [5 2],[26.74509804 17.25490196] ; [4.25490196 2.74509804],0
d1,1,0.582,0.303013,[43 49] ; [11 16],[41.74789916 50.25210084] ; [12.25210084 14.74789916],0
s6,1,0.596691,0.280015,[23 67] ; [ 8 18],[24.05172414 65.94827586] ; [ 6.94827586 19.05172414],0
u1,1,0.599369,0.275948,[10 82] ; [ 2 25],[ 9.27731092 82.72268908] ; [ 2.72268908 24.27731092],0
