Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,23.271101,[31 37] ; [122  34],[46.44642857 21.55357143] ; [106.55357143  49.44642857],1
a6,1,2.3e-05,17.896094,[30 38] ; [114  41],[43.9103139 24.0896861] ; [100.0896861  54.9103139],1
u1,1,4.5e-05,16.62737,[ 3 65] ; [ 45 112],[14.50666667 53.49333333] ; [ 33.49333333 123.50666667],1
a2,1,0.000654,11.614391,[ 8 60] ; [ 53 104],[18.43555556 49.56444444] ; [ 42.56444444 114.43555556],1
b5,1,0.003482,8.536082,[25 43] ; [91 66],[35.05777778 32.94222222] ; [80.94222222 76.05777778],0
p10,1,0.025217,5.008942,[53 14] ; [138  15],[58.16818182  8.83181818] ; [132.83181818  20.16818182],0
b3,1,0.037173,4.34246,[27 18] ; [40 57],[21.23239437 23.76760563] ; [45.76760563 51.23239437],0
b2,1,0.037173,4.34246,[27 18] ; [40 57],[21.23239437 23.76760563] ; [45.76760563 51.23239437],0
s7,1,0.059809,3.542662,[35 32] ; [96 50],[41.20657277 25.79342723] ; [89.79342723 56.20657277],0
s6,1,0.107998,2.583276,[50 15] ; [133  22],[54.06818182 10.93181818] ; [128.93181818  26.06818182],0
s2,1,0.116558,2.462974,[41 27] ; [110  45],[46.04484305 21.95515695] ; [104.95515695  50.04484305],0
p8,1,0.11995,2.417975,[35 32] ; [97 56],[40.2 26.8] ; [91.8 61.2],0
p9,1,0.122209,2.38878,[56 11] ; [138  14],[59.35159817  7.64840183] ; [134.64840183  17.35159817],0
d1,1,0.139149,2.187347,[38 30] ; [104  53],[42.91555556 25.08444444] ; [99.08444444 57.91555556],0
u4,1,0.142555,2.150161,[ 3 65] ; [  2 155],[ 1.51111111 66.48888889] ; [  3.48888889 153.51111111],0
v4,1,0.177505,1.818391,[63  5] ; [148   5],[64.92307692  3.07692308] ; [146.07692308   6.92307692],0
b1,1,0.183374,1.770063,[32 36] ; [59 98],[27.50222222 40.49777778] ; [63.49777778 93.50222222],0
v3,1,0.185336,1.754311,[27 41] ; [75 77],[31.52727273 36.47272727] ; [70.47272727 81.52727273],0
p12,1,0.209938,1.571853,[ 6 60] ; [ 24 132],[ 8.91891892 57.08108108] ; [ 21.08108108 134.91891892],0
p1,1,0.212927,1.551415,[ 6 62] ; [ 23 131],[ 8.88288288 59.11711712] ; [ 20.11711712 133.88288288],0
b4,1,0.213278,1.549035,[45 23] ; [90 67],[40.8 27.2] ; [94.2 62.8],0
u2,1,0.224359,1.476272,[ 7 10] ; [19 13],[9.02040816 7.97959184] ; [16.97959184 15.02040816],0
n3,1,0.271315,1.210084,[7 5] ; [27  9],[8.5 3.5] ; [25.5 10.5],0
p4,1,0.282838,1.153405,[41 26] ; [105  48],[44.46363636 22.53636364] ; [101.53636364  51.46363636],0
a1,1,0.306342,1.046381,[ 7 61] ; [ 10 147],[ 5.13777778 62.86222222] ; [ 11.86222222 145.13777778],0
n5,1,0.321639,0.982271,[55 11] ; [120  35],[52.26244344 13.73755656] ; [122.73755656  32.26244344],0
a5,1,0.322631,0.97825,[52 16] ; [129  28],[54.70222222 13.29777778] ; [126.29777778  30.70222222],0
p2,1,0.329458,0.951026,[56 11] ; [137  18],[58.24774775  8.75225225] ; [134.75225225  20.24774775],0
v2,1,0.374645,0.788199,[39 29] ; [98 56],[41.96396396 26.03603604] ; [95.03603604 58.96396396],0
s8,1,0.381916,0.764525,[35 33] ; [89 65],[37.98198198 30.01801802] ; [86.01801802 67.98198198],0
d5,1,0.385952,0.751656,[54 13] ; [133  23],[56.1838565 10.8161435] ; [130.8161435  25.1838565],0
a3,1,0.421624,0.645784,[50 17] ; [124  32],[52.27802691 14.72197309] ; [121.72197309  34.27802691],0
a8,1,0.47587,0.508313,[10 58] ; [ 26 113],[11.82608696 56.17391304] ; [ 24.17391304 114.82608696],0
n4,1,0.477331,0.504954,[56 11] ; [124  32],[54.08071749 12.91928251] ; [125.91928251  30.08071749],0
r2,1,0.510702,0.432628,[64  4] ; [148   6],[64.93693694  3.06306306] ; [147.06306306   6.93693694],0
r4,1,0.511378,0.431247,[61  7] ; [145  12],[62.25777778  5.74222222] ; [143.74222222  13.25777778],0
p6,1,0.51292,0.428105,[26 40] ; [68 86],[28.2 37.8] ; [65.8 88.2],0
u3,1,0.572172,0.319062,[10  8] ; [21 12],[10.94117647  7.05882353] ; [20.05882353 12.94117647],0
n6,1,0.607777,0.263425,[58  8] ; [138  15],[59.06849315  6.93150685] ; [136.93150685  16.06849315],0
p7,1,0.61628,0.25113,[50 17] ; [107  43],[48.47465438 18.52534562] ; [108.52534562  41.47465438],0
a4,1,0.633683,0.2271,[31 37] ; [77 80],[32.64 35.36] ; [75.36 81.64],0
v1,1,0.650593,0.205154,[43 23] ; [96 59],[41.51131222 24.48868778] ; [97.48868778 57.51131222],0
p3,1,0.663409,0.189409,[41 26] ; [90 65],[39.53603604 27.46396396] ; [91.46396396 63.53603604],0
n1,1,0.70075,0.147692,[7 6] ; [21 14],[7.58333333 5.41666667] ; [20.41666667 14.58333333],0
s1,1,0.712552,0.135741,[ 2 66] ; [  6 146],[ 2.47272727 65.52727273] ; [  5.52727273 146.47272727],0
n2,1,0.780596,0.077586,[10  3] ; [29  7],[10.34693878  2.65306122] ; [28.65306122  7.34693878],0
r3,1,0.817717,0.053122,[64  4] ; [148   8],[64.35714286  3.64285714] ; [147.64285714   8.35714286],0
p11,1,0.827616,0.047419,[55 13] ; [125  32],[54.4 13.6] ; [125.6  31.4],0
p5,1,0.839212,0.041169,[16 51] ; [ 39 116],[16.5990991 50.4009009] ; [ 38.4009009 116.5990991],0
d4,1,0.85569,0.033074,[59  8] ; [136  20],[58.58744395  8.41255605] ; [136.41255605  19.58744395],0
s3,1,0.943359,0.005048,[45 23] ; [100  50],[45.2293578 22.7706422] ; [99.7706422 50.2293578],0
r1,1,0.964707,0.001958,[58 10] ; [131  23],[57.89189189 10.10810811] ; [131.10810811  22.89189189],0
d2,1,0.995829,2.7e-05,[36 32] ; [82 73],[35.98206278 32.01793722] ; [82.01793722 72.98206278],0
