Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,91.246441,[186  78] ; [ 37 125],[138.1971831 125.8028169] ; [84.8028169 77.1971831],1
s2,1,0.0,72.816616,[161 107] ; [ 29 133],[118.41860465 149.58139535] ; [71.58139535 90.41860465],1
s7,1,0.0,65.181542,[140 120] ; [ 21 132],[101.3559322 158.6440678] ; [59.6440678 93.3559322],1
s8,1,0.0,48.007105,[127 141] ; [ 24 140],[ 93.67592593 174.32407407] ; [ 57.32407407 106.67592593],1
s5,1,0.0,39.055899,[ 95 169] ; [ 14 147],[ 67.70823529 196.29176471] ; [ 41.29176471 119.70823529],1
v4,1,7e-05,15.823487,[260   8] ; [142  21],[249.9675174  18.0324826] ; [152.0324826  10.9675174],1
s4,1,0.000122,14.763959,[ 52 215] ; [ 10 154],[ 38.40835267 228.59164733] ; [ 23.59164733 140.40835267],1
p2,1,0.000165,14.190331,[225  44] ; [111  52],[209.22222222  59.77777778] ; [126.77777778  36.22222222],1
r4,1,0.000277,13.217815,[248  22] ; [131  33],[235.78341014  34.21658986] ; [143.21658986  20.78341014],1
n6,1,0.001275,10.377695,[225  44] ; [115  48],[211.71296296  57.28703704] ; [128.28703704  34.71296296],0
p4,1,0.001829,9.713432,[141 127] ; [ 61 103],[125.31481481 142.68518519] ; [76.68518519 87.31481481],0
p9,1,0.002225,9.354221,[224  42] ; [115  45],[211.67605634  54.32394366] ; [127.32394366  32.67605634],0
u1,1,0.00309,8.753792,[ 60 210] ; [ 18 146],[ 48.52534562 221.47465438] ; [ 29.47465438 134.52534562],0
p12,1,0.006628,7.371011,[ 19 251] ; [  2 160],[ 13.125 256.875] ; [  7.875 154.125],0
u2,1,0.006755,7.336895,[51 29] ; [23 34],[43.21167883 36.78832117] ; [30.78832117 26.21167883],0
v1,1,0.008744,6.874307,[129 129] ; [ 59 101],[116.03827751 141.96172249] ; [71.96172249 88.03827751],0
p7,1,0.008826,6.857747,[143 118] ; [68 95],[129.88443396 131.11556604] ; [81.11556604 81.88443396],0
r1,1,0.009755,6.679074,[224  43] ; [120  43],[213.6  53.4] ; [130.4  32.6],0
r3,1,0.009785,6.673709,[259  10] ; [147  16],[252.81018519  16.18981481] ; [153.18981481   9.81018519],0
u3,1,0.020171,5.397053,[55 27] ; [27 30],[48.37410072 33.62589928] ; [33.62589928 23.37410072],0
n5,1,0.02494,5.028062,[193  76] ; [100  63],[182.44675926  86.55324074] ; [110.55324074  52.44675926],0
r2,1,0.02867,4.787343,[255  12] ; [146  16],[249.57342657  17.42657343] ; [151.42657343  10.57342657],0
n2,1,0.037393,4.332419,[52 14] ; [24 16],[47.32075472 18.67924528] ; [28.67924528 11.32075472],0
v2,1,0.060819,3.5149,[146 109] ; [75 82],[136.78398058 118.21601942] ; [84.21601942 72.78398058],0
b5,1,0.063141,3.452886,[185  85] ; [98 66],[176.05990783  93.94009217] ; [106.94009217  57.05990783],0
b1,1,0.0643,3.422849,[ 82 188] ; [ 64 100],[ 90.82949309 179.17050691] ; [ 55.17050691 108.82949309],0
p10,1,0.0734,3.205301,[214  53] ; [117  44],[206.48831776  60.51168224] ; [124.51168224  36.48831776],0
a2,1,0.097569,2.744834,[ 77 193] ; [ 35 129],[ 69.67741935 200.32258065] ; [ 42.32258065 121.67741935],0
v3,1,0.102053,2.673156,[102 157] ; [ 49 107],[ 94.23855422 164.76144578] ; [56.76144578 99.23855422],0
a5,1,0.2252,1.470924,[199  71] ; [112  52],[193.47926267  76.52073733] ; [117.52073733  46.47926267],0
d4,1,0.229145,1.446162,[227  42] ; [131  33],[222.40646651  46.59353349] ; [135.59353349  28.40646651],0
d1,1,0.281105,1.161738,[164 106] ; [91 73],[158.640553 111.359447] ; [96.359447 67.640553],0
d3,1,0.304193,1.055722,[207  62] ; [119  45],[202.52655889  66.47344111] ; [123.47344111  40.52655889],0
p3,1,0.332754,0.938149,[107 163] ; [ 57 106],[102.26327945 167.73672055] ; [ 61.73672055 101.26327945],0
d5,1,0.405534,0.691855,[228  41] ; [134  30],[224.89145497  44.10854503] ; [137.10854503  26.89145497],0
a1,1,0.421238,0.646859,[  9 261] ; [  8 156],[ 10.57603687 259.42396313] ; [  6.42396313 157.57603687],0
a8,1,0.421357,0.646528,[ 37 203] ; [ 19 133],[ 34.28571429 205.71428571] ; [ 21.71428571 130.28571429],0
d2,1,0.427138,0.630592,[127 142] ; [71 93],[123.00692841 145.99307159] ; [74.99307159 89.00692841],0
a3,1,0.450257,0.570004,[186  83] ; [107  56],[182.44675926  86.55324074] ; [110.55324074  52.44675926],0
n4,1,0.517874,0.418125,[190  79] ; [111  53],[186.99538106  82.00461894] ; [114.00461894  49.99538106],0
p1,1,0.55491,0.348594,[ 13 255] ; [ 10 152],[ 14.33488372 253.66511628] ; [  8.66511628 153.33488372],0
p8,1,0.556282,0.346182,[114 151] ; [65 97],[111.08899297 153.91100703] ; [67.91100703 94.08899297],0
p5,1,0.556291,0.346166,[ 17 251] ; [  8 153],[ 15.61771562 252.38228438] ; [  9.38228438 151.61771562],0
n3,1,0.566319,0.32888,[48 18] ; [27 13],[46.69811321 19.30188679] ; [28.30188679 11.69811321],0
a4,1,0.570069,0.322567,[112 156] ; [ 64 100],[109.18518519 158.81481481] ; [66.81481481 97.18518519],0
p11,1,0.603917,0.269129,[202  68] ; [119  45],[199.70046083  70.29953917] ; [121.29953917  42.70046083],0
b3,1,0.742547,0.1079,[ 47 111] ; [25 65],[ 45.87096774 112.12903226] ; [26.12903226 63.87096774],0
b2,1,0.742547,0.1079,[ 47 111] ; [25 65],[ 45.87096774 112.12903226] ; [26.12903226 63.87096774],0
s1,1,0.800522,0.063843,[  7 257] ; [  5 158],[  7.41920375 256.58079625] ; [  4.58079625 158.41920375],0
n1,1,0.90372,0.014632,[22 43] ; [14 26],[22.28571429 42.71428571] ; [13.71428571 26.28571429],0
b4,1,0.920802,0.009885,[161 109] ; [97 67],[160.50691244 109.49308756] ; [97.49308756 66.50691244],0
a6,1,0.957426,0.00285,[204  65] ; [124  40],[203.76905312  65.23094688] ; [124.23094688  39.76905312],0
