Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.027989,4.828739,[ 8 16] ; [11  5],[11.4 12.6] ; [7.6 8.4],0
a7,1,0.086731,2.934028,[17  7] ; [7 9],[14.4  9.6] ; [9.6 6.4],0
v4,1,0.102992,2.658588,[18  3] ; [10  6],[15.89189189  5.10810811] ; [12.10810811  3.89189189],0
p2,1,0.116985,2.457234,[15  8] ; [14  2],[17.1025641  5.8974359] ; [11.8974359  4.1025641],0
b4,1,0.12087,2.406015,[15  9] ; [ 6 10],[12.6 11.4] ; [8.4 7.6],0
v1,1,0.125698,2.344845,[ 6 17] ; [8 8],[ 8.25641026 14.74358974] ; [ 5.74358974 10.25641026],0
n3,1,0.153607,2.036058,[4 9] ; [5 3],[5.57142857 7.42857143] ; [3.42857143 4.57142857],0
d1,1,0.204894,1.607143,[ 9 15] ; [ 3 13],[ 7.2 16.8] ; [ 4.8 11.2],0
p10,1,0.22504,1.471937,[18  5] ; [9 6],[16.34210526  6.65789474] ; [10.65789474  4.34210526],0
p3,1,0.242908,1.363636,[ 9 15] ; [9 7],[10.8 13.2] ; [7.2 8.8],0
s4,1,0.247473,1.337513,[ 5 19] ; [ 6 10],[ 6.6 17.4] ; [ 4.4 11.6],0
p4,1,0.278958,1.172161,[14 10] ; [12  4],[15.6  8.4] ; [10.4  5.6],0
n2,1,0.339802,0.911178,[9 4] ; [7 1],[9.9047619 3.0952381] ; [6.0952381 1.9047619],0
u3,1,0.342095,0.902564,[7 6] ; [3 6],[5.90909091 7.09090909] ; [4.09090909 4.90909091],0
v2,1,0.34347,0.897436,[ 7 17] ; [7 9],[ 8.4 15.6] ; [ 5.6 10.4],0
r3,1,0.357168,0.847826,[14  9] ; [12  4],[15.33333333  7.66666667] ; [10.66666667  5.33333333],0
d2,1,0.408295,0.683761,[ 9 15] ; [ 4 12],[ 7.8 16.2] ; [ 5.2 10.8],0
d5,1,0.433357,0.613811,[15  9] ; [8 8],[13.8 10.2] ; [9.2 6.8],0
a6,1,0.436275,0.606061,[12 12] ; [10  6],[13.2 10.8] ; [8.8 7.2],0
n5,1,0.440059,0.596128,[13 10] ; [11  5],[14.15384615  8.84615385] ; [9.84615385 6.15384615],0
s6,1,0.451549,0.566761,[ 7 15] ; [7 9],[ 8.10526316 13.89473684] ; [ 5.89473684 10.10526316],0
n6,1,0.456845,0.553613,[14  8] ; [12  4],[15.05263158  6.94736842] ; [10.94736842  5.05263158],0
p5,1,0.459577,0.546924,[ 5 18] ; [ 2 14],[ 4.12820513 18.87179487] ; [ 2.87179487 13.12820513],0
p9,1,0.485045,0.4875,[15  9] ; [11  4],[16.  8.] ; [10.  5.],0
s1,1,0.518605,0.416667,[ 3 21] ; [ 1 15],[ 2.4 21.6] ; [ 1.6 14.4],0
n4,1,0.518605,0.416667,[11 13] ; [9 7],[12. 12.] ; [8. 8.],0
d3,1,0.603761,0.26936,[14 10] ; [8 8],[13.2 10.8] ; [8.8 7.2],0
b2,1,0.61193,0.257374,[ 4 11] ; [2 9],[ 3.46153846 11.53846154] ; [2.53846154 8.46153846],0
b3,1,0.61193,0.257374,[ 4 11] ; [2 9],[ 3.46153846 11.53846154] ; [2.53846154 8.46153846],0
s7,1,0.635318,0.224918,[11 12] ; [6 9],[10.28947368 12.71052632] ; [6.71052632 8.28947368],0
s2,1,0.635318,0.224918,[11 12] ; [6 9],[10.28947368 12.71052632] ; [6.71052632 8.28947368],0
s5,1,0.635327,0.224905,[ 4 18] ; [ 2 14],[ 3.47368421 18.52631579] ; [ 2.52631579 13.47368421],0
p11,1,0.642835,0.215054,[18  6] ; [13  3],[18.6  5.4] ; [12.4  3.6],0
s8,1,0.645238,0.211957,[ 7 16] ; [ 6 10],[ 7.66666667 15.33333333] ; [ 5.33333333 10.66666667],0
b5,1,0.692633,0.15625,[15  9] ; [9 7],[14.4  9.6] ; [9.6 6.4],0
a5,1,0.698176,0.150376,[12 12] ; [9 7],[12.6 11.4] ; [8.4 7.6],0
a2,1,0.717688,0.130719,[ 4 20] ; [ 2 14],[ 3.6 20.4] ; [ 2.4 13.6],0
a1,1,0.767097,0.087719,[ 1 23] ; [ 1 15],[ 1.2 22.8] ; [ 0.8 15.2],0
a4,1,0.772484,0.083595,[ 7 17] ; [ 4 12],[ 6.6 17.4] ; [ 4.4 11.6],0
u1,1,0.806401,0.06006,[ 2 22] ; [ 1 15],[ 1.8 22.2] ; [ 1.2 14.8],0
v3,1,0.81208,0.056522,[ 5 18] ; [ 4 12],[ 5.30769231 17.69230769] ; [ 3.69230769 12.30769231],0
p7,1,0.859823,0.031188,[15  6] ; [11  5],[14.75675676  6.24324324] ; [11.24324324  4.75675676],0
a3,1,0.896764,0.016835,[11 13] ; [7 9],[10.8 13.2] ; [7.2 8.8],0
s3,1,0.907988,0.013358,[ 8 13] ; [6 9],[ 8.16666667 12.83333333] ; [5.83333333 9.16666667],0
u2,1,0.936898,0.006268,[7 6] ; [5 4],[7.09090909 5.90909091] ; [4.90909091 4.09090909],0
r1,1,0.939048,0.005847,[ 6 17] ; [ 4 12],[ 5.8974359 17.1025641] ; [ 4.1025641 11.8974359],0
n1,1,0.964854,0.001942,[5 8] ; [3 5],[4.95238095 8.04761905] ; [3.04761905 4.95238095],0
d4,1,1.0,0.0,[15  9] ; [10  6],[15.  9.] ; [10.  6.],0
p6,1,1.0,0.0,[ 9 15] ; [ 6 10],[ 9. 15.] ; [ 6. 10.],0
