Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.000148,14.392809,[14 16] ; [93 22],[22.13793103  7.86206897] ; [84.86206897 30.13793103],1
s2,1,0.00078,11.287329,[13 17] ; [88 29],[20.6122449  9.3877551] ; [80.3877551 36.6122449],1
s5,1,0.001788,9.755719,[ 4 25] ; [51 61],[11.31205674 17.68794326] ; [43.68794326 68.31205674],0
r4,1,0.002799,8.934081,[20 10] ; [104  13],[25.30612245  4.69387755] ; [98.69387755 18.30612245],0
s8,1,0.003329,8.61786,[13 17] ; [84 33],[19.79591837 10.20408163] ; [77.20408163 39.79591837],0
v4,1,0.006673,7.359023,[23  6] ; [110   6],[26.6  2.4] ; [106.4   9.6],0
r1,1,0.013261,6.133967,[19 11] ; [98 19],[23.87755102  6.12244898] ; [93.12244898 23.87755102],0
a2,1,0.020221,5.392745,[ 2 28] ; [31 86],[ 6.73469388 23.26530612] ; [26.26530612 90.73469388],0
p9,1,0.033298,4.530397,[20  9] ; [97 16],[23.8943662  5.1056338] ; [93.1056338 19.8943662],0
b5,1,0.03841,4.286774,[13 17] ; [75 42],[17.95918367 12.04081633] ; [70.04081633 46.95918367],0
n1,1,0.055259,3.674258,[8 3] ; [13 20],[5.25 5.75] ; [15.75 17.25],0
b3,1,0.061591,3.494004,[12  7] ; [32 49],[ 8.36 10.64] ; [35.64 45.36],0
b2,1,0.061591,3.494004,[12  7] ; [32 49],[ 8.36 10.64] ; [35.64 45.36],0
b1,1,0.077148,3.123985,[ 8 22] ; [52 65],[12.24489796 17.75510204] ; [47.75510204 69.24489796],0
p7,1,0.162014,1.955331,[12 17] ; [61 48],[15.34057971 13.65942029] ; [57.65942029 51.34057971],0
a3,1,0.187734,1.735308,[21  9] ; [94 22],[23.63013699  6.36986301] ; [91.36986301 24.63013699],0
a7,1,0.192792,1.696154,[17 13] ; [81 36],[20. 10.] ; [78. 39.],0
a6,1,0.196426,1.668747,[16 14] ; [76 39],[19.03448276 10.96551724] ; [72.96551724 42.03448276],0
v2,1,0.228441,1.450544,[15 15] ; [69 42],[17.87234043 12.12765957] ; [66.12765957 44.87234043],0
n6,1,0.263123,1.252252,[21  8] ; [94 21],[23.15972222  5.84027778] ; [91.84027778 23.15972222],0
v1,1,0.31229,1.020966,[12 16] ; [61 53],[14.3943662 13.6056338] ; [58.6056338 55.3943662],0
r3,1,0.333609,0.934836,[27  3] ; [109   6],[28.13793103  1.86206897] ; [107.86206897   7.13793103],0
p8,1,0.35036,0.872152,[ 9 21] ; [44 68],[11.1971831 18.8028169] ; [41.8028169 70.1971831],0
a4,1,0.375538,0.785256,[15 15] ; [48 69],[12.85714286 17.14285714] ; [50.14285714 66.85714286],0
p10,1,0.376583,0.781828,[22  8] ; [92 22],[23.75  6.25] ; [90.25 23.75],0
b4,1,0.383674,0.758898,[14 16] ; [65 52],[16.12244898 13.87755102] ; [62.87755102 54.12244898],0
s1,1,0.392364,0.731604,[ 1 29] ; [  9 107],[ 2.05479452 27.94520548] ; [  7.94520548 108.05479452],0
n5,1,0.397716,0.715221,[19 11] ; [82 33],[20.89655172  9.10344828] ; [80.10344828 34.89655172],0
a5,1,0.398339,0.713336,[20 10] ; [87 30],[21.83673469  8.16326531] ; [85.16326531 31.83673469],0
d4,1,0.414124,0.666929,[26  4] ; [93 23],[24.45205479  5.54794521] ; [94.54794521 21.45205479],0
d5,1,0.480574,0.49756,[22  8] ; [92 24],[23.42465753  6.57534247] ; [90.57534247 25.42465753],0
n4,1,0.49265,0.470732,[25  5] ; [90 26],[23.63013699  6.36986301] ; [91.36986301 24.63013699],0
u2,1,0.522903,0.408163,[4 5] ; [12  9],[4.8 4.2] ; [11.2  9.8],0
s4,1,0.567461,0.32695,[ 6 24] ; [29 87],[ 7.19178082 22.80821918] ; [27.80821918 88.19178082],0
r2,1,0.575842,0.313006,[27  2] ; [109   5],[27.58041958  1.41958042] ; [108.41958042   5.58041958],0
a1,1,0.58292,0.301538,[ 2 28] ; [  5 112],[ 1.42857143 28.57142857] ; [  5.57142857 111.42857143],0
p1,1,0.637849,0.221567,[ 2 28] ; [ 11 106],[ 2.65306122 27.34693878] ; [ 10.34693878 106.65306122],0
d1,1,0.645012,0.212247,[15 15] ; [64 53],[16.12244898 13.87755102] ; [62.87755102 54.12244898],0
u1,1,0.655889,0.198556,[ 7 23] ; [23 94],[ 6.12244898 23.87755102] ; [23.87755102 93.12244898],0
u3,1,0.681867,0.168032,[6 3] ; [17  6],[6.46875 2.53125] ; [16.53125  6.46875],0
p2,1,0.716996,0.131389,[20 10] ; [82 35],[20.81632653  9.18367347] ; [81.18367347 35.81632653],0
p6,1,0.756546,0.096112,[ 8 21] ; [28 85],[ 7.35211268 21.64788732] ; [28.64788732 84.35211268],0
p3,1,0.772813,0.083346,[ 9 21] ; [32 85],[ 8.36734694 21.63265306] ; [32.63265306 84.36734694],0
n3,1,0.843778,0.038834,[7 3] ; [22 11],[6.74418605 3.25581395] ; [22.25581395 10.74418605],0
v3,1,0.847357,0.037053,[12 17] ; [49 64],[12.45774648 16.54225352] ; [48.54225352 64.45774648],0
p5,1,0.897888,0.016469,[ 2 28] ; [  7 109],[ 1.84931507 28.15068493] ; [  7.15068493 108.84931507],0
p11,1,0.940155,0.005636,[22  8] ; [85 32],[21.83673469  8.16326531] ; [85.16326531 31.83673469],0
a8,1,0.9501,0.003916,[ 5 22] ; [20 85],[ 5.11363636 21.88636364] ; [19.88636364 85.11363636],0
d3,1,0.958959,0.002648,[18 12] ; [69 47],[17.87671233 12.12328767] ; [69.12328767 46.87671233],0
d2,1,0.991024,0.000127,[14 16] ; [54 62],[13.97260274 16.02739726] ; [54.02739726 61.97260274],0
n2,1,1.0,0.0,[9 2] ; [27  6],[9. 2.] ; [27.  6.],0
