Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,31.864436,[101  12] ; [36 33],[85.06043956 27.93956044] ; [51.93956044 17.06043956],1
d1,1,0.0,29.075394,[71 43] ; [15 55],[53.2826087 60.7173913] ; [32.7173913 37.2826087],1
a3,1,0.0,26.034622,[92 21] ; [31 38],[76.36813187 36.63186813] ; [46.63186813 22.36813187],1
a4,1,3e-06,21.892391,[55 59] ; [10 60],[40.27173913 73.72826087] ; [24.72826087 45.27173913],1
a6,1,1.9e-05,18.292374,[82 30] ; [29 41],[68.30769231 43.69230769] ; [42.69230769 27.30769231],1
d2,1,6e-05,16.114668,[58 55] ; [15 55],[45.07650273 67.92349727] ; [27.92349727 42.07650273],1
r1,1,0.000544,11.959214,[97 16] ; [44 25],[87.54395604 25.45604396] ; [53.45604396 15.54395604],1
r4,1,0.001915,9.629348,[107   7] ; [55 15],[100.36956522  13.63043478] ; [61.63043478  8.36956522],0
d4,1,0.001985,9.563528,[96 17] ; [45 24],[87.54395604 25.45604396] ; [53.45604396 15.54395604],0
s8,1,0.005198,7.809286,[52 60] ; [18 52],[43.07692308 68.92307692] ; [26.92307692 43.07692308],0
b2,1,0.00767,7.108965,[27 35] ; [ 8 35],[20.66666667 41.33333333] ; [14.33333333 28.66666667],0
b3,1,0.00767,7.108965,[27 35] ; [ 8 35],[20.66666667 41.33333333] ; [14.33333333 28.66666667],0
p10,1,0.007862,7.064542,[92 21] ; [44 25],[84.43956044 28.56043956] ; [51.56043956 17.43956044],0
n3,1,0.011273,6.421761,[27  2] ; [15  8],[23.42307692  5.57692308] ; [18.57692308  4.42307692],0
p9,1,0.013959,6.04331,[93 18] ; [47 22],[86.33333333 24.66666667] ; [53.66666667 15.33333333],0
s7,1,0.016267,5.773781,[53 57] ; [20 47],[45.36723164 64.63276836] ; [27.63276836 39.36723164],0
u1,1,0.017192,5.676667,[18 96] ; [ 3 67],[ 13.01086957 100.98913043] ; [ 7.98913043 62.01086957],0
n4,1,0.024088,5.088286,[87 26] ; [43 27],[80.27322404 32.72677596] ; [49.72677596 20.27322404],0
r3,1,0.02874,4.783118,[111   2] ; [64  6],[108.06010929   4.93989071] ; [66.93989071  3.06010929],0
n6,1,0.032263,4.58449,[96 16] ; [51 19],[90.46153846 21.53846154] ; [56.53846154 13.46153846],0
d3,1,0.033517,4.519163,[73 40] ; [33 35],[66.17679558 46.82320442] ; [39.82320442 28.17679558],0
s5,1,0.056541,3.636058,[39 72] ; [15 54],[33.3 77.7] ; [20.7 48.3],0
p3,1,0.083238,3.000523,[47 67] ; [20 50],[41.51086957 72.48913043] ; [25.48913043 44.51086957],0
a8,1,0.084261,2.980727,[25 78] ; [ 9 58],[20.6 82.4] ; [13.4 53.6],0
s6,1,0.091064,2.855464,[72 39] ; [36 33],[66.6 44.4] ; [41.4 27.6],0
b5,1,0.093067,2.820499,[76 38] ; [38 32],[70.63043478 43.36956522] ; [43.36956522 26.63043478],0
p6,1,0.100111,2.70378,[25 88] ; [22 44],[29.67039106 83.32960894] ; [17.32960894 48.67039106],0
p2,1,0.11173,2.529577,[97 17] ; [53 17],[92.93478261 21.06521739] ; [57.06521739 12.93478261],0
v3,1,0.11924,2.427278,[43 69] ; [19 51],[38.15384615 73.84615385] ; [23.84615385 46.15384615],0
r2,1,0.144851,2.125648,[105   5] ; [62  7],[102.62569832   7.37430168] ; [64.37430168  4.62569832],0
p8,1,0.155786,2.014663,[58 53] ; [29 41],[53.35359116 57.64640884] ; [33.64640884 36.35359116],0
v2,1,0.159549,1.978493,[69 43] ; [33 32],[64.54237288 47.45762712] ; [37.45762712 27.54237288],0
u2,1,0.206608,1.595038,[ 8 13] ; [21 17],[10.3220339 10.6779661] ; [18.6779661 19.3220339],0
n1,1,0.239405,1.384096,[10 17] ; [ 5 18],[ 8.1 18.9] ; [ 6.9 16.1],0
s4,1,0.251776,1.313421,[14 99] ; [13 57],[16.67213115 96.32786885] ; [10.32786885 59.67213115],0
n5,1,0.25341,1.304403,[78 34] ; [43 27],[74.46153846 37.53846154] ; [46.53846154 23.46153846],0
p5,1,0.272832,1.202452,[  5 109] ; [ 1 69],[  3.7173913 110.2826087] ; [ 2.2826087 67.7173913],0
s2,1,0.328922,0.953138,[54 60] ; [28 42],[50.80434783 63.19565217] ; [31.19565217 38.80434783],0
b1,1,0.36899,0.807062,[50 64] ; [26 44],[47.08695652 66.91304348] ; [28.91304348 41.08695652],0
p12,1,0.423472,0.640661,[  6 106] ; [ 2 68],[  4.92307692 107.07692308] ; [ 3.07692308 66.92307692],0
p1,1,0.463092,0.538411,[  4 110] ; [ 4 65],[  4.98360656 109.01639344] ; [ 3.01639344 65.98360656],0
v1,1,0.487158,0.482798,[54 59] ; [28 38],[51.76536313 61.23463687] ; [30.23463687 35.76536313],0
s1,1,0.49267,0.47069,[  4 108] ; [ 4 66],[  4.92307692 107.07692308] ; [ 3.07692308 66.92307692],0
b4,1,0.523446,0.407098,[58 56] ; [39 31],[60.09782609 53.90217391] ; [36.90217391 33.09782609],0
p11,1,0.572869,0.317906,[82 32] ; [53 17],[83.64130435 30.35869565] ; [51.35869565 18.64130435],0
s3,1,0.644346,0.213103,[59 54] ; [39 31],[60.5136612 52.4863388] ; [37.4863388 32.5136612],0
v4,1,0.688683,0.160515,[107   5] ; [65  4],[106.43093923   5.56906077] ; [65.56906077  3.43093923],0
