Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,66.623305,[56 80] ; [267  68],[93.26539278 42.73460722] ; [229.73460722 105.26539278],1
d2,1,0.0,39.274445,[ 30 106] ; [180 155],[60.63694268 75.36305732] ; [149.36305732 185.63694268],1
a4,1,0.0,37.146432,[ 25 112] ; [162 172],[54.39278132 82.60721868] ; [132.60721868 201.39278132],1
r1,1,0.0,35.562824,[84 52] ; [286  45],[107.751606  28.248394] ; [262.248394  68.751606],1
d5,1,0.0,32.173136,[87 50] ; [290  45],[109.42584746  27.57415254] ; [267.57415254  67.42584746],1
d1,1,0.0,31.805355,[46 91] ; [208 127],[73.72457627 63.27542373] ; [180.27542373 154.72457627],1
r4,1,0.0,26.776026,[103  34] ; [310  25],[119.875  17.125] ; [293.125  41.875],1
d4,1,0.0,25.981205,[88 47] ; [288  47],[108.  27.] ; [268.  67.],1
n4,1,8e-06,19.936898,[79 57] ; [261  72],[98.59275053 37.40724947] ; [241.40724947  91.59275053],1
a6,1,1.2e-05,19.161265,[75 62] ; [252  83],[94.91313559 42.08686441] ; [232.08686441 102.91313559],1
p11,1,4.8e-05,16.52614,[93 44] ; [283  52],[109.13559322  27.86440678] ; [266.86440678  68.13559322],1
u1,1,0.000119,14.800959,[  6 131] ; [ 60 275],[ 19.15677966 117.84322034] ; [ 46.84322034 288.15677966],1
v2,1,0.000126,14.703856,[50 76] ; [193 130],[68.19153675 57.80846325] ; [174.80846325 148.19153675],1
s7,1,0.00062,11.713493,[39 93] ; [150 169],[55.31707317 76.68292683] ; [133.68292683 185.31707317],1
v1,1,0.001336,10.292801,[50 81] ; [178 147],[65.5 65.5] ; [162.5 162.5],0
b3,1,0.002022,9.529808,[11 58] ; [ 73 131],[21.23076923 47.76923077] ; [ 62.76923077 141.23076923],0
b2,1,0.002022,9.529808,[11 58] ; [ 73 131],[21.23076923 47.76923077] ; [ 62.76923077 141.23076923],0
r2,1,0.002527,9.12077,[118  18] ; [314  17],[125.80728051  10.19271949] ; [306.19271949  24.80728051],0
p10,1,0.005582,7.680575,[98 37] ; [279  54],[108.75  26.25] ; [268.25  64.75],0
p9,1,0.011642,6.364535,[104  30] ; [288  43],[112.96344086  21.03655914] ; [279.03655914  51.96344086],0
p4,1,0.012183,6.284018,[58 78] ; [185 149],[70.31489362 65.68510638] ; [172.68510638 161.31489362],0
p7,1,0.012552,6.231239,[64 70] ; [200 131],[76.07741935 57.92258065] ; [187.92258065 143.07741935],0
p8,1,0.015136,5.900579,[52 83] ; [168 162],[63.87096774 71.12903226] ; [156.12903226 173.87096774],0
n5,1,0.016363,5.763406,[86 50] ; [246  85],[96.68522484 39.31477516] ; [235.31477516  95.68522484],0
r3,1,0.01992,5.418928,[124  12] ; [321  12],[129.04051173   6.95948827] ; [315.95948827  17.04051173],0
d3,1,0.025876,4.964308,[82 55] ; [236  99],[92.30084746 44.69915254] ; [225.69915254 109.30084746],0
p3,1,0.029474,4.739724,[47 90] ; [151 183],[57.59235669 79.40764331] ; [140.40764331 193.59235669],0
s6,1,0.031366,4.632799,[76 59] ; [220 109],[86.12068966 48.87931034] ; [209.87931034 119.12068966],0
n1,1,0.032426,4.575856,[ 6 29] ; [27 45],[10.79439252 24.20560748] ; [22.20560748 49.79439252],0
s8,1,0.038852,4.267331,[41 96] ; [133 199],[50.82729211 86.17270789] ; [123.17270789 208.82729211],0
v3,1,0.040647,4.190688,[38 93] ; [127 197],[47.50549451 83.49450549] ; [117.49450549 206.50549451],0
s5,1,0.045167,4.012403,[ 30 104] ; [104 224],[38.86580087 95.13419913] ; [ 95.13419913 232.86580087],0
n2,1,0.102027,2.673563,[22 12] ; [58 15],[25.42056075  8.57943925] ; [54.57943925 18.42056075],0
a8,1,0.147472,2.098204,[ 13 113] ; [ 47 253],[ 17.74647887 108.25352113] ; [ 42.25352113 257.74647887],0
s2,1,0.150547,2.066705,[55 81] ; [158 173],[62.02997859 73.97002141] ; [150.97002141 180.02997859],0
v4,1,0.151108,2.061027,[126   9] ; [319  12],[128.91630901   6.08369099] ; [316.08369099  14.91630901],0
n6,1,0.177503,1.818405,[107  30] ; [276  55],[112.11752137  24.88247863] ; [270.88247863  60.11752137],0
a1,1,0.180307,1.795095,[  1 136] ; [  9 326],[  2.90254237 134.09745763] ; [  7.09745763 327.90254237],0
a7,1,0.189738,1.719647,[93 43] ; [249  86],[98.75159236 37.24840764] ; [243.24840764  91.75159236],0
p12,1,0.208405,1.582471,[  4 132] ; [ 19 314],[  6.66950959 129.33049041] ; [ 16.33049041 316.66950959],0
s4,1,0.211244,1.562877,[ 24 112] ; [ 44 290],[ 19.67659574 116.32340426] ; [ 48.32340426 285.67659574],0
n3,1,0.21206,1.557306,[23 12] ; [57 17],[25.68807339  9.31192661] ; [54.31192661 19.68807339],0
b4,1,0.248803,1.330015,[86 51] ; [191 144],[80.40042373 56.59957627] ; [196.59957627 138.40042373],0
b5,1,0.589736,0.290756,[81 56] ; [207 128],[83.59322034 53.40677966] ; [204.40677966 130.59322034],0
p1,1,0.60377,0.269348,[  9 127] ; [ 18 316],[  7.81276596 128.18723404] ; [ 19.18723404 314.81276596],0
p5,1,0.727279,0.121625,[  9 128] ; [ 25 309],[  9.8895966 127.1104034] ; [ 24.1104034 309.8895966],0
u3,1,0.741488,0.108823,[42 38] ; [37 30],[42.99319728 37.00680272] ; [36.00680272 30.99319728],0
b1,1,0.786029,0.073696,[48 89] ; [113 222],[46.7309322 90.2690678] ; [114.2690678 220.7309322],0
s3,1,0.826225,0.0482,[74 60] ; [178 151],[72.93304536 61.06695464] ; [179.06695464 149.93304536],0
u2,1,0.888328,0.019718,[41 37] ; [36 31],[41.42068966 36.57931034] ; [35.57931034 31.42068966],0
s1,1,0.9492,0.004059,[  3 132] ; [  7 322],[  2.90948276 132.09051724] ; [  7.09051724 321.90948276],0
