Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.2e-05,19.16521,[26 20] ; [ 30 106],[14.15384615 31.84615385] ; [41.84615385 94.15384615],1
p7,1,0.0001,15.130302,[31 15] ; [47 89],[19.71428571 26.28571429] ; [58.28571429 77.71428571],1
p4,1,0.000486,12.169312,[28 18] ; [44 94],[18. 28.] ; [54. 84.],1
s7,1,0.002969,8.826351,[23 22] ; [35 95],[14.91428571 30.08571429] ; [43.08571429 86.91428571],0
s8,1,0.007657,7.112016,[19 26] ; [ 30 107],[12.11538462 32.88461538] ; [ 36.88461538 100.11538462],0
b2,1,0.010274,6.586798,[15 14] ; [22 63],[ 9.4122807 19.5877193] ; [27.5877193 57.4122807],0
b3,1,0.010274,6.586798,[15 14] ; [22 63],[ 9.4122807 19.5877193] ; [27.5877193 57.4122807],0
p1,1,0.013897,6.051151,[ 7 39] ; [  6 130],[ 3.28571429 42.71428571] ; [  9.71428571 126.28571429],0
r3,1,0.017613,5.634212,[45  1] ; [116  21],[40.46994536  5.53005464] ; [120.53005464  16.46994536],0
p3,1,0.022616,5.19774,[21 25] ; [ 38 100],[14.75 31.25] ; [44.25 93.75],0
n2,1,0.027623,4.851431,[15  2] ; [32 22],[11.25352113  5.74647887] ; [35.74647887 18.25352113],0
n3,1,0.066304,3.37223,[14  3] ; [30 22],[10.84057971  6.15942029] ; [33.15942029 18.84057971],0
p9,1,0.074009,3.19179,[22 24] ; [44 89],[16.96089385 29.03910615] ; [49.03910615 83.96089385],0
n6,1,0.077559,3.115324,[35 11] ; [84 52],[30.07692308 15.92307692] ; [88.92307692 47.07692308],0
p2,1,0.08112,3.042328,[33 13] ; [79 59],[28. 18.] ; [84. 54.],0
p11,1,0.088659,2.898551,[28 18] ; [64 74],[23. 23.] ; [69. 69.],0
s2,1,0.103679,2.648025,[21 25] ; [44 92],[16.42857143 29.57142857] ; [48.57142857 87.42857143],0
s3,1,0.111272,2.536064,[26 20] ; [58 77],[21.3480663 24.6519337] ; [62.6519337 72.3480663],0
b5,1,0.13502,2.233816,[33 13] ; [82 56],[28.75 17.25] ; [86.25 51.75],0
v2,1,0.147751,2.095313,[23 22] ; [52 82],[18.8547486 26.1452514] ; [56.1452514 77.8547486],0
u4,1,0.150476,2.067416,[ 3 43] ; [  3 135],[ 1.5 44.5] ; [  4.5 133.5],0
v4,1,0.15277,2.044374,[43  3] ; [117  20],[40.21857923  5.78142077] ; [119.78142077  17.21857923],0
a5,1,0.162901,1.94709,[24 22] ; [88 50],[28. 18.] ; [84. 54.],0
p5,1,0.167169,1.908148,[ 4 42] ; [  5 133],[ 2.25 43.75] ; [  6.75 131.25],0
u2,1,0.194151,1.685833,[11  9] ; [19 31],[ 8.57142857 11.42857143] ; [21.42857143 28.57142857],0
s5,1,0.231732,1.430198,[ 6 35] ; [ 32 105],[ 8.75280899 32.24719101] ; [ 29.24719101 107.75280899],0
n4,1,0.234496,1.413383,[33 13] ; [85 52],[29.66120219 16.33879781] ; [88.33879781 48.66120219],0
b1,1,0.267745,1.228266,[25 21] ; [62 76],[21.75 24.25] ; [65.25 72.75],0
n1,1,0.272667,1.203282,[9 7] ; [22 32],[7.08571429 8.91428571] ; [23.91428571 30.08571429],0
d3,1,0.28312,1.152052,[30 16] ; [77 60],[26.89617486 19.10382514] ; [80.10382514 56.89617486],0
s6,1,0.301582,1.067186,[26 19] ; [67 70],[22.99450549 22.00549451] ; [70.00549451 66.99450549],0
