Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1.8e-05,18.43627,[28 13] ; [ 8 31],[18.45 22.55] ; [17.55 21.45],1
s2,1,0.000264,13.308549,[25 17] ; [ 8 32],[16.90243902 25.09756098] ; [16.09756098 23.90243902],1
v2,1,0.002429,9.193601,[23 17] ; [10 31],[16.2962963 23.7037037] ; [16.7037037 24.2962963],0
r3,1,0.002523,9.123794,[34  7] ; [20 19],[27.675 13.325] ; [26.325 12.675],0
s8,1,0.004576,8.039966,[18 24] ; [ 6 35],[12.14457831 29.85542169] ; [11.85542169 29.14457831],0
s5,1,0.00742,7.168459,[14 26] ; [ 4 36],[ 9. 31.] ; [ 9. 31.],0
d5,1,0.019166,5.486297,[31 11] ; [20 21],[25.80722892 16.19277108] ; [25.19277108 15.80722892],0
a6,1,0.020556,5.364022,[25 17] ; [14 27],[19.73493976 22.26506024] ; [19.26506024 21.73493976],0
n4,1,0.02083,5.340973,[29 13] ; [18 23],[23.78313253 18.21686747] ; [23.21686747 17.78313253],0
d4,1,0.043107,4.091219,[32 10] ; [22 18],[27.65853659 14.34146341] ; [26.34146341 13.65853659],0
p11,1,0.049124,3.871105,[33  9] ; [24 17],[28.84337349 13.15662651] ; [28.15662651 12.84337349],0
v3,1,0.051727,3.78458,[11 31] ; [ 4 37],[ 7.59036145 34.40963855] ; [ 7.40963855 33.59036145],0
p7,1,0.059052,3.563807,[25 16] ; [16 24],[20.75308642 20.24691358] ; [20.24691358 19.75308642],0
a5,1,0.060635,3.519931,[24 18] ; [15 26],[19.73493976 22.26506024] ; [19.26506024 21.73493976],0
s7,1,0.06639,3.37009,[21 20] ; [11 25],[17.03896104 23.96103896] ; [14.96103896 21.03896104],0
b1,1,0.153158,2.040513,[18 24] ; [24 17],[21.25301205 20.74698795] ; [20.74698795 20.25301205],0
n2,1,0.192622,1.697452,[13  4] ; [10  8],[11.17142857  5.82857143] ; [11.82857143  6.17142857],0
v1,1,0.199706,1.64452,[19 21] ; [13 26],[16.20253165 23.79746835] ; [15.79746835 23.20253165],0
u2,1,0.242403,1.366562,[10  6] ; [10 13],[8.20512821 7.79487179] ; [11.79487179 11.20512821],0
d2,1,0.256047,1.290004,[13 29] ; [ 8 32],[10.75609756 31.24390244] ; [10.24390244 29.75609756],0
p9,1,0.258038,1.279253,[33  9] ; [27 13],[30.73170732 11.26829268] ; [29.26829268 10.73170732],0
a3,1,0.271514,1.209082,[24 18] ; [18 22],[21.51219512 20.48780488] ; [20.48780488 19.51219512],0
d3,1,0.275095,1.191163,[25 17] ; [19 21],[22.53658537 19.46341463] ; [21.46341463 18.53658537],0
n5,1,0.298982,1.078728,[26 14] ; [22 19],[23.7037037 16.2962963] ; [24.2962963 16.7037037],0
s4,1,0.313601,1.01545,[11 31] ; [ 7 34],[ 9.10843373 32.89156627] ; [ 8.89156627 32.10843373],0
p8,1,0.359104,0.841026,[13 28] ; [17 24],[15. 26.] ; [15. 26.],0
a8,1,0.370498,0.801994,[ 3 38] ; [ 1 35],[ 2.12987013 38.87012987] ; [ 1.87012987 34.12987013],0
a2,1,0.379718,0.771614,[ 2 40] ; [ 4 37],[ 3.03614458 38.96385542] ; [ 2.96385542 38.03614458],0
n1,1,0.392227,0.732026,[ 6 11] ; [ 4 14],[ 4.85714286 12.14285714] ; [ 5.14285714 12.85714286],0
p3,1,0.405758,0.691197,[17 25] ; [13 28],[15.18072289 26.81927711] ; [14.81927711 26.18072289],0
b4,1,0.429574,0.623976,[22 20] ; [25 16],[23.78313253 18.21686747] ; [23.21686747 17.78313253],0
p10,1,0.478122,0.503145,[28 12] ; [25 15],[26.5 13.5] ; [26.5 13.5],0
b2,1,0.498962,0.457143,[ 6 22] ; [ 6 14],[ 7. 21.] ; [ 5. 15.],0
b3,1,0.498962,0.457143,[ 6 22] ; [ 6 14],[ 7. 21.] ; [ 5. 15.],0
a7,1,0.510799,0.432429,[23 19] ; [19 21],[21.51219512 20.48780488] ; [20.48780488 19.51219512],0
n6,1,0.517363,0.419147,[27 14] ; [29 11],[28.34567901 12.65432099] ; [27.65432099 12.34567901],0
p1,1,0.542275,0.371339,[ 1 41] ; [ 2 39],[ 1.51807229 40.48192771] ; [ 1.48192771 39.51807229],0
