Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2e-06,22.516712,[55 31] ; [227  34],[69.89048991 16.10951009] ; [212.10951009  48.89048991],1
p11,1,9e-06,19.665491,[59 27] ; [232  29],[72.12103746 13.87896254] ; [218.87896254  42.12103746],1
p6,1,0.000437,12.365022,[33 52] ; [156 101],[46.97368421 38.02631579] ; [142.02631579 114.97368421],1
p10,1,0.00172,9.826716,[68 18] ; [238  22],[76.05780347  9.94219653] ; [229.94219653  30.05780347],0
p5,1,0.002288,9.303028,[ 7 78] ; [ 61 200],[16.70520231 68.29479769] ; [ 51.29479769 209.70520231],0
p2,1,0.006112,7.517056,[72 14] ; [243  17],[78.29479769  7.70520231] ; [236.70520231  23.29479769],0
p12,1,0.010344,6.574757,[ 3 83] ; [ 35 225],[ 9.44508671 76.55491329] ; [ 28.55491329 231.44508671],0
b5,1,0.010651,6.522716,[59 27] ; [138 123],[48.82420749 37.17579251] ; [148.17579251 112.82420749],0
s5,1,0.020397,5.377588,[26 58] ; [113 136],[35.06306306 48.93693694] ; [103.93693694 145.06306306],0
a2,1,0.024102,5.087308,[33 53] ; [ 67 194],[24.78386167 61.21613833] ; [ 75.21613833 185.78386167],0
p9,1,0.027892,4.834725,[72 14] ; [240  21],[77.32564841  8.67435159] ; [234.67435159  26.32564841],0
b1,1,0.031487,4.626189,[46 40] ; [105 156],[37.42363112 48.57636888] ; [113.57636888 147.42363112],0
r1,1,0.036166,4.389269,[63 22] ; [219  41],[69.47826087 15.52173913] ; [212.52173913  47.47826087],0
p1,1,0.053311,3.734129,[ 5 81] ; [ 35 224],[ 9.97101449 76.02898551] ; [ 30.02898551 228.97101449],0
n6,1,0.060307,3.528929,[70 15] ; [233  26],[74.86918605 10.13081395] ; [228.13081395  30.86918605],0
d1,1,0.081531,3.03411,[47 39] ; [170  91],[53.78097983 32.21902017] ; [163.21902017  97.78097983],0
n5,1,0.091335,2.850677,[61 23] ; [212  49],[66.46956522 17.53043478] ; [206.53043478  54.46956522],0
d3,1,0.118465,2.437504,[55 31] ; [190  71],[60.7204611 25.2795389] ; [184.2795389  76.7204611],0
u1,1,0.147724,2.095598,[25 61] ; [ 56 205],[20.07492795 65.92507205] ; [ 60.92507205 200.07492795],0
a6,1,0.162556,1.950286,[66 20] ; [179  81],[60.89595376 25.10404624] ; [184.10404624  75.89595376],0
v4,1,0.167662,1.903728,[80  6] ; [250   9],[82.26086957  3.73913043] ; [247.73913043  11.26086957],0
b3,1,0.241853,1.369761,[29 32] ; [ 65 102],[25.14912281 35.85087719] ; [68.85087719 98.14912281],0
b2,1,0.241853,1.369761,[29 32] ; [ 65 102],[25.14912281 35.85087719] ; [68.85087719 98.14912281],0
n4,1,0.254239,1.299862,[66 19] ; [217  44],[69.52312139 15.47687861] ; [213.47687861  47.52312139],0
n1,1,0.274549,1.193878,[8 9] ; [10 22],[ 6.24489796 10.75510204] ; [11.75510204 20.24489796],0
s8,1,0.276358,1.184915,[40 46] ; [138 121],[44.37101449 41.62898551] ; [133.62898551 125.37101449],0
v1,1,0.296938,1.087895,[47 36] ; [162  95],[51.02058824 31.97941176] ; [157.97941176  99.02058824],0
d4,1,0.298081,1.082761,[69 17] ; [221  39],[72.08092486 13.91907514] ; [217.91907514  42.08092486],0
a4,1,0.320542,0.986734,[45 41] ; [120 140],[41.01156069 44.98843931] ; [123.98843931 136.01156069],0
s6,1,0.327532,0.95863,[57 28] ; [183  69],[60.53412463 24.46587537] ; [179.46587537  72.53412463],0
r4,1,0.385666,0.752564,[78  8] ; [244  17],[79.80403458  6.19596542] ; [242.19596542  18.80403458],0
s4,1,0.411491,0.674488,[14 71] ; [ 53 205],[16.60349854 68.39650146] ; [ 50.39650146 207.60349854],0
u4,1,0.41328,0.669345,[ 1 85] ; [  7 253],[ 1.98843931 84.01156069] ; [  6.01156069 253.98843931],0
u3,1,0.49028,0.475911,[13  6] ; [40 27],[11.70930233  7.29069767] ; [41.29069767 25.70930233],0
d2,1,0.511794,0.430398,[47 39] ; [132 129],[44.36311239 41.63688761] ; [134.63688761 126.36311239],0
a5,1,0.560573,0.338714,[66 20] ; [208  53],[67.90778098 18.09221902] ; [206.09221902  54.90778098],0
a3,1,0.573904,0.316194,[67 19] ; [194  65],[65.06086957 20.93913043] ; [195.93913043  63.06086957],0
r3,1,0.624327,0.239833,[82  4] ; [249   9],[82.75  3.25] ; [248.25   9.75],0
a1,1,0.642214,0.215858,[ 5 81] ; [ 19 242],[ 5.9481268 80.0518732] ; [ 18.0518732 242.9481268],0
d5,1,0.695384,0.153318,[73 13] ; [216  44],[71.83236994 14.16763006] ; [217.16763006  42.83236994],0
a7,1,0.702842,0.145532,[64 22] ; [188  72],[62.63583815 23.36416185] ; [189.36416185  70.63583815],0
u2,1,0.737615,0.112234,[11  7] ; [38 29],[10.37647059  7.62352941] ; [38.62352941 28.37647059],0
b4,1,0.739185,0.110845,[47 39] ; [148 113],[48.32853026 37.67146974] ; [146.67146974 114.32853026],0
s3,1,0.75919,0.09397,[49 36] ; [153 104],[50.20467836 34.79532164] ; [151.79532164 105.20467836],0
r2,1,0.774373,0.082174,[82  4] ; [243  14],[81.48688047  4.51311953] ; [243.51311953  13.48688047],0
v3,1,0.828821,0.046748,[41 42] ; [122 132],[40.14540059 42.85459941] ; [122.85459941 131.14540059],0
v2,1,0.831655,0.04519,[52 29] ; [161  95],[51.1958457 29.8041543] ; [161.8041543  94.1958457],0
s2,1,0.844689,0.038377,[46 39] ; [137 122],[45.21802326 39.78197674] ; [137.78197674 121.21802326],0
s1,1,0.868521,0.027402,[ 2 83] ; [  7 254],[ 2.21098266 82.78901734] ; [  6.78901734 254.21098266],0
a8,1,0.872246,0.025858,[12 65] ; [ 35 201],[11.56230032 65.43769968] ; [ 35.43769968 200.56230032],0
n2,1,0.894893,0.017454,[13  4] ; [25  7],[13.18367347  3.81632653] ; [24.81632653  7.18367347],0
s7,1,0.901093,0.015446,[50 35] ; [146  99],[50.48484848 34.51515152] ; [145.51515152  99.48484848],0
