Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,56.585577,[11 29] ; [58  1],[27.87878788 12.12121212] ; [41.12121212 17.87878788],1
v4,1,0.0,42.308595,[16 24] ; [57  1],[29.79591837 10.20408163] ; [43.20408163 14.79591837],1
r1,1,0.0,28.714568,[11 29] ; [48 11],[23.83838384 16.16161616] ; [35.16161616 23.83838384],1
r2,1,2e-06,22.181083,[23 16] ; [57  2],[31.83673469  7.16326531] ; [48.16326531 10.83673469],1
p11,1,0.000118,14.821006,[10 30] ; [38 21],[19.39393939 20.60606061] ; [28.60606061 30.39393939],1
p2,1,0.00017,14.138818,[15 24] ; [45 14],[23.87755102 15.12244898] ; [36.12244898 22.87755102],1
u3,1,0.00034,12.836467,[ 6 14] ; [20  4],[11.81818182  8.18181818] ; [14.18181818  9.81818182],1
s6,1,0.001955,9.591191,[ 8 32] ; [30 29],[15.35353535 24.64646465] ; [22.64646465 36.35353535],0
a1,1,0.007119,7.24278,[ 8 32] ; [ 2 57],[ 4.04040404 35.95959596] ; [ 5.95959596 53.04040404],0
p9,1,0.020082,5.404769,[17 23] ; [39 20],[22.62626263 17.37373737] ; [33.37373737 25.62626263],0
s8,1,0.024781,5.039142,[ 5 35] ; [19 40],[ 9.6969697 30.3030303] ; [14.3030303 44.6969697],0
d4,1,0.033963,4.496553,[23 17] ; [45 13],[27.75510204 12.24489796] ; [40.24489796 17.75510204],0
b5,1,0.043437,4.078329,[19 21] ; [40 19],[23.83838384 16.16161616] ; [35.16161616 23.83838384],0
b1,1,0.048917,3.878199,[27 13] ; [28 31],[22.22222222 17.77777778] ; [32.77777778 26.22222222],0
d3,1,0.049539,3.856997,[17 22] ; [37 21],[21.71134021 17.28865979] ; [32.28865979 25.71134021],0
n3,1,0.059902,3.540108,[ 7 12] ; [11  5],[9.77142857 9.22857143] ; [8.22857143 7.77142857],0
p4,1,0.075086,3.168183,[ 9 31] ; [23 35],[13.06122449 26.93877551] ; [18.93877551 39.06122449],0
n5,1,0.075549,3.158144,[21 19] ; [20 38],[16.73469388 23.26530612] ; [24.26530612 33.73469388],0
s3,1,0.089102,2.89053,[16 23] ; [34 24],[20.10309278 18.89690722] ; [29.89690722 28.10309278],0
p3,1,0.094353,2.798484,[ 8 32] ; [21 38],[11.71717172 28.28282828] ; [17.28282828 41.71717172],0
a5,1,0.10002,2.705223,[17 23] ; [35 24],[21.01010101 18.98989899] ; [30.98989899 28.01010101],0
s2,1,0.106422,2.60656,[ 9 31] ; [22 36],[12.65306122 27.34693878] ; [18.34693878 39.65306122],0
