Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,2.4e-05,17.826286,[ 11 152] ; [4 4],[ 14.29824561 148.70175439] ; [0.70175439 7.29824561],1
a4,1,0.000466,12.247292,[ 34 127] ; [6 2],[ 38.10650888 122.89349112] ; [1.89349112 6.10650888],1
a1,1,0.000715,11.449275,[  4 159] ; [2 6],[  5.71929825 157.28070175] ; [0.28070175 7.71929825],1
v4,1,0.043427,4.07869,[151  10] ; [6 2],[149.56804734  11.43195266] ; [7.43195266 0.56804734],0
u1,1,0.05147,3.792902,[  3 160] ; [1 7],[  3.8128655 159.1871345] ; [0.1871345 7.8128655],0
p1,1,0.063823,3.435145,[ 22 139] ; [3 5],[ 23.81656805 137.18343195] ; [1.18343195 6.81656805],0
s7,1,0.075894,3.150701,[58 95] ; [5 2],[60.24375 92.75625] ; [2.75625 4.24375],0
a8,1,0.100071,2.704419,[ 14 136] ; [2 5],[ 15.2866242 134.7133758] ; [0.7133758 6.2866242],0
a7,1,0.110559,2.546209,[96 66] ; [7 1],[98.15294118 63.84705882] ; [4.84705882 3.15294118],0
a6,1,0.113324,2.507241,[97 66] ; [7 1],[99.13450292 63.86549708] ; [4.86549708 3.13450292],0
s2,1,0.138424,2.195389,[ 58 101] ; [5 3],[59.98203593 99.01796407] ; [3.01796407 4.98203593],0
p6,1,0.199527,1.645831,[ 46 114] ; [4 4],[ 47.61904762 112.38095238] ; [2.38095238 5.61904762],0
b5,1,0.270869,1.212343,[90 73] ; [6 2],[91.50877193 71.49122807] ; [4.49122807 3.50877193],0
p8,1,0.295877,1.092686,[69 89] ; [5 3],[70.43373494 87.56626506] ; [3.56626506 4.43373494],0
s8,1,0.29917,1.077889,[ 52 109] ; [4 4],[ 53.34911243 107.65088757] ; [2.65088757 5.34911243],0
p2,1,0.354345,0.857834,[117  44] ; [7 1],[118.13017751  42.86982249] ; [5.86982249 2.13017751],0
n5,1,0.376004,0.783725,[119  43] ; [7 1],[120.07058824  41.92941176] ; [5.92941176 2.07058824],0
b4,1,0.398921,0.711575,[86 77] ; [3 5],[84.83625731 78.16374269] ; [4.16374269 3.83625731],0
p3,1,0.407436,0.68627,[67 95] ; [4 3],[68.0591716 93.9408284] ; [2.9408284 4.0591716],0
p4,1,0.448154,0.575316,[79 83] ; [5 3],[80.04705882 81.95294118] ; [3.95294118 4.04705882],0
s6,1,0.48252,0.493163,[89 69] ; [3 4],[88.0969697 69.9030303] ; [3.9030303 3.0969697],0
n3,1,0.489614,0.477375,[38  8] ; [2 1],[37.55102041  8.44897959] ; [2.44897959 0.55102041],0
n6,1,0.520315,0.413268,[127  36] ; [7 1],[127.73099415  35.26900585] ; [6.26900585 1.73099415],0
v3,1,0.592229,0.286877,[ 54 104] ; [2 6],[ 53.30120482 104.69879518] ; [2.69879518 5.30120482],0
n2,1,0.609574,0.260795,[38 10] ; [2 1],[37.64705882 10.35294118] ; [2.35294118 0.64705882],0
v1,1,0.641073,0.217341,[73 86] ; [3 5],[72.35928144 86.64071856] ; [3.64071856 4.35928144],0
s4,1,0.661739,0.191419,[ 30 131] ; [1 7],[ 29.53254438 131.46745562] ; [1.46745562 6.53254438],0
r1,1,0.691147,0.157846,[110  51] ; [6 2],[110.50887574  50.49112426] ; [5.49112426 2.50887574],0
b2,1,0.727207,0.121692,[26 71] ; [2 4],[26.36893204 70.63106796] ; [1.63106796 4.36893204],0
b3,1,0.727207,0.121692,[26 71] ; [2 4],[26.36893204 70.63106796] ; [1.63106796 4.36893204],0
p7,1,0.731152,0.118056,[89 69] ; [5 3],[89.46987952 68.53012048] ; [4.53012048 3.46987952],0
n1,1,0.753751,0.098406,[20 27] ; [1 2],[19.74 27.26] ; [1.26 1.74],0
s5,1,0.760901,0.092597,[ 37 120] ; [2 5],[ 37.33536585 119.66463415] ; [1.66463415 5.33536585],0
p5,1,0.768871,0.086349,[ 15 145] ; [1 7],[ 15.23809524 144.76190476] ; [0.76190476 7.23809524],0
p11,1,0.787138,0.072915,[115  48] ; [6 2],[115.33918129  47.66081871] ; [5.66081871 2.33918129],0
v2,1,0.792501,0.069203,[65 89] ; [3 5],[64.64197531 89.35802469] ; [3.35802469 4.64197531],0
r4,1,0.827259,0.047619,[138  25] ; [7 1],[138.21637427  24.78362573] ; [6.78362573 1.21637427],0
p10,1,0.852322,0.034654,[113  44] ; [6 2],[113.23030303  43.76969697] ; [5.76969697 2.23030303],0
r3,1,0.898125,0.016392,[140  23] ; [7 1],[140.12280702  22.87719298] ; [6.87719298 1.12280702],0
b1,1,0.947975,0.004258,[ 63 100] ; [3 5],[ 62.9122807 100.0877193] ; [3.0877193 4.9122807],0
s3,1,0.957948,0.00278,[77 80] ; [4 4],[77.07272727 79.92727273] ; [3.92727273 4.07272727],0
p9,1,0.983974,0.000403,[118  40] ; [6 2],[118.02409639  39.97590361] ; [5.97590361 2.02409639],0
