Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,61.984139,[ 37 140] ; [146 100],[ 76.57446809 100.42553191] ; [106.42553191 139.57446809],1
v1,1,1e-06,25.052409,[77 99] ; [167  78],[102.00475059  73.99524941] ; [141.99524941 103.00475059],1
a5,1,0.000561,11.901575,[121  60] ; [205  47],[136.27251732  44.72748268] ; [189.72748268  62.27251732],1
d1,1,0.002646,9.036472,[102  79] ; [178  75],[116.77419355  64.22580645] ; [163.22580645  89.77419355],0
s4,1,0.003828,8.363485,[ 56 121] ; [ 49 203],[ 43.32167832 133.67832168] ; [ 61.67832168 190.32167832],0
d5,1,0.010744,6.507218,[138  40] ; [219  33],[147.78139535  30.21860465] ; [209.21860465  42.78139535],0
d4,1,0.011206,6.432276,[146  33] ; [226  25],[154.85581395  24.14418605] ; [217.14418605  33.85581395],0
r1,1,0.012003,6.310415,[139  41] ; [218  34],[148.75  31.25] ; [208.25  43.75],0
s8,1,0.013552,6.095574,[100  81] ; [168  83],[112.28703704  68.71296296] ; [155.71296296  95.28703704],0
p12,1,0.025435,4.994003,[ 13 168] ; [ 35 214],[ 20.20465116 160.79534884] ; [ 27.79534884 221.20465116],0
b1,1,0.038221,4.295175,[83 98] ; [ 91 162],[ 72.56682028 108.43317972] ; [101.43317972 151.56682028],0
u1,1,0.038877,4.266254,[ 32 149] ; [ 66 187],[ 40.87096774 140.12903226] ; [ 57.12903226 195.87096774],0
d2,1,0.042248,4.125237,[84 96] ; [142 109],[94.38515081 85.61484919] ; [131.61484919 119.38515081],0
s7,1,0.045797,3.989057,[114  59] ; [182  61],[123.09615385  49.90384615] ; [172.90384615  70.09615385],0
s1,1,0.09142,2.849183,[ 12 167] ; [  8 241],[  8.36448598 170.63551402] ; [ 11.63551402 237.36448598],0
p7,1,0.107984,2.583483,[111  65] ; [170  71],[118.59952038  57.40047962] ; [162.40047962  78.59952038],0
r3,1,0.142672,2.1489,[171   9] ; [246   6],[173.75   6.25] ; [243.25   8.75],0
b4,1,0.152512,2.046941,[97 84] ; [153 100],[104.26267281  76.73732719] ; [145.73732719 107.26267281],0
a3,1,0.155208,2.020306,[129  52] ; [194  57],[135.33101852  45.66898148] ; [187.66898148  63.33101852],0
a8,1,0.215082,1.536883,[ 23 148] ; [ 41 186],[ 27.49748744 143.50251256] ; [ 36.50251256 190.49748744],0
