Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,312.971823,[ 82 268] ; [314  36],[198. 152.] ; [198. 152.],1
s6,1,0.0,125.880894,[162 185] ; [302  46],[231.66618705 115.33381295] ; [232.33381295 115.66618705],1
s7,1,0.0,118.550122,[ 93 243] ; [240 106],[164.05865103 171.94134897] ; [168.94134897 177.05865103],1
s8,1,0.0,91.600297,[ 96 257] ; [222 130],[159.22553191 193.77446809] ; [158.77446809 193.22553191],1
s5,1,0.0,67.842436,[ 63 281] ; [163 177],[113.66081871 230.33918129] ; [112.33918129 227.66081871],1
s4,1,2e-06,22.657422,[ 31 319] ; [ 76 272],[ 53.65329513 296.34670487] ; [ 53.34670487 294.65329513],1
d1,1,2.7e-05,17.649386,[181 173] ; [236 118],[208.5 145.5] ; [208.5 145.5],1
p12,1,0.000148,14.399489,[ 17 331] ; [ 46 305],[ 31.36480687 316.63519313] ; [ 31.63519313 319.36480687],1
d4,1,0.000376,12.649002,[276  78] ; [309  42],[293.74468085  60.25531915] ; [291.25531915  59.74468085],1
n5,1,0.000443,12.342938,[248 102] ; [289  63],[267.73504274  82.26495726] ; [269.26495726  82.73504274],1
p6,1,0.000817,11.202093,[108 238] ; [151 196],[129.31313131 216.68686869] ; [129.68686869 217.31313131],1
a2,1,0.001156,10.558895,[ 61 293] ; [ 97 257],[ 79. 275.] ; [ 79. 275.],0
p10,1,0.001171,10.535314,[286  62] ; [318  33],[300.70386266  47.29613734] ; [303.29613734  47.70386266],0
p4,1,0.001658,9.894421,[194 157] ; [234 116],[214.30527817 136.69472183] ; [213.69472183 136.30527817],0
u1,1,0.002105,9.455743,[ 46 308] ; [ 77 277],[ 61.5 292.5] ; [ 61.5 292.5],0
a3,1,0.004086,8.245363,[236 118] ; [269  83],[253.21529745 100.78470255] ; [251.78470255 100.21529745],0
d2,1,0.007418,7.168809,[147 206] ; [182 170],[164.73333333 188.26666667] ; [164.26666667 187.73333333],0
p3,1,0.011392,6.403187,[164 189] ; [196 154],[180.76813656 172.23186344] ; [179.23186344 170.76813656],0
v1,1,0.014735,5.947837,[174 171] ; [203 137],[189.87591241 155.12408759] ; [187.12408759 152.87591241],0
p7,1,0.015978,5.805323,[218 130] ; [241  97],[232.84548105 115.15451895] ; [226.15451895 111.84548105],0
u3,1,0.021682,5.271136,[61 56] ; [58 27],[68.92574257 48.07425743] ; [50.07425743 34.92574257],0
