Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.001225,10.451556,[23 54] ; [16  8],[29.73267327 47.26732673] ; [ 9.26732673 14.73267327],0
p10,1,0.003738,8.407078,[66 10] ; [13  9],[61.26530612 14.73469388] ; [17.73469388  4.26530612],0
a8,1,0.048981,3.876001,[ 8 64] ; [ 6 15],[10.83870968 61.16129032] ; [ 3.16129032 17.83870968],0
p9,1,0.050616,3.82095,[67 10] ; [16  7],[63.91 13.09] ; [19.09  3.91],0
p1,1,0.120583,2.409726,[ 7 70] ; [ 5 19],[ 9.14851485 67.85148515] ; [ 2.85148515 21.14851485],0
v4,1,0.124035,2.365622,[73  3] ; [21  3],[71.44  4.56] ; [22.56  1.44],0
p4,1,0.137555,2.205097,[38 39] ; [16  8],[41.16831683 35.83168317] ; [12.83168317 11.16831683],0
u2,1,0.137633,2.204229,[22 16] ; [4 8],[19.76 18.24] ; [6.24 5.76],0
b3,1,0.179101,1.805071,[11 36] ; [ 1 13],[ 9.24590164 37.75409836] ; [ 2.75409836 11.24590164],0
b2,1,0.179101,1.805071,[11 36] ; [ 1 13],[ 9.24590164 37.75409836] ; [ 2.75409836 11.24590164],0
p3,1,0.205258,1.604563,[37 40] ; [ 8 16],[34.30693069 42.69306931] ; [10.69306931 13.30693069],0
p8,1,0.218666,1.513106,[38 39] ; [ 8 15],[35.42 41.58] ; [10.58 12.42],0
b4,1,0.230249,1.439323,[46 31] ; [11 13],[43.45544554 33.54455446] ; [13.54455446 10.45544554],0
a7,1,0.231155,1.433741,[44 33] ; [17  7],[46.5049505 30.4950495] ; [14.4950495  9.5049505],0
s2,1,0.260889,1.264032,[37 38] ; [15  9],[39.39393939 35.60606061] ; [12.60606061 11.39393939],0
r1,1,0.274081,1.196205,[58 18] ; [20  3],[59.87878788 16.12121212] ; [18.12121212  4.87878788],0
s7,1,0.283437,1.150534,[38 37] ; [14  8],[40.20618557 34.79381443] ; [11.79381443 10.20618557],0
n6,1,0.292613,1.10756,[65 12] ; [18  6],[63.27722772 13.72277228] ; [19.72277228  4.27722772],0
n1,1,0.383666,0.758924,[7 9] ; [3 8],[ 5.92592593 10.07407407] ; [4.07407407 6.92592593],0
u3,1,0.393177,0.729095,[20 18] ; [8 4],[21.28 16.72] ; [6.72 5.28],0
n5,1,0.405587,0.6917,[63 14] ; [17  6],[61.6 15.4] ; [18.4  4.6],0
d2,1,0.413995,0.667299,[19 58] ; [ 4 20],[17.53465347 59.46534653] ; [ 5.46534653 18.53465347],0
s3,1,0.447817,0.576172,[45 29] ; [16  7],[46.53608247 27.46391753] ; [14.46391753  8.53608247],0
a5,1,0.492574,0.470898,[42 35] ; [15  9],[43.45544554 33.54455446] ; [13.54455446 10.45544554],0
n4,1,0.492737,0.470544,[59 18] ; [16  7],[57.75 19.25] ; [17.25  5.75],0
d5,1,0.510428,0.433191,[39 38] ; [14 10],[40.40594059 36.59405941] ; [12.59405941 11.40594059],0
p2,1,0.566053,0.329332,[59 18] ; [17  7],[57.94059406 19.05940594] ; [18.05940594  5.94059406],0
s4,1,0.588688,0.292398,[20 56] ; [ 5 19],[19. 57.] ; [ 6. 18.],0
n2,1,0.600698,0.273945,[13  3] ; [8 3],[12.44444444  3.55555556] ; [8.55555556 2.44444444],0
n3,1,0.600698,0.273945,[13  3] ; [8 3],[12.44444444  3.55555556] ; [8.55555556 2.44444444],0
a6,1,0.639609,0.219254,[49 28] ; [14 10],[48.02970297 28.97029703] ; [14.97029703  9.02970297],0
a4,1,0.701589,0.146824,[16 60] ; [ 4 19],[15.35353535 60.64646465] ; [ 4.64646465 18.35353535],0
v3,1,0.707149,0.141142,[26 49] ; [ 7 16],[25.25510204 49.74489796] ; [ 7.74489796 15.25510204],0
b5,1,0.711518,0.136766,[45 32] ; [13 11],[44.21782178 32.78217822] ; [13.78217822 10.21782178],0
p6,1,0.725691,0.123105,[23 54] ; [ 6 17],[22.33 54.67] ; [ 6.67 16.33],0
s1,1,0.740996,0.109253,[ 5 70] ; [ 2 21],[ 5.35714286 69.64285714] ; [ 1.64285714 21.35714286],0
p7,1,0.799671,0.0644,[44 32] ; [14  9],[44.52525253 31.47474747] ; [13.47474747  9.52525253],0
s5,1,0.803399,0.061976,[24 51] ; [ 8 15],[24.48979592 50.51020408] ; [ 7.51020408 15.48979592],0
a3,1,0.897878,0.016472,[39 38] ; [12 11],[39.27 37.73] ; [11.73 11.27],0
r3,1,0.931698,0.007346,[71  6] ; [22  2],[70.9009901  6.0990099] ; [22.0990099  1.9009901],0
a2,1,0.931698,0.007346,[ 6 71] ; [ 2 22],[ 6.0990099 70.9009901] ; [ 1.9009901 22.0990099],0
v2,1,0.935263,0.006597,[32 40] ; [10 13],[31.83157895 40.16842105] ; [10.16842105 12.83157895],0
r2,1,0.944953,0.004767,[70  6] ; [22  2],[69.92  6.08] ; [22.08  1.92],0
d3,1,0.947496,0.004336,[23 54] ; [ 7 17],[22.87128713 54.12871287] ; [ 7.12871287 16.87128713],0
v1,1,0.94958,0.003999,[34 39] ; [11 13],[33.86597938 39.13402062] ; [11.13402062 12.86597938],0
r4,1,0.950398,0.00387,[67 10] ; [21  3],[67.08910891  9.91089109] ; [20.91089109  3.08910891],0
s8,1,0.955697,0.003086,[38 39] ; [12 12],[38.11881188 38.88118812] ; [11.88118812 12.11881188],0
p5,1,0.994362,5e-05,[10 67] ; [ 3 20],[10.01 66.99] ; [ 2.99 20.01],0
