Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,23.183619,[100   9] ; [70 38],[85.39170507 23.60829493] ; [84.60829493 23.39170507],1
p8,1,0.000495,12.132734,[89 20] ; [65 43],[77.35483871 31.64516129] ; [76.64516129 31.35483871],1
p9,1,0.000729,11.413419,[106   4] ; [88 19],[98.34101382 11.65898618] ; [95.65898618 11.34101382],1
p5,1,0.003027,8.791362,[35 75] ; [16 92],[25.73394495 84.26605505] ; [25.26605505 82.73394495],0
n4,1,0.006452,7.419546,[103   7] ; [88 20],[96.37614679 13.62385321] ; [94.62385321 13.37614679],0
p12,1,0.008165,6.997023,[26 84] ; [11 97],[18.66972477 91.33027523] ; [18.33027523 89.66972477],0
a1,1,0.010494,6.549034,[13 97] ; [  3 105],[  8.0733945 101.9266055] ; [  7.9266055 100.0733945],0
s7,1,0.014862,5.93273,[74 29] ; [56 45],[65.6372549 37.3627451] ; [64.3627451 36.6372549],0
p10,1,0.015841,5.820471,[103   7] ; [89 18],[97.32718894 12.67281106] ; [94.67281106 12.32718894],0
p3,1,0.017825,5.613293,[88 22] ; [71 37],[80.2293578 29.7706422] ; [78.7706422 29.2293578],0
s8,1,0.048848,3.880554,[70 39] ; [54 52],[62.86511628 46.13488372] ; [61.13488372 44.86511628],0
n5,1,0.089408,2.885003,[100  10] ; [89 18],[95.80645161 14.19354839] ; [93.19354839 13.80645161],0
p1,1,0.110965,2.540419,[18 91] ; [10 98],[14.06451613 94.93548387] ; [13.93548387 94.06451613],0
b4,1,0.135714,2.225895,[71 39] ; [59 49],[65.59633028 44.40366972] ; [64.40366972 43.59633028],0
n1,1,0.156646,2.00631,[9 8] ; [ 6 14],[ 6.89189189 10.10810811] ; [ 8.10810811 11.89189189],0
s4,1,0.164897,1.928737,[17 92] ; [10 97],[13.625 95.375] ; [13.375 93.625],0
a6,1,0.166075,1.918017,[72 38] ; [80 28],[76.69724771 33.30275229] ; [75.30275229 32.69724771],0
r1,1,0.172867,1.857906,[93 17] ; [97 10],[96.31336406 13.68663594] ; [93.68663594 13.31336406],0
s5,1,0.175747,1.833227,[52 52] ; [44 64],[47.09433962 56.90566038] ; [48.90566038 59.09433962],0
p2,1,0.214053,1.543802,[103   7] ; [96 12],[100.41284404   9.58715596] ; [98.58715596  9.41284404],0
b2,1,0.233589,1.418875,[34 37] ; [29 47],[30.42857143 40.57142857] ; [32.57142857 43.42857143],0
b3,1,0.233589,1.418875,[34 37] ; [29 47],[30.42857143 40.57142857] ; [32.57142857 43.42857143],0
d5,1,0.234491,1.413411,[92 17] ; [97 11],[94.93548387 14.06451613] ; [94.06451613 13.93548387],0
p11,1,0.248199,1.333412,[95 15] ; [87 21],[91.83486239 18.16513761] ; [90.16513761 17.83486239],0
a8,1,0.261528,1.26065,[16 82] ; [10 83],[13.34031414 84.65968586] ; [12.65968586 80.34031414],0
n2,1,0.288581,1.12623,[12  5] ; [17  3],[13.32432432  3.67567568] ; [15.67567568  4.32432432],0
r2,1,0.371989,0.79701,[104   5] ; [99  8],[102.43981481   6.56018519] ; [100.56018519   6.43981481],0
v1,1,0.434092,0.61185,[84 26] ; [76 30],[81.48148148 28.51851852] ; [78.51851852 27.48148148],0
s3,1,0.439196,0.598382,[64 44] ; [67 37],[66.73584906 41.26415094] ; [64.26415094 39.73584906],0
n6,1,0.445483,0.582119,[101   8] ; [96 11],[99.41203704  9.58796296] ; [97.58796296  9.41203704],0
u1,1,0.476033,0.507938,[29 81] ; [24 84],[26.74311927 83.25688073] ; [26.25688073 81.74311927],0
n3,1,0.49478,0.466115,[11  6] ; [15  5],[11.94594595  5.05405405] ; [14.05405405  5.94594595],0
a2,1,0.497177,0.460957,[31 79] ; [35 73],[33.30275229 76.69724771] ; [32.69724771 75.30275229],0
a5,1,0.543928,0.368307,[86 24] ; [88 20],[87.79816514 22.20183486] ; [86.20183486 21.79816514],0
b1,1,0.554367,0.349552,[44 66] ; [39 69],[41.88073394 68.11926606] ; [41.11926606 66.88073394],0
b5,1,0.575364,0.31379,[59 51] ; [62 46],[61.05504587 48.94495413] ; [59.94495413 48.05504587],0
a3,1,0.596043,0.281005,[87 22] ; [83 25],[85.39170507 23.60829493] ; [84.60829493 23.39170507],0
