Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,34.932137,[103  21] ; [ 6 18],[91.32432432 32.67567568] ; [17.67567568  6.32432432],1
r3,1,0.0,27.283634,[102  20] ; [ 8 16],[91.91780822 30.08219178] ; [18.08219178  5.91780822],1
n6,1,3e-06,21.842976,[104  20] ; [ 9 14],[95.31972789 28.68027211] ; [17.68027211  5.31972789],1
s6,1,6e-06,20.390077,[82 39] ; [ 4 19],[72.26388889 48.73611111] ; [13.73611111  9.26388889],1
r1,1,7e-06,20.132389,[96 26] ; [ 8 16],[86.90410959 35.09589041] ; [17.09589041  6.90410959],1
r2,1,9e-06,19.786503,[116   6] ; [15  8],[110.22068966  11.77931034] ; [20.77931034  2.22068966],1
p2,1,7.1e-05,15.7757,[88 35] ; [ 7 17],[79.48979592 43.51020408] ; [15.51020408  8.48979592],1
a1,1,0.000313,12.989488,[  7 117] ; [ 7 17],[ 11.72972973 112.27027027] ; [ 2.27027027 21.72972973],1
d4,1,0.000618,11.721789,[94 29] ; [10 14],[87.02040816 35.97959184] ; [16.97959184  7.02040816],1
d5,1,0.000801,11.238849,[97 26] ; [11 13],[90.36734694 32.63265306] ; [17.63265306  6.36734694],1
p9,1,0.000998,10.83198,[84 35] ; [ 8 15],[77.09859155 41.90140845] ; [14.90140845  8.09859155],1
s8,1,0.00103,10.773335,[54 69] ; [ 2 22],[46.85714286 76.14285714] ; [ 9.14285714 14.85714286],0
p10,1,0.002141,9.424474,[73 47] ; [ 6 17],[66.29370629 53.70629371] ; [12.70629371 10.29370629],0
n3,1,0.003136,8.72673,[31 14] ; [ 3 10],[26.37931034 18.62068966] ; [7.62068966 5.37931034],0
d3,1,0.003172,8.705929,[80 42] ; [ 8 16],[73.53424658 48.46575342] ; [14.46575342  9.53424658],0
s7,1,0.003413,8.572236,[60 55] ; [ 4 18],[53.72262774 61.27737226] ; [10.27737226 11.72262774],0
p7,1,0.004063,8.255556,[63 56] ; [ 5 19],[56.58741259 62.41258741] ; [11.41258741 12.58741259],0
n2,1,0.005052,7.86065,[37 10] ; [5 8],[32.9 14.1] ; [9.1 3.9],0
p4,1,0.007042,7.262212,[62 60] ; [ 5 19],[55.98630137 66.01369863] ; [11.01369863 12.98630137],0
s2,1,0.009565,6.714094,[61 62] ; [ 5 19],[55.2244898 67.7755102] ; [10.7755102 13.2244898],0
v2,1,0.013152,6.148539,[55 67] ; [ 4 19],[49.64137931 72.35862069] ; [ 9.35862069 13.64137931],0
d1,1,0.016837,5.713293,[64 60] ; [ 6 18],[58.64864865 65.35135135] ; [11.35135135 12.64864865],0
b5,1,0.019036,5.498178,[83 41] ; [10 14],[77.91891892 46.08108108] ; [15.08108108  8.91891892],0
v1,1,0.029291,4.750441,[61 63] ; [ 6 18],[56.13513514 67.86486486] ; [10.86486486 13.13513514],0
p3,1,0.03058,4.676376,[49 74] ; [ 4 20],[44.34693878 78.65306122] ; [ 8.65306122 15.34693878],0
a5,1,0.032871,4.552475,[85 39] ; [11 13],[80.43243243 43.56756757] ; [15.56756757  8.43243243],0
p6,1,0.033936,4.497944,[43 78] ; [ 3 20],[38.65277778 82.34722222] ; [ 7.34722222 15.65277778],0
u3,1,0.034877,4.451201,[19 18] ; [ 2 10],[15.85714286 21.14285714] ; [5.14285714 6.85714286],0
u2,1,0.047968,3.911111,[14 22] ; [ 1 11],[11.25 24.75] ; [3.75 8.25],0
a7,1,0.054719,3.690626,[87 37] ; [12 12],[82.94594595 41.05405405] ; [16.05405405  7.94594595],0
s5,1,0.054936,3.684041,[39 79] ; [ 3 20],[35.14893617 82.85106383] ; [ 6.85106383 16.14893617],0
a4,1,0.061623,3.493161,[58 65] ; [ 6 17],[53.91780822 69.08219178] ; [10.08219178 12.91780822],0
a3,1,0.070464,3.27217,[87 35] ; [12 11],[83.29655172 38.70344828] ; [15.70344828  7.29655172],0
v3,1,0.141735,2.159022,[44 77] ; [ 5 19],[40.88965517 80.11034483] ; [ 8.11034483 15.88965517],0
a2,1,0.160252,1.971845,[32 92] ; [ 3 21],[29.32432432 94.67567568] ; [ 5.67567568 18.32432432],0
s3,1,0.169015,1.891659,[65 58] ; [ 9 15],[61.91836735 61.08163265] ; [12.08163265 11.91836735],0
s1,1,0.235656,1.406393,[  7 114] ; [ 3 21],[  8.34482759 112.65517241] ; [ 1.65517241 22.34482759],0
p1,1,0.246731,1.34172,[ 11 113] ; [ 4 20],[ 12.56756757 111.43243243] ; [ 2.43243243 21.56756757],0
s4,1,0.281004,1.162227,[ 21 102] ; [ 2 22],[ 19.24489796 103.75510204] ; [ 3.75510204 20.24489796],0
p5,1,0.303215,1.06,[ 14 108] ; [ 1 22],[ 12.62068966 109.37931034] ; [ 2.37931034 20.62068966],0
n4,1,0.319372,0.991517,[103  20] ; [22  2],[104.59183673  18.40816327] ; [20.40816327  3.59183673],0
b1,1,0.403439,0.698051,[66 58] ; [15  9],[67.86486486 56.13513514] ; [13.13513514 10.86486486],0
d2,1,0.49554,0.464475,[63 60] ; [10 13],[61.5 61.5] ; [11.5 11.5],0
a8,1,0.544827,0.366667,[17 91] ; [ 5 19],[18. 90.] ; [ 4. 20.],0
b4,1,0.554603,0.349136,[65 59] ; [11 13],[63.67567568 60.32432432] ; [12.32432432 11.67567568],0
a6,1,0.637364,0.222206,[73 50] ; [13 11],[71.95918367 51.04081633] ; [14.04081633  9.95918367],0
b2,1,0.714508,0.133816,[24 42] ; [ 7 10],[24.65060241 41.34939759] ; [ 6.34939759 10.65060241],0
b3,1,0.714508,0.133816,[24 42] ; [ 7 10],[24.65060241 41.34939759] ; [ 6.34939759 10.65060241],0
p12,1,0.82111,0.051129,[  4 119] ; [ 1 23],[  4.18367347 118.81632653] ; [ 0.81632653 23.18367347],0
n1,1,0.973953,0.001066,[24 21] ; [7 6],[24.05172414 20.94827586] ; [6.94827586 6.05172414],0
