Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.000581,11.836885,[96 28] ; [12 15],[88.68874172 35.31125828] ; [19.31125828  7.68874172],1
r4,1,0.000993,10.841327,[117   7] ; [20  7],[112.50331126  11.49668874] ; [24.49668874  2.50331126],1
s2,1,0.003701,8.424847,[87 37] ; [11 16],[80.47682119 43.52317881] ; [17.52317881  9.47682119],0
r1,1,0.004116,8.231955,[104  20] ; [16 11],[98.54304636 25.45695364] ; [21.45695364  5.54304636],0
r3,1,0.006088,7.524123,[119   5] ; [22  5],[115.78807947   8.21192053] ; [25.21192053  1.78807947],0
d5,1,0.00944,6.737558,[105  19] ; [17 10],[100.18543046  23.81456954] ; [21.81456954  5.18543046],0
s5,1,0.018874,5.513111,[45 76] ; [ 3 21],[40.05517241 80.94482759] ; [ 7.94482759 16.05517241],0
a6,1,0.028402,4.803483,[87 37] ; [13 14],[82.1192053 41.8807947] ; [17.8807947  9.1192053],0
p4,1,0.052737,3.752237,[80 44] ; [12 15],[75.54966887 48.45033113] ; [16.45033113 10.54966887],0
b5,1,0.061012,3.50966,[66 58] ; [ 9 18],[61.58940397 62.41059603] ; [13.41059603 13.58940397],0
s4,1,0.09728,2.749583,[32 91] ; [ 3 24],[28.7 94.3] ; [ 6.3 20.7],0
p9,1,0.115649,2.475273,[107  17] ; [20  7],[104.29139073  19.70860927] ; [22.70860927  4.29139073],0
p10,1,0.148331,2.089333,[106  18] ; [20  7],[103.47019868  20.52980132] ; [22.52980132  4.47019868],0
a3,1,0.149082,2.08162,[89 35] ; [23  4],[91.97350993 32.02649007] ; [20.02649007  6.97350993],0
b1,1,0.15968,1.977252,[55 69] ; [ 8 19],[51.73509934 72.26490066] ; [11.26490066 15.73509934],0
p7,1,0.165599,1.92234,[80 44] ; [13 13],[76.88 47.12] ; [16.12  9.88],0
d3,1,0.195804,1.6734,[85 39] ; [15 12],[82.1192053 41.8807947] ; [17.8807947  9.1192053],0
s7,1,0.230367,1.438594,[90 29] ; [16  9],[87.59722222 31.40277778] ; [18.40277778  6.59722222],0
b2,1,0.240719,1.376377,[24 49] ; [ 9 10],[26.18478261 46.81521739] ; [ 6.81521739 12.18478261],0
b3,1,0.240719,1.376377,[24 49] ; [ 9 10],[26.18478261 46.81521739] ; [ 6.81521739 12.18478261],0
d4,1,0.27604,1.186483,[103  21] ; [20  7],[101.00662252  22.99337748] ; [21.99337748  5.00662252],0
d1,1,0.298915,1.079028,[82 42] ; [15 12],[79.65562914 44.34437086] ; [17.34437086  9.65562914],0
n2,1,0.3017,1.066667,[21 15] ; [9 3],[22.5 13.5] ; [7.5 4.5],0
