Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.028434,4.801587,[2 4] ; [19  5],[4.2 1.8] ; [16.8  7.2],0
a3,1,0.052808,3.75,[2 4] ; [18  6],[4. 2.] ; [16.  8.],0
v1,1,0.065436,3.393939,[1 5] ; [13  9],[3. 3.] ; [11. 11.],0
p8,1,0.067889,3.333333,[5 1] ; [10 14],[3. 3.] ; [12. 12.],0
a5,1,0.088212,2.906699,[2 4] ; [17  7],[3.8 2.2] ; [15.2  8.8],0
p9,1,0.119088,2.429275,[4 2] ; [21  2],[5.17241379 0.82758621] ; [19.82758621  3.17241379],0
n4,1,0.231998,1.428571,[3 3] ; [18  6],[4.2 1.8] ; [16.8  7.2],0
p7,1,0.254478,1.298551,[4 1] ; [12 11],[2.85714286 2.14285714] ; [13.14285714  9.85714286],0
p4,1,0.255704,1.291866,[5 1] ; [14 10],[3.8 2.2] ; [15.2  8.8],0
s6,1,0.259509,1.271377,[3 3] ; [17  6],[4.13793103 1.86206897] ; [15.86206897  7.13793103],0
p10,1,0.264145,1.246904,[4 2] ; [19  3],[4.92857143 1.07142857] ; [18.07142857  3.92857143],0
s1,1,0.272254,1.205357,[1 5] ; [ 1 23],[0.4 5.6] ; [ 1.6 22.4],0
u1,1,0.272254,1.205357,[1 5] ; [ 1 23],[0.4 5.6] ; [ 1.6 22.4],0
v2,1,0.272254,1.205357,[2 4] ; [14 10],[3.2 2.8] ; [12.8 11.2],0
b4,1,0.272254,1.205357,[2 4] ; [14 10],[3.2 2.8] ; [12.8 11.2],0
s2,1,0.302557,1.062891,[5 1] ; [14  9],[3.93103448 2.06896552] ; [15.06896552  7.93103448],0
s3,1,0.359809,0.838561,[5 1] ; [14  8],[4.07142857 1.92857143] ; [14.92857143  7.07142857],0
a7,1,0.36131,0.833333,[4 2] ; [11 13],[3. 3.] ; [12. 12.],0
n5,1,0.390614,0.73703,[4 2] ; [19  4],[4.75862069 1.24137931] ; [18.24137931  4.75862069],0
u3,1,0.429195,0.625,[3 1] ; [3 3],[2.4 1.6] ; [3.6 2.4],0
d1,1,0.464214,0.535714,[2 4] ; [12 12],[2.8 3.2] ; [11.2 12.8],0
r3,1,0.517309,0.419255,[4 2] ; [19  5],[4.6 1.4] ; [18.4  5.6],0
p3,1,0.57615,0.3125,[3 3] ; [ 9 15],[2.4 3.6] ; [ 9.6 14.4],0
b1,1,0.580498,0.30543,[2 4] ; [11 13],[2.6 3.4] ; [10.4 13.6],0
b5,1,0.580498,0.30543,[4 2] ; [13 11],[3.4 2.6] ; [13.6 10.4],0
d2,1,0.580498,0.30543,[2 4] ; [11 13],[2.6 3.4] ; [10.4 13.6],0
v4,1,0.594853,0.282828,[5 1] ; [16  6],[4.5 1.5] ; [16.5  5.5],0
p6,1,0.630209,0.231777,[3 3] ; [ 9 14],[2.48275862 3.51724138] ; [ 9.51724138 13.48275862],0
b2,1,0.656005,0.198413,[1 4] ; [ 6 14],[1.4 3.6] ; [ 5.6 14.4],0
b3,1,0.656005,0.198413,[1 4] ; [ 6 14],[1.4 3.6] ; [ 5.6 14.4],0
a4,1,0.709388,0.138889,[2 4] ; [10 14],[2.4 3.6] ; [ 9.6 14.4],0
n6,1,0.723582,0.125086,[4 2] ; [17  6],[4.34482759 1.65517241] ; [16.65517241  6.34482759],0
r2,1,0.758742,0.094331,[3 2] ; [11 10],[2.69230769 2.30769231] ; [11.30769231  9.69230769],0
a2,1,0.788281,0.072115,[1 5] ; [ 3 21],[0.8 5.2] ; [ 3.2 20.8],0
p11,1,0.819477,0.052083,[5 1] ; [19  5],[4.8 1.2] ; [19.2  4.8],0
d4,1,0.819477,0.052083,[5 1] ; [19  5],[4.8 1.2] ; [19.2  4.8],0
a6,1,0.854813,0.033482,[3 3] ; [11 13],[2.8 3.2] ; [11.2 12.8],0
s7,1,0.96662,0.001751,[5 1] ; [19  4],[4.96551724 1.03448276] ; [19.03448276  3.96551724],0
d3,1,1.0,0.0,[3 3] ; [12 12],[3. 3.] ; [12. 12.],0
u2,1,1.0,0.0,[2 2] ; [3 3],[2. 2.] ; [3. 3.],0
p2,1,1.0,0.0,[5 1] ; [20  4],[5. 1.] ; [20.  4.],0
