Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,6e-06,20.438414,[ 5 49] ; [14 11],[12.98734177 41.01265823] ; [ 6.01265823 18.98734177],1
p10,1,0.00049,12.154908,[11 43] ; [15 10],[17.7721519 36.2278481] ; [ 8.2278481 16.7721519],1
s2,1,0.005324,7.766016,[17 38] ; [16  9],[22.6875 32.3125] ; [10.3125 14.6875],0
p11,1,0.013823,6.060606,[28 27] ; [20  5],[33. 22.] ; [15. 10.],0
p4,1,0.018536,5.544771,[24 31] ; [18  7],[28.875 26.125] ; [13.125 11.875],0
v3,1,0.025858,4.965517,[11 44] ; [11 14],[15.125 39.875] ; [ 6.875 18.125],0
s3,1,0.027297,4.87195,[25 30] ; [18  7],[29.5625 25.4375] ; [13.4375 11.5625],0
d5,1,0.029273,4.751515,[30 25] ; [20  5],[34.375 20.625] ; [15.625  9.375],0
p2,1,0.036323,4.381875,[36 19] ; [22  3],[39.875 15.125] ; [18.125  6.875],0
b4,1,0.055551,3.665455,[27 28] ; [18  7],[30.9375 24.0625] ; [14.0625 10.9375],0
d2,1,0.055551,3.665455,[28 27] ; [ 7 18],[24.0625 30.9375] ; [10.9375 14.0625],0
b3,1,0.06951,3.29456,[ 3 23] ; [ 7 14],[ 5.53191489 20.46808511] ; [ 4.46808511 16.53191489],0
b2,1,0.06951,3.29456,[ 3 23] ; [ 7 14],[ 5.53191489 20.46808511] ; [ 4.46808511 16.53191489],0
a8,1,0.070506,3.271197,[ 4 48] ; [ 5 17],[ 6.32432432 45.67567568] ; [ 2.67567568 19.32432432],0
n1,1,0.073691,3.198832,[ 5 11] ; [5 2],[6.95652174 9.04347826] ; [3.04347826 3.95652174],0
s4,1,0.078383,3.098117,[ 5 49] ; [ 6 19],[ 7.51898734 46.48101266] ; [ 3.48101266 21.51898734],0
s6,1,0.105896,2.614427,[24 30] ; [16  9],[27.34177215 26.65822785] ; [12.65822785 12.34177215],0
v2,1,0.113372,2.506581,[20 34] ; [14 11],[23.24050633 30.75949367] ; [10.75949367 14.24050633],0
d3,1,0.115082,2.483012,[27 28] ; [17  8],[30.25 24.75] ; [13.75 11.25],0
u1,1,0.121811,2.39388,[ 3 52] ; [ 4 21],[ 4.8125 50.1875] ; [ 2.1875 22.8125],0
n4,1,0.139649,2.181818,[30 25] ; [18  7],[33. 22.] ; [15. 10.],0
a7,1,0.139649,2.181818,[30 25] ; [18  7],[33. 22.] ; [15. 10.],0
n5,1,0.153204,2.040058,[28 27] ; [17  8],[30.9375 24.0625] ; [14.0625 10.9375],0
r2,1,0.16648,1.914355,[47  8] ; [24  1],[48.8125  6.1875] ; [22.1875  2.8125],0
v4,1,0.2278,1.454545,[48  7] ; [24  1],[49.5  5.5] ; [22.5  2.5],0
d4,1,0.273798,1.197617,[35 20] ; [19  6],[37.125 17.875] ; [16.875  8.125],0
p6,1,0.279317,1.170411,[17 37] ; [11 14],[19.13924051 34.86075949] ; [ 8.86075949 16.13924051],0
u2,1,0.283232,1.151515,[12 15] ; [7 4],[13.5 13.5] ; [5.5 5.5],0
u3,1,0.28809,1.128527,[13 16] ; [7 4],[14.5 14.5] ; [5.5 5.5],0
r1,1,0.345571,0.889653,[36 19] ; [19  6],[37.8125 17.1875] ; [17.1875  7.8125],0
s5,1,0.388747,0.742857,[ 9 45] ; [ 6 18],[10.38461538 43.61538462] ; [ 4.61538462 19.38461538],0
n6,1,0.401504,0.703818,[36 18] ; [19  6],[37.59493671 16.40506329] ; [17.40506329  7.59493671],0
p5,1,0.417909,0.656188,[ 2 52] ; [ 2 23],[ 2.73417722 51.26582278] ; [ 1.26582278 23.73417722],0
a6,1,0.449705,0.571396,[28 27] ; [15 10],[29.5625 25.4375] ; [13.4375 11.5625],0
a3,1,0.469295,0.523636,[26 29] ; [14 11],[27.5 27.5] ; [12.5 12.5],0
a2,1,0.487946,0.481053,[ 4 51] ; [ 3 22],[ 4.8125 50.1875] ; [ 2.1875 22.8125],0
p8,1,0.498836,0.457412,[28 26] ; [15 10],[29.39240506 24.60759494] ; [13.60759494 11.39240506],0
r3,1,0.535103,0.384692,[48  7] ; [23  2],[48.8125  6.1875] ; [22.1875  2.8125],0
a4,1,0.57627,0.312304,[12 42] ; [ 7 18],[12.98734177 41.01265823] ; [ 6.01265823 18.98734177],0
b5,1,0.622461,0.242424,[34 21] ; [14 11],[33. 22.] ; [15. 10.],0
d1,1,0.638067,0.22128,[19 36] ; [10 15],[19.9375 35.0625] ; [ 9.0625 15.9375],0
n3,1,0.68591,0.163549,[12  5] ; [5 3],[11.56  5.44] ; [5.44 2.56],0
b1,1,0.736222,0.113475,[33 22] ; [14 11],[32.3125 22.6875] ; [14.6875 10.3125],0
p1,1,0.782021,0.076555,[ 3 52] ; [ 1 24],[ 2.75 52.25] ; [ 1.25 23.75],0
r4,1,0.853807,0.033953,[43 12] ; [20  5],[43.3125 11.6875] ; [19.6875  5.3125],0
p3,1,0.854816,0.033481,[23 32] ; [11 14],[23.375 31.625] ; [10.625 14.375],0
a5,1,0.903523,0.014692,[30 25] ; [14 11],[30.25 24.75] ; [13.75 11.25],0
s1,1,0.926325,0.008551,[ 4 50] ; [ 2 23],[ 4.10126582 49.89873418] ; [ 1.89873418 23.10126582],0
v1,1,1.0,0.0,[22 33] ; [10 15],[22. 33.] ; [10. 15.],0
