Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,58.512264,[120 186] ; [239 107],[168.48773006 137.51226994] ; [190.51226994 155.48773006],1
v3,1,0.0,36.511198,[ 77 234] ; [164 181],[114.25457317 196.74542683] ; [126.74542683 218.25457317],1
n5,1,5e-06,20.827213,[203 109] ; [285  68],[228.95639098  83.04360902] ; [259.04360902  93.95639098],1
a5,1,4.7e-05,16.557255,[206 110] ; [282  74],[229.47619048  86.52380952] ; [258.52380952  97.47619048],1
p3,1,9e-05,15.34331,[124 191] ; [194 162],[149.28464978 165.71535022] ; [168.71535022 187.28464978],1
r1,1,0.0004,12.530642,[233  82] ; [300  53],[251.33982036  63.66017964] ; [281.66017964  71.33982036],1
n4,1,0.000712,11.458949,[220  95] ; [287  67],[238.72197309  76.27802691] ; [268.27802691  85.72197309],1
s8,1,0.001413,10.188677,[111 205] ; [167 186],[131.31240658 184.68759342] ; [146.68759342 206.31240658],0
a3,1,0.001592,9.968951,[204 112] ; [268  86],[222.61492537  93.38507463] ; [249.38507463 104.61492537],0
p4,1,0.002386,9.225671,[169 145] ; [232 123],[188.2122571 125.7877429] ; [212.7877429 142.2122571],0
p10,1,0.002903,8.867471,[240  74] ; [300  51],[254.97744361  59.02255639] ; [285.02255639  65.97744361],0
p6,1,0.003713,8.41892,[ 95 219] ; [143 205],[112.88821752 201.11178248] ; [125.11178248 222.88821752],0
p9,1,0.003748,8.402104,[252  61] ; [311  40],[265.39006024  47.60993976] ; [297.60993976  53.39006024],0
r2,1,0.004775,7.9626,[284  28] ; [339  13],[292.73493976  19.26506024] ; [330.26506024  21.73493976],0
a2,1,0.004777,7.962106,[ 61 255] ; [102 254],[ 76.64880952 239.35119048] ; [ 86.35119048 269.64880952],0
r4,1,0.005677,7.649948,[270  46] ; [328  28],[281.20238095  34.79761905] ; [316.79761905  39.20238095],0
d5,1,0.006316,7.457735,[243  72] ; [303  52],[256.70149254  58.29850746] ; [289.29850746  65.70149254],0
p8,1,0.008537,6.917161,[151 161] ; [204 144],[167.81818182 144.18181818] ; [187.18181818 160.81818182],0
d4,1,0.010716,6.511811,[243  71] ; [302  53],[255.79970105  58.20029895] ; [289.20029895  65.79970105],0
u1,1,0.011187,6.435338,[ 43 273] ; [ 75 281],[ 55.48809524 260.51190476] ; [ 62.51190476 293.48809524],0
b3,1,0.011378,6.405352,[ 47 121] ; [ 88 130],[ 58.75647668 109.24352332] ; [ 76.24352332 141.75647668],0
b2,1,0.011378,6.405352,[ 47 121] ; [ 88 130],[ 58.75647668 109.24352332] ; [ 76.24352332 141.75647668],0
s6,1,0.011433,6.396772,[187 125] ; [242 107],[202.49319213 109.50680787] ; [226.50680787 122.49319213],0
s4,1,0.016851,5.711809,[ 66 245] ; [ 50 303],[ 54.3313253 256.6686747] ; [ 61.6686747 291.3313253],0
a4,1,0.022832,5.181214,[125 191] ; [171 183],[139.60597015 176.39402985] ; [156.39402985 197.60597015],0
d1,1,0.028237,4.813549,[167 149] ; [218 138],[181.04166667 134.95833333] ; [203.95833333 152.04166667],0
s5,1,0.029046,4.76488,[ 80 227] ; [118 230],[ 92.80305344 214.19694656] ; [105.19694656 242.80305344],0
p12,1,0.034866,4.451705,[ 10 304] ; [ 24 330],[ 15.98203593 298.01796407] ; [ 18.01796407 335.98203593],0
b5,1,0.037088,4.346367,[183 133] ; [234 122],[196.08928571 119.91071429] ; [220.91071429 135.08928571],0
s7,1,0.038533,4.281323,[129 174] ; [172 167],[142.06074766 160.93925234] ; [158.93925234 180.06074766],0
r3,1,0.044467,4.038741,[293  20] ; [343  11],[298.45277361  14.54722639] ; [337.54722639  16.45277361],0
p7,1,0.049446,3.860136,[194 116] ; [243 105],[205.88145897 104.11854103] ; [231.11854103 116.88145897],0
n1,1,0.120979,2.404602,[25 62] ; [25 36],[29.39189189 57.60810811] ; [20.60810811 40.39189189],0
p11,1,0.121597,2.396635,[244  72] ; [292  64],[252.04761905  63.95238095] ; [283.95238095  72.04761905],0
n6,1,0.140582,2.171574,[256  59] ; [301  51],[263.05097451  51.94902549] ; [293.94902549  58.05097451],0
a1,1,0.17121,1.872316,[  6 310] ; [ 13 343],[  8.93452381 307.06547619] ; [ 10.06547619 345.93452381],0
a8,1,0.17645,1.82727,[ 34 255] ; [ 49 266],[ 39.71357616 249.28642384] ; [ 43.28642384 271.71357616],0
p1,1,0.199226,1.648043,[ 14 300] ; [ 24 331],[ 17.83557549 296.16442451] ; [ 20.16442451 334.83557549],0
d2,1,0.266859,1.232823,[140 175] ; [173 182],[147.15671642 167.84328358] ; [165.84328358 189.15671642],0
d3,1,0.338835,0.914835,[217  97] ; [258  98],[222.6119403  91.3880597] ; [252.3880597 103.6119403],0
s3,1,0.352788,0.863405,[178 134] ; [186 162],[172.07272727 139.92727273] ; [191.92727273 156.07272727],0
n2,1,0.371752,0.7978,[62 26] ; [47 14],[64.37583893 23.62416107] ; [44.62416107 16.37583893],0
v4,1,0.376024,0.78366,[298  16] ; [339  13],[300.32732733  13.67267267] ; [336.67267267  15.32732733],0
u3,1,0.446248,0.580164,[56 53] ; [50 38],[58.64974619 50.35025381] ; [47.35025381 40.64974619],0
s1,1,0.451359,0.567237,[  8 304] ; [  6 343],[  6.60816944 305.39183056] ; [  7.39183056 341.60816944],0
