Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.002623,9.052486,[23  1] ; [6 5],[19.88571429  4.11428571] ; [9.11428571 1.88571429],0
p9,1,0.082708,3.010874,[19  4] ; [6 5],[16.91176471  6.08823529] ; [8.08823529 2.91176471],0
n6,1,0.087356,2.922431,[18  6] ; [5 6],[15.77142857  8.22857143] ; [7.22857143 3.77142857],0
u3,1,0.09073,2.861376,[6 4] ; [1 5],[4.375 5.625] ; [2.625 3.375],0
s3,1,0.096108,2.76897,[11 12] ; [2 9],[ 8.79411765 14.20588235] ; [4.20588235 6.79411765],0
p8,1,0.10993,2.555226,[13 10] ; [3 8],[10.82352941 12.17647059] ; [5.17647059 5.82352941],0
s2,1,0.116018,2.470266,[11 13] ; [2 9],[ 8.91428571 15.08571429] ; [4.08571429 6.91428571],0
a4,1,0.134435,2.24053,[ 5 19] ; [5 6],[ 6.85714286 17.14285714] ; [3.14285714 7.85714286],0
p10,1,0.134435,2.24053,[19  5] ; [6 5],[17.14285714  6.85714286] ; [7.85714286 3.14285714],0
p11,1,0.149154,2.080883,[17  7] ; [5 6],[15.08571429  8.91428571] ; [6.91428571 4.08571429],0
a5,1,0.149603,2.076293,[15  9] ; [4 7],[13.02857143 10.97142857] ; [5.97142857 5.02857143],0
n3,1,0.163187,1.944444,[10  5] ; [2 4],[8.57142857 6.42857143] ; [3.42857143 2.57142857],0
s6,1,0.171301,1.871521,[12 11] ; [3 8],[10.14705882 12.85294118] ; [4.85294118 6.14705882],0
a7,1,0.207196,1.590909,[12 12] ; [3 8],[10.28571429 13.71428571] ; [4.71428571 6.28571429],0
s8,1,0.221895,1.492071,[ 9 14] ; [2 9],[ 7.44117647 15.55882353] ; [3.55882353 7.44117647],0
n2,1,0.305507,1.05,[11  4] ; [3 3],[10.  5.] ; [4. 2.],0
d3,1,0.327929,0.957058,[11 13] ; [7 4],[12.34285714 11.65714286] ; [5.65714286 5.34285714],0
p3,1,0.327929,0.957058,[13 11] ; [4 7],[11.65714286 12.34285714] ; [5.34285714 5.65714286],0
a6,1,0.344157,0.894886,[ 9 15] ; [6 5],[10.28571429 13.71428571] ; [4.71428571 6.28571429],0
n4,1,0.344157,0.894886,[15  9] ; [5 6],[13.71428571 10.28571429] ; [6.28571429 4.71428571],0
d2,1,0.413272,0.669369,[10 14] ; [3 8],[ 8.91428571 15.08571429] ; [4.08571429 6.91428571],0
b1,1,0.413272,0.669369,[14 10] ; [8 3],[15.08571429  8.91428571] ; [6.91428571 4.08571429],0
d4,1,0.452176,0.565191,[12 12] ; [7 4],[13.02857143 10.97142857] ; [5.97142857 5.02857143],0
a3,1,0.477688,0.504137,[14 10] ; [5 6],[13.02857143 10.97142857] ; [5.97142857 5.02857143],0
b5,1,0.490843,0.474677,[16  8] ; [6 5],[15.08571429  8.91428571] ; [6.91428571 4.08571429],0
p7,1,0.528871,0.396561,[12 11] ; [7 4],[12.85294118 10.14705882] ; [6.14705882 4.85294118],0
s5,1,0.554015,0.350173,[ 9 15] ; [3 8],[ 8.22857143 15.77142857] ; [3.77142857 7.22857143],0
u1,1,0.560133,0.339474,[ 1 23] ; [ 1 10],[ 1.37142857 22.62857143] ; [ 0.62857143 10.37142857],0
a2,1,0.560133,0.339474,[ 1 23] ; [ 1 10],[ 1.37142857 22.62857143] ; [ 0.62857143 10.37142857],0
p4,1,0.599203,0.276199,[13 11] ; [7 4],[13.71428571 10.28571429] ; [6.28571429 4.71428571],0
s7,1,0.59933,0.276008,[10 13] ; [3 6],[ 9.34375 13.65625] ; [3.65625 5.34375],0
d5,1,0.632124,0.229191,[13 11] ; [5 6],[12.34285714 11.65714286] ; [5.65714286 5.34285714],0
p5,1,0.65564,0.198864,[ 3 21] ; [2 9],[ 3.42857143 20.57142857] ; [1.57142857 9.42857143],0
n5,1,0.670269,0.181287,[17  7] ; [7 4],[16.45714286  7.54285714] ; [7.54285714 3.45714286],0
b3,1,0.677856,0.172549,[ 5 12] ; [1 4],[ 4.63636364 12.36363636] ; [1.36363636 3.63636364],0
b2,1,0.677856,0.172549,[ 5 12] ; [1 4],[ 4.63636364 12.36363636] ; [1.36363636 3.63636364],0
u2,1,0.69627,0.152381,[6 4] ; [3 3],[5.625 4.375] ; [3.375 2.625],0
p6,1,0.719932,0.128558,[ 8 16] ; [3 8],[ 7.54285714 16.45714286] ; [3.45714286 7.54285714],0
b4,1,0.766242,0.088384,[14 10] ; [7 4],[14.4  9.6] ; [6.6 4.4],0
v1,1,0.766242,0.088384,[10 14] ; [4 7],[ 9.6 14.4] ; [4.4 6.6],0
p1,1,0.768542,0.086602,[ 3 21] ; [ 1 10],[ 2.74285714 21.25714286] ; [1.25714286 9.74285714],0
v2,1,0.849853,0.035837,[ 7 16] ; [3 8],[ 6.76470588 16.23529412] ; [3.23529412 7.76470588],0
s4,1,0.886436,0.020396,[ 6 18] ; [3 8],[ 6.17142857 17.82857143] ; [2.82857143 8.17142857],0
d1,1,0.886436,0.020396,[ 6 18] ; [3 8],[ 6.17142857 17.82857143] ; [2.82857143 8.17142857],0
p12,1,0.940753,0.005524,[ 2 22] ; [ 1 10],[ 2.05714286 21.94285714] ; [ 0.94285714 10.05714286],0
v3,1,0.954891,0.0032,[ 4 19] ; [2 9],[ 4.05882353 18.94117647] ; [1.94117647 9.05882353],0
r1,1,0.983339,0.000436,[11 13] ; [5 6],[10.97142857 13.02857143] ; [5.02857143 5.97142857],0
