Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,4e-06,21.288206,[105  67] ; [37 75],[86. 86.] ; [56. 56.],1
v2,1,1.1e-05,19.314153,[127  46] ; [54 59],[109.48601399  63.51398601] ; [71.51398601 41.48601399],1
n5,1,0.000268,13.27969,[153  19] ; [83 32],[141.43554007  30.56445993] ; [94.56445993 20.43554007],1
s8,1,0.000447,12.325281,[136  37] ; [69 47],[122.71626298  50.28373702] ; [82.28373702 33.71626298],1
a3,1,0.011109,6.447749,[150  23] ; [87 29],[141.87197232  31.12802768] ; [95.12802768 20.87197232],0
p3,1,0.014474,5.979381,[126  48] ; [68 48],[116.4  57.6] ; [77.6 38.4],0
p6,1,0.018796,5.520411,[107  66] ; [55 60],[97.3125 75.6875] ; [64.6875 50.3125],0
n6,1,0.019458,5.459919,[159  12] ; [97 18],[153.06293706  17.93706294] ; [102.93706294  12.06293706],0
s5,1,0.021946,5.250058,[93 76] ; [46 66],[83.59786477 85.40213523] ; [55.40213523 56.59786477],0
p9,1,0.032732,4.559748,[164  10] ; [101  15],[159.  15.] ; [106.  10.],0
b5,1,0.034979,4.446188,[102  73] ; [53 63],[93.21305842 81.78694158] ; [61.78694158 54.21305842],0
d3,1,0.045426,4.002756,[135  39] ; [77 38],[127.64013841  46.35986159] ; [84.35986159 30.64013841],0
d4,1,0.045657,3.994196,[152  21] ; [91 24],[145.96875  27.03125] ; [97.03125 17.96875],0
u1,1,0.056426,3.639433,[ 47 128] ; [20 96],[ 40.29209622 134.70790378] ; [26.70790378 89.29209622],0
p12,1,0.066309,3.372093,[ 24 150] ; [  8 108],[ 19.2 154.8] ; [ 12.8 103.2],0
p5,1,0.066573,3.365571,[ 39 135] ; [ 16 100],[ 33. 141.] ; [22. 94.],0
n2,1,0.069789,3.287982,[27  2] ; [22  7],[24.5  4.5] ; [24.5  4.5],0
p10,1,0.089081,2.890911,[160  12] ; [101  15],[155.875  16.125] ; [105.125  10.875],0
a2,1,0.099576,2.712316,[ 53 122] ; [25 91],[ 46.90721649 128.09278351] ; [31.09278351 84.90721649],0
a4,1,0.10254,2.665585,[89 85] ; [48 68],[82.2 91.8] ; [54.8 61.2],0
r1,1,0.109929,2.555238,[152  21] ; [94 22],[147.25951557  25.74048443] ; [98.74048443 17.25951557],0
p8,1,0.110304,2.549865,[125  49] ; [73 43],[118.8  55.2] ; [79.2 36.8],0
d1,1,0.117933,2.444554,[114  61] ; [65 51],[107.64604811  67.35395189] ; [71.35395189 44.64604811],0
d2,1,0.118453,2.437663,[95 79] ; [52 63],[88.50519031 85.49480969] ; [58.49480969 56.50519031],0
n4,1,0.192479,1.698541,[150  23] ; [94 22],[146.06228374  26.93771626] ; [97.93771626 18.06228374],0
d5,1,0.199978,1.642532,[147  26] ; [91 24],[142.96527778  30.03472222] ; [95.03472222 19.96527778],0
s6,1,0.203306,1.618462,[147  23] ; [93 22],[143.15789474  26.84210526] ; [96.84210526 18.15789474],0
b4,1,0.213143,1.549948,[99 76] ; [57 59],[93.81443299 81.18556701] ; [62.18556701 53.81443299],0
r4,1,0.223841,1.479574,[165  10] ; [105  11],[162.37113402  12.62886598] ; [107.62886598   8.37113402],0
s2,1,0.236155,1.403404,[131  43] ; [80 36],[126.6  47.4] ; [84.4 31.6],0
u3,1,0.271739,1.207947,[19  6] ; [18 11],[17.12962963  7.87037037] ; [19.87037037  9.12962963],0
s4,1,0.303386,1.059253,[ 36 138] ; [30 86],[ 39.6 134.4] ; [26.4 89.6],0
a8,1,0.332309,0.93988,[ 35 122] ; [19 90],[ 31.87218045 125.12781955] ; [22.12781955 86.87218045],0
a5,1,0.361642,0.832183,[142  33] ; [89 27],[138.91752577  36.08247423] ; [92.08247423 23.91752577],0
b2,1,0.37372,0.791259,[59 72] ; [29 46],[55.96116505 75.03883495] ; [32.03883495 42.96116505],0
b3,1,0.37372,0.791259,[59 72] ; [29 46],[55.96116505 75.03883495] ; [32.03883495 42.96116505],0
p4,1,0.374611,0.788311,[134  40] ; [84 32],[130.8  43.2] ; [87.2 28.8],0
n1,1,0.494093,0.4676,[14 15] ; [11 17],[12.71929825 16.28070175] ; [12.28070175 15.71929825],0
a1,1,0.525804,0.402494,[ 14 161] ; [  7 109],[ 12.62886598 162.37113402] ; [  8.37113402 107.62886598],0
n3,1,0.556821,0.345238,[20  9] ; [22  7],[21.  8.] ; [21.  8.],0
r3,1,0.600667,0.273992,[172   3] ; [112   3],[171.37931034   3.62068966] ; [112.62068966   2.37931034],0
