Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.002172,9.398148,[ 5 13] ; [58 29],[10.8  7.2] ; [52.2 34.8],0
r1,1,0.004705,7.989299,[ 7 11] ; [63 23],[12.11538462  5.88461538] ; [57.88461538 28.11538462],0
r4,1,0.007159,7.232516,[11  7] ; [76 11],[14.91428571  3.08571429] ; [72.08571429 14.91428571],0
s8,1,0.008441,6.937466,[ 4 14] ; [49 38],[9.08571429 8.91428571] ; [43.91428571 43.08571429],0
r3,1,0.02184,5.258492,[16  2] ; [85  1],[17.48076923  0.51923077] ; [83.51923077  2.48076923],0
d4,1,0.027737,4.844349,[11  7] ; [73 14],[14.4  3.6] ; [69.6 17.4],0
d5,1,0.030062,4.705744,[9 8] ; [68 19],[12.58653846  4.41346154] ; [64.41346154 22.58653846],0
a4,1,0.049897,3.844916,[ 2 16] ; [30 57],[ 5.48571429 12.51428571] ; [26.51428571 60.48571429],0
d3,1,0.051663,3.786642,[8 9] ; [62 25],[11.44230769  5.55769231] ; [58.55769231 28.44230769],0
p5,1,0.054204,3.706395,[ 2 14] ; [ 2 84],[ 0.62745098 15.37254902] ; [ 3.37254902 82.62745098],0
s4,1,0.058274,3.585848,[ 3 15] ; [35 52],[ 6.51428571 11.48571429] ; [31.48571429 55.51428571],0
s3,1,0.065057,3.403537,[12  6] ; [74 13],[14.74285714  3.25714286] ; [71.25714286 15.74285714],0
b5,1,0.075712,3.154623,[ 8 10] ; [58 29],[11.31428571  6.68571429] ; [54.68571429 32.31428571],0
s5,1,0.078421,3.097333,[ 5 13] ; [42 41],[8.37623762 9.62376238] ; [38.62376238 44.37623762],0
d1,1,0.110021,2.553926,[ 6 12] ; [47 40],[9.08571429 8.91428571] ; [43.91428571 43.08571429],0
s7,1,0.121382,2.399399,[ 5 12] ; [41 41],[7.8989899 9.1010101] ; [38.1010101 43.8989899],0
b2,1,0.12907,2.303659,[1 8] ; [16 27],[2.94230769 6.05769231] ; [14.05769231 28.94230769],0
b3,1,0.12907,2.303659,[1 8] ; [16 27],[2.94230769 6.05769231] ; [14.05769231 28.94230769],0
p4,1,0.157706,1.996083,[ 6 11] ; [47 40],[8.66346154 8.33653846] ; [44.33653846 42.66346154],0
u1,1,0.163722,1.939511,[ 4 14] ; [ 9 78],[ 2.22857143 15.77142857] ; [10.77142857 76.22857143],0
p3,1,0.166475,1.914402,[ 4 13] ; [36 51],[ 6.53846154 10.46153846] ; [33.46153846 53.53846154],0
a2,1,0.178419,1.810748,[ 1 17] ; [16 71],[ 2.91428571 15.08571429] ; [14.08571429 72.91428571],0
n6,1,0.204578,1.60939,[9 9] ; [56 29],[11.3592233  6.6407767] ; [53.6407767 31.3592233],0
n5,1,0.22422,1.477158,[ 4 14] ; [32 54],[ 6.23076923 11.76923077] ; [29.76923077 56.23076923],0
v4,1,0.246384,1.343691,[15  2] ; [83  4],[16.01923077  0.98076923] ; [81.98076923  5.01923077],0
v2,1,0.252516,1.309329,[ 7 11] ; [42 36],[9.1875 8.8125] ; [39.8125 38.1875],0
a7,1,0.337258,0.920828,[11  6] ; [66 21],[12.58653846  4.41346154] ; [64.41346154 22.58653846],0
b4,1,0.341399,0.905172,[9 9] ; [54 33],[10.8  7.2] ; [52.2 34.8],0
d2,1,0.366327,0.816085,[ 5 13] ; [34 53],[ 6.68571429 11.31428571] ; [32.31428571 54.68571429],0
p8,1,0.373519,0.791925,[ 6 11] ; [40 45],[7.66666667 9.33333333] ; [38.33333333 46.66666667],0
a3,1,0.391135,0.73541,[9 9] ; [53 34],[10.62857143  7.37142857] ; [51.37142857 35.62857143],0
a6,1,0.394301,0.725636,[11  7] ; [62 25],[12.51428571  5.48571429] ; [60.48571429 26.51428571],0
s1,1,0.456558,0.554319,[ 1 17] ; [ 2 84],[ 0.51923077 17.48076923] ; [ 2.48076923 83.51923077],0
v3,1,0.497682,0.459876,[ 3 13] ; [22 60],[ 4.08163265 11.91836735] ; [20.91836735 61.08163265],0
p9,1,0.585234,0.297849,[13  4] ; [69 15],[13.8019802  3.1980198] ; [68.1980198 15.8019802],0
p2,1,0.618194,0.248414,[11  5] ; [65 22],[11.80582524  4.19417476] ; [64.19417476 22.80582524],0
n3,1,0.681442,0.168507,[3 1] ; [22 12],[2.63157895 1.36842105] ; [22.36842105 11.63157895],0
p6,1,0.729914,0.119191,[ 5 12] ; [29 57],[ 5.61165049 11.38834951] ; [28.38834951 57.61165049],0
u3,1,0.761595,0.092044,[6 3] ; [23  9],[6.36585366 2.63414634] ; [22.63414634  9.36585366],0
p10,1,0.81683,0.053649,[12  4] ; [66 19],[12.35643564  3.64356436] ; [65.64356436 19.35643564],0
r2,1,0.835531,0.043103,[17  1] ; [81  6],[16.8  1.2] ; [81.2  5.8],0
b1,1,0.852568,0.034538,[ 6 12] ; [31 56],[ 6.34285714 11.65714286] ; [30.65714286 56.34285714],0
p11,1,0.866248,0.028367,[11  7] ; [55 32],[11.31428571  6.68571429] ; [54.68571429 32.31428571],0
v1,1,0.962106,0.002257,[8 9] ; [39 45],[7.91089109 9.08910891] ; [39.08910891 44.91089109],0
u2,1,0.970415,0.001375,[5 4] ; [18 14],[5.04878049 3.95121951] ; [17.95121951 14.04878049],0
a1,1,0.974573,0.001016,[ 1 17] ; [ 5 82],[ 1.02857143 16.97142857] ; [ 4.97142857 82.02857143],0
a8,1,0.981439,0.000541,[ 1 15] ; [ 5 77],[ 0.97959184 15.02040816] ; [ 5.02040816 76.97959184],0
p12,1,0.982551,0.000478,[ 1 16] ; [ 5 82],[ 0.98076923 16.01923077] ; [ 5.01923077 81.98076923],0
p7,1,0.985867,0.000314,[9 6] ; [49 33],[8.96907216 6.03092784] ; [49.03092784 32.96907216],0
