Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.0,30.878887,[43  8] ; [ 7 24],[31.09756098 19.90243902] ; [18.90243902 12.09756098],1
v4,1,0.0,27.0,[49  1] ; [15 15],[40. 10.] ; [24.  6.],1
d4,1,7.2e-05,15.761246,[39 10] ; [11 20],[30.625 18.375] ; [19.375 11.625],1
a7,1,0.000293,13.112233,[40 11] ; [12 19],[32.34146341 18.65853659] ; [19.65853659 11.34146341],1
p2,1,0.000837,11.156335,[40 11] ; [12 17],[33.15 17.85] ; [18.85 10.15],1
r2,1,0.000858,11.111799,[48  3] ; [19 10],[42.7125  8.2875] ; [24.2875  4.7125],1
u3,1,0.001065,10.710989,[10  3] ; [ 2 12],[5.77777778 7.22222222] ; [6.22222222 7.77777778],0
s6,1,0.001175,10.529273,[32 19] ; [ 8 23],[24.87804878 26.12195122] ; [15.12195122 15.87804878],0
n3,1,0.002586,9.078854,[12  1] ; [ 7 11],[7.96774194 5.03225806] ; [11.03225806  6.96774194],0
p4,1,0.005883,7.585849,[26 25] ; [ 6 24],[20.14814815 30.85185185] ; [11.85185185 18.14814815],0
p11,1,0.007909,7.054047,[35 16] ; [12 19],[29.23170732 21.76829268] ; [17.76829268 13.23170732],0
p9,1,0.01378,6.066112,[39 10] ; [16 14],[34.11392405 14.88607595] ; [20.88607595  9.11392405],0
d3,1,0.017605,5.63503,[32 18] ; [11 19],[26.875 23.125] ; [16.125 13.875],0
p8,1,0.020377,5.37931,[21 28] ; [ 5 24],[16.33333333 32.66666667] ; [ 9.66666667 19.33333333],0
v2,1,0.023368,5.140967,[26 20] ; [ 9 21],[21.18421053 24.81578947] ; [13.81578947 16.18421053],0
d5,1,0.023634,5.12129,[38 12] ; [16 15],[33.33333333 16.66666667] ; [20.66666667 10.33333333],0
b5,1,0.028127,4.82025,[34 17] ; [13 18],[29.23170732 21.76829268] ; [17.76829268 13.23170732],0
s2,1,0.033882,4.500649,[23 27] ; [ 7 24],[18.51851852 31.48148148] ; [11.48148148 19.51851852],0
a5,1,0.055273,3.673835,[34 17] ; [14 17],[29.85365854 21.14634146] ; [18.14634146 12.85365854],0
s8,1,0.061035,3.509033,[18 33] ; [ 5 26],[14.30487805 36.69512195] ; [ 8.69512195 22.30487805],0
v1,1,0.067051,3.353786,[25 24] ; [ 9 21],[21.08860759 27.91139241] ; [12.91139241 17.08860759],0
p3,1,0.069044,3.305612,[16 35] ; [ 4 26],[12.59259259 38.40740741] ; [ 7.40740741 22.59259259],0
u2,1,0.071855,3.240135,[10  3] ; [6 8],[7.7037037 5.2962963] ; [8.2962963 5.7037037],0
a6,1,0.089419,2.884794,[38 12] ; [18 13],[34.56790123 15.43209877] ; [21.43209877  9.56790123],0
a3,1,0.096697,2.759198,[38 13] ; [17 13],[34.62962963 16.37037037] ; [20.37037037  9.62962963],0
p1,1,0.115723,2.47427,[ 1 50] ; [ 3 28],[ 2.48780488 48.51219512] ; [ 1.51219512 29.48780488],0
s3,1,0.132311,2.265176,[29 20] ; [13 18],[25.725 23.275] ; [16.275 14.725],0
v3,1,0.138246,2.197372,[14 31] ; [ 5 26],[11.25 33.75] ; [ 7.75 23.25],0
p10,1,0.139465,2.183853,[32 17] ; [14 15],[28.8974359 20.1025641] ; [17.1025641 11.8974359],0
d1,1,0.148134,2.091363,[23 28] ; [ 9 22],[19.90243902 31.09756098] ; [12.09756098 18.90243902],0
n2,1,0.217044,1.52381,[12  2] ; [12  6],[10.5  3.5] ; [13.5  4.5],0
a8,1,0.231576,1.431158,[11 35] ; [ 4 27],[ 8.96103896 37.03896104] ; [ 6.03896104 24.96103896],0
p6,1,0.239556,1.383203,[14 34] ; [ 5 24],[11.84415584 36.15584416] ; [ 7.15584416 21.84415584],0
s7,1,0.260633,1.265394,[17 31] ; [ 7 23],[14.76923077 33.23076923] ; [ 9.23076923 20.76923077],0
d2,1,0.27011,1.216188,[18 32] ; [15 16],[20.37037037 29.62962963] ; [12.62962963 18.37037037],0
p5,1,0.283131,1.152,[ 2 48] ; [ 3 27],[ 3.125 46.875] ; [ 1.875 28.125],0
p7,1,0.311587,1.023936,[29 18] ; [15 15],[26.85714286 20.14285714] ; [17.14285714 12.85714286],0
b2,1,0.332917,0.937519,[ 6 21] ; [ 7 13],[ 7.46808511 19.53191489] ; [ 5.53191489 14.46808511],0
b3,1,0.332917,0.937519,[ 6 21] ; [ 7 13],[ 7.46808511 19.53191489] ; [ 5.53191489 14.46808511],0
a4,1,0.419323,0.652211,[21 30] ; [10 21],[19.2804878 31.7195122] ; [11.7195122 19.2804878],0
a2,1,0.43398,0.612148,[10 41] ; [ 4 27],[ 8.70731707 42.29268293] ; [ 5.29268293 25.70731707],0
n1,1,0.456057,0.555556,[7 5] ; [ 8 10],[6. 6.] ; [9. 9.],0
b1,1,0.570629,0.321632,[28 23] ; [19 12],[29.23170732 21.76829268] ; [17.76829268 13.23170732],0
b4,1,0.689117,0.160043,[27 24] ; [15 16],[26.12195122 24.87804878] ; [15.87804878 15.12195122],0
n4,1,0.724544,0.12418,[36 15] ; [23  8],[36.69512195 14.30487805] ; [22.30487805  8.69512195],0
s5,1,0.797418,0.06589,[ 9 40] ; [ 5 26],[ 8.575 40.425] ; [ 5.425 25.575],0
s1,1,0.817023,0.053535,[ 2 45] ; [ 1 30],[ 1.80769231 45.19230769] ; [ 1.19230769 29.80769231],0
s4,1,0.91563,0.011223,[ 7 44] ; [ 4 27],[ 6.84146341 44.15853659] ; [ 4.15853659 26.84146341],0
