Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,3.5e-05,17.099881,[107  14] ; [73 38],[93.87931034 27.12068966] ; [86.12068966 24.87931034],1
s5,1,0.007075,7.253749,[48 66] ; [27 81],[38.51351351 75.48648649] ; [36.48648649 71.51351351],0
s7,1,0.009175,6.788524,[59 54] ; [38 71],[49.37387387 63.62612613] ; [47.62612613 61.37387387],0
s8,1,0.012564,6.229465,[56 66] ; [35 81],[46.64705882 75.35294118] ; [44.35294118 71.64705882],0
s6,1,0.022789,5.18452,[81 38] ; [61 53],[72.52360515 46.47639485] ; [69.47639485 44.52360515],0
s2,1,0.027708,4.84617,[70 52] ; [50 66],[61.51260504 60.48739496] ; [58.48739496 57.51260504],0
p2,1,0.040734,4.187057,[91 30] ; [73 43],[83.72995781 37.27004219] ; [80.27004219 35.72995781],0
u3,1,0.071861,3.24,[20 16] ; [16 29],[16. 20.] ; [20. 25.],0
p6,1,0.093715,2.809366,[46 76] ; [31 82],[39.97446809 82.02553191] ; [37.02553191 75.97446809],0
p7,1,0.100247,2.701604,[66 53] ; [50 62],[59.75757576 59.24242424] ; [56.24242424 55.75757576],0
n6,1,0.119393,2.425263,[92 28] ; [77 37],[86.66666667 33.33333333] ; [82.33333333 31.66666667],0
v4,1,0.159334,1.98054,[112  10] ; [99 16],[108.61603376  13.38396624] ; [102.38396624  12.61603376],0
p4,1,0.195001,1.679426,[59 62] ; [46 68],[54.06382979 66.93617021] ; [50.93617021 63.06382979],0
p3,1,0.225403,1.469638,[47 74] ; [36 79],[42.55508475 78.44491525] ; [40.44491525 74.55508475],0
d2,1,0.241821,1.369949,[65 57] ; [53 63],[60.48739496 61.51260504] ; [57.51260504 58.48739496],0
n5,1,0.243848,1.358212,[79 42] ; [66 48],[74.65957447 46.34042553] ; [70.34042553 43.65957447],0
a3,1,0.264817,1.243399,[84 37] ; [70 42],[79.97424893 41.02575107] ; [74.02575107 37.97424893],0
v1,1,0.270981,1.211773,[59 63] ; [47 67],[54.79661017 67.20338983] ; [51.20338983 62.79661017],0
n4,1,0.283189,1.151722,[81 41] ; [68 46],[77.02542373 44.97457627] ; [71.97457627 42.02542373],0
p12,1,0.283647,1.149531,[  5 117] ; [  2 113],[  3.60337553 118.39662447] ; [  3.39662447 111.60337553],0
n3,1,0.286462,1.136176,[30 12] ; [26 17],[27.67058824 14.32941176] ; [28.32941176 14.67058824],0
r1,1,0.292382,1.108619,[95 27] ; [82 32],[91.5 30.5] ; [85.5 28.5],0
d5,1,0.340089,0.910096,[97 24] ; [87 29],[93.94092827 27.05907173] ; [90.05907173 25.94092827],0
a6,1,0.359422,0.83991,[74 48] ; [77 39],[77.40336134 44.59663866] ; [73.59663866 42.40336134],0
s3,1,0.444653,0.584245,[66 56] ; [56 58],[63.06779661 58.93220339] ; [58.93220339 55.06779661],0
n2,1,0.446398,0.579781,[32 10] ; [31 14],[30.4137931 11.5862069] ; [32.5862069 12.4137931],0
u2,1,0.455003,0.558158,[17 20] ; [17 28],[15.34146341 21.65853659] ; [18.65853659 26.34146341],0
b2,1,0.465665,0.532245,[17 39] ; [21 36],[18.83185841 37.16814159] ; [19.16814159 37.83185841],0
b3,1,0.465665,0.532245,[17 39] ; [21 36],[18.83185841 37.16814159] ; [19.16814159 37.83185841],0
