Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1.1e-05,19.301385,[ 7 23] ; [42 16],[16.70454545 13.29545455] ; [32.29545455 25.70454545],1
d4,1,1.8e-05,18.39593,[12 18] ; [49  9],[20.79545455  9.20454545] ; [40.20454545 17.79545455],1
a5,1,0.001545,10.023714,[ 9 21] ; [38 20],[16.02272727 13.97727273] ; [30.97727273 27.02272727],0
d2,1,0.002794,8.93755,[ 2 28] ; [21 37],[ 7.84090909 22.15909091] ; [15.15909091 42.84090909],0
a4,1,0.009721,6.685382,[ 2 28] ; [18 40],[ 6.81818182 23.18181818] ; [13.18181818 44.81818182],0
v2,1,0.014149,6.019459,[ 7 22] ; [30 28],[12.33333333 16.66666667] ; [24.66666667 33.33333333],0
a3,1,0.016516,5.747045,[ 8 22] ; [31 27],[13.29545455 16.70454545] ; [25.70454545 32.29545455],0
v1,1,0.022221,5.228365,[ 8 21] ; [31 27],[13. 16.] ; [26. 32.],0
v4,1,0.02768,4.847884,[24  5] ; [55  2],[26.63953488  2.36046512] ; [52.36046512  4.63953488],0
r2,1,0.038217,4.295333,[20  9] ; [49  7],[23.54117647  5.45882353] ; [45.45882353 10.54117647],0
a7,1,0.041711,4.146906,[14 16] ; [40 18],[18.40909091 11.59090909] ; [35.59090909 22.40909091],0
r4,1,0.055813,3.657635,[15 15] ; [41 17],[19.09090909 10.90909091] ; [36.90909091 21.09090909],0
s5,1,0.077173,3.123452,[ 4 25] ; [17 37],[ 7.3373494 21.6626506] ; [13.6626506 40.3373494],0
v3,1,0.077605,3.114349,[ 6 24] ; [22 35],[ 9.65517241 20.34482759] ; [18.34482759 38.65517241],0
p11,1,0.08431,2.979797,[22  8] ; [51  7],[24.88636364  5.11363636] ; [48.11363636  9.88636364],0
b5,1,0.097215,2.750647,[22  8] ; [32 26],[18.40909091 11.59090909] ; [35.59090909 22.40909091],0
u3,1,0.125311,2.34965,[ 7 15] ; [14 12],[ 9.625 12.375] ; [11.375 14.625],0
p10,1,0.171878,1.866491,[22  8] ; [47  8],[24.35294118  5.64705882] ; [44.64705882 10.35294118],0
a6,1,0.17297,1.857013,[13 17] ; [34 24],[16.02272727 13.97727273] ; [30.97727273 27.02272727],0
p3,1,0.17297,1.857013,[13 17] ; [34 24],[16.02272727 13.97727273] ; [30.97727273 27.02272727],0
b3,1,0.225044,1.471915,[ 3 15] ; [11 23],[ 4.84615385 13.15384615] ; [ 9.15384615 24.84615385],0
b2,1,0.225044,1.471915,[ 3 15] ; [11 23],[ 4.84615385 13.15384615] ; [ 9.15384615 24.84615385],0
n2,1,0.244551,1.354167,[3 3] ; [15  5],[4.15384615 1.84615385] ; [13.84615385  6.15384615],0
p1,1,0.272483,1.204204,[ 5 25] ; [ 5 52],[ 3.44827586 26.55172414] ; [ 6.55172414 50.44827586],0
s6,1,0.301879,1.065874,[16 14] ; [35 19],[18.21428571 11.78571429] ; [32.78571429 21.21428571],0
b1,1,0.311901,1.022608,[12 18] ; [17 41],[ 9.88636364 20.11363636] ; [19.11363636 38.88636364],0
p7,1,0.330299,0.947726,[20  9] ; [44 12],[21.83529412  7.16470588] ; [42.16470588 13.83529412],0
p9,1,0.367528,0.812005,[23  7] ; [49  9],[24.54545455  5.45454545] ; [47.45454545 10.54545455],0
p2,1,0.387972,0.745288,[23  7] ; [48  9],[24.48275862  5.51724138] ; [46.51724138 10.48275862],0
n1,1,0.393454,0.728241,[1 5] ; [ 7 13],[1.84615385 4.15384615] ; [ 6.15384615 13.84615385],0
n3,1,0.393454,0.728241,[5 1] ; [13  7],[4.15384615 1.84615385] ; [13.84615385  6.15384615],0
s1,1,0.394406,0.725315,[ 3 27] ; [ 3 55],[ 2.04545455 27.95454545] ; [ 3.95454545 54.04545455],0
