Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s1,1,9.5e-05,15.23229,[4 2] ; [ 2 33],[0.87804878 5.12195122] ; [ 5.12195122 29.87804878],1
p4,1,9.5e-05,15.23229,[4 2] ; [ 2 33],[0.87804878 5.12195122] ; [ 5.12195122 29.87804878],1
p3,1,0.001607,9.951227,[4 2] ; [ 4 31],[1.17073171 4.82926829] ; [ 6.82926829 28.17073171],0
p7,1,0.001607,9.951227,[4 2] ; [ 4 31],[1.17073171 4.82926829] ; [ 6.82926829 28.17073171],0
s2,1,0.020344,5.382173,[3 3] ; [ 4 31],[1.02439024 4.97560976] ; [ 5.97560976 29.02439024],0
d5,1,0.035164,4.437187,[1 5] ; [22 13],[3.36585366 2.63414634] ; [19.63414634 15.36585366],0
v1,1,0.046302,3.970588,[3 3] ; [ 5 29],[1.2 4.8] ; [ 6.8 27.2],0
n4,1,0.046401,3.966981,[2 4] ; [26  9],[4.09756098 1.90243902] ; [23.90243902 11.09756098],0
b1,1,0.088517,2.901145,[1 5] ; [19 16],[2.92682927 3.07317073] ; [17.07317073 17.92682927],0
u2,1,0.099481,2.713846,[2 1] ; [ 3 12],[0.83333333 2.16666667] ; [ 4.16666667 10.83333333],0
v3,1,0.125047,2.352941,[3 3] ; [ 7 27],[1.5 4.5] ; [ 8.5 25.5],0
d1,1,0.145675,2.116966,[1 5] ; [17 18],[2.63414634 3.36585366] ; [15.36585366 19.63414634],0
p6,1,0.154963,2.022704,[1 5] ; [ 1 33],[0.3 5.7] ; [ 1.7 32.3],0
n5,1,0.175016,1.839449,[2 4] ; [22 13],[3.51219512 2.48780488] ; [20.48780488 14.51219512],0
a4,1,0.36911,0.806659,[1 5] ; [12 22],[1.95 4.05] ; [11.05 22.95],0
u3,1,0.396144,0.72,[1 2] ; [ 2 13],[0.5 2.5] ; [ 2.5 12.5],0
n1,1,0.427205,0.630409,[1 2] ; [11  8],[1.63636364 1.36363636] ; [10.36363636  8.63636364],0
b4,1,0.4603,0.545165,[3 3] ; [23 12],[3.80487805 2.19512195] ; [22.19512195 12.80487805],0
p10,1,0.490657,0.475086,[2 4] ; [ 7 27],[1.35 4.65] ; [ 7.65 26.35],0
n2,1,0.534428,0.385965,[2 1] ; [ 9 10],[1.5 1.5] ; [9.5 9.5],0
s8,1,0.536939,0.381242,[1 5] ; [ 3 32],[0.58536585 5.41463415] ; [ 3.41463415 31.58536585],0
d3,1,0.550836,0.355821,[3 3] ; [13 22],[2.34146341 3.65853659] ; [13.65853659 21.34146341],0
s6,1,0.580874,0.304823,[2 4] ; [ 8 27],[1.46341463 4.53658537] ; [ 8.53658537 26.46341463],0
r2,1,0.635327,0.224905,[4 2] ; [18 14],[3.47368421 2.52631579] ; [18.52631579 13.47368421],0
a3,1,0.686884,0.162479,[3 3] ; [20 14],[3.45 2.55] ; [19.55 14.45],0
n3,1,0.718816,0.12963,[1 2] ; [ 8 10],[1.28571429 1.71428571] ; [ 7.71428571 10.28571429],0
v2,1,0.72852,0.120475,[2 4] ; [ 9 25],[1.65 4.35] ; [ 9.35 24.65],0
a6,1,0.74462,0.106108,[3 3] ; [15 20],[2.63414634 3.36585366] ; [15.36585366 19.63414634],0
b5,1,0.74462,0.106108,[3 3] ; [15 20],[2.63414634 3.36585366] ; [15.36585366 19.63414634],0
a7,1,0.74462,0.106108,[3 3] ; [15 20],[2.63414634 3.36585366] ; [15.36585366 19.63414634],0
p9,1,0.761537,0.09209,[2 4] ; [ 9 24],[1.69230769 4.30769231] ; [ 9.30769231 23.69230769],0
b2,1,0.765064,0.089304,[1 2] ; [11 15],[1.24137931 1.75862069] ; [10.75862069 15.24137931],0
b3,1,0.765064,0.089304,[1 2] ; [11 15],[1.24137931 1.75862069] ; [10.75862069 15.24137931],0
d2,1,0.789452,0.071301,[3 3] ; [19 15],[3.3 2.7] ; [18.7 15.3],0
r3,1,0.845778,0.037833,[3 3] ; [16 19],[2.7804878 3.2195122] ; [16.2195122 18.7804878],0
s3,1,0.846758,0.037348,[2 4] ; [10 24],[1.8 4.2] ; [10.2 23.8],0
p1,1,0.849026,0.036237,[1 5] ; [ 7 28],[1.17073171 4.82926829] ; [ 6.82926829 28.17073171],0
s4,1,0.878828,0.023243,[1 5] ; [ 5 30],[0.87804878 5.12195122] ; [ 5.12195122 29.87804878],0
d4,1,0.926191,0.008582,[4 2] ; [24 11],[4.09756098 1.90243902] ; [23.90243902 11.09756098],0
p11,1,0.926191,0.008582,[2 4] ; [11 24],[1.90243902 4.09756098] ; [11.09756098 23.90243902],0
a5,1,0.948428,0.004184,[3 3] ; [18 17],[3.07317073 2.92682927] ; [17.92682927 17.07317073],0
r1,1,0.963746,0.002066,[2 4] ; [12 23],[2.04878049 3.95121951] ; [11.95121951 23.04878049],0
r4,1,0.977151,0.00082,[1 5] ; [ 6 29],[1.02439024 4.97560976] ; [ 5.97560976 29.02439024],0
n6,1,1.0,0.0,[2 3] ; [14 21],[2. 3.] ; [14. 21.],0
