Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.002151,9.415714,[9 5] ; [ 4 21],[4.66666667 9.33333333] ; [ 8.33333333 16.66666667],0
d2,1,0.00598,7.556253,[8 6] ; [ 4 22],[4.2 9.8] ; [ 7.8 18.2],0
a6,1,0.006611,7.375847,[10  4] ; [ 7 19],[5.95 8.05] ; [11.05 14.95],0
s6,1,0.014615,5.962243,[8 6] ; [ 5 21],[4.55 9.45] ; [ 8.45 17.55],0
a4,1,0.023669,5.118752,[6 8] ; [ 3 23],[ 3.15 10.85] ; [ 5.85 20.15],0
a3,1,0.033722,4.508752,[10  4] ; [ 9 16],[6.82051282 7.17948718] ; [12.17948718 12.82051282],0
p4,1,0.042818,4.102564,[7 7] ; [ 5 21],[4.2 9.8] ; [ 7.8 18.2],0
v1,1,0.055633,3.663004,[6 8] ; [ 4 22],[ 3.5 10.5] ; [ 6.5 19.5],0
s3,1,0.067831,3.334744,[4 9] ; [ 2 23],[ 2.05263158 10.94736842] ; [ 3.94736842 21.05263158],0
a2,1,0.077064,3.125763,[ 3 11] ; [ 1 25],[ 1.4 12.6] ; [ 2.6 23.4],0
v3,1,0.077746,3.111398,[ 4 10] ; [ 2 24],[ 2.1 11.9] ; [ 3.9 22.1],0
a7,1,0.078555,3.09455,[10  4] ; [11 15],[7.35 6.65] ; [13.65 12.35],0
u3,1,0.079746,3.070069,[2 2] ; [ 2 15],[0.76190476 3.23809524] ; [ 3.23809524 13.76190476],0
b3,1,0.099195,2.718437,[2 8] ; [7 6],[3.91304348 6.08695652] ; [5.08695652 7.91304348],0
b2,1,0.099195,2.718437,[2 8] ; [7 6],[3.91304348 6.08695652] ; [5.08695652 7.91304348],0
a5,1,0.104377,2.637363,[8 6] ; [ 8 18],[5.6 8.4] ; [10.4 15.6],0
s2,1,0.140147,2.176339,[4 9] ; [ 3 23],[ 2.33333333 10.66666667] ; [ 4.66666667 21.33333333],0
p3,1,0.175504,1.835294,[ 3 10] ; [ 2 24],[ 1.66666667 11.33333333] ; [ 3.33333333 22.66666667],0
n3,1,0.179712,1.8,[4 2] ; [4 8],[2.66666667 3.33333333] ; [5.33333333 6.66666667],0
p11,1,0.184844,1.758242,[9 5] ; [11 15],[7. 7.] ; [13. 13.],0
p5,1,0.231836,1.429561,[ 2 12] ; [ 1 25],[ 1.05 12.95] ; [ 1.95 24.05],0
b1,1,0.370166,0.803107,[6 8] ; [15 11],[7.35 6.65] ; [13.65 12.35],0
p9,1,0.414172,0.666793,[5 7] ; [14 11],[6.16216216 5.83783784] ; [12.83783784 12.16216216],0
u2,1,0.422489,0.643382,[1 3] ; [8 9],[1.71428571 2.28571429] ; [7.28571429 9.71428571],0
a8,1,0.445885,0.58109,[ 1 12] ; [ 4 20],[ 1.75675676 11.24324324] ; [ 3.24324324 20.75675676],0
r3,1,0.475404,0.509388,[10  4] ; [15 10],[8.97435897 5.02564103] ; [16.02564103  8.97435897],0
n4,1,0.481365,0.49577,[7 7] ; [16 10],[8.05 5.95] ; [14.95 11.05],0
p2,1,0.507335,0.43956,[8 6] ; [12 14],[7. 7.] ; [13. 13.],0
p10,1,0.574784,0.314743,[5 8] ; [12 13],[5.81578947 7.18421053] ; [11.18421053 13.81578947],0
n5,1,0.607565,0.263736,[8 6] ; [17  9],[8.75 5.25] ; [16.25  9.75],0
p6,1,0.628687,0.233846,[ 1 12] ; [ 1 24],[ 0.68421053 12.31578947] ; [ 1.31578947 23.68421053],0
p12,1,0.648172,0.208213,[ 1 13] ; [ 1 25],[ 0.7 13.3] ; [ 1.3 24.7],0
p8,1,0.694618,0.154132,[ 2 12] ; [ 5 21],[ 2.45 11.55] ; [ 4.55 21.45],0
n2,1,0.737316,0.1125,[3 3] ; [7 5],[3.33333333 2.66666667] ; [6.66666667 5.33333333],0
p1,1,0.802133,0.062794,[ 2 12] ; [ 3 23],[ 1.75 12.25] ; [ 3.25 22.75],0
s5,1,0.802133,0.062794,[ 2 12] ; [ 3 23],[ 1.75 12.25] ; [ 3.25 22.75],0
r4,1,0.802133,0.062794,[ 2 12] ; [ 3 23],[ 1.75 12.25] ; [ 3.25 22.75],0
n6,1,0.823894,0.049524,[10  4] ; [17  8],[9.69230769 4.30769231] ; [17.30769231  7.69230769],0
b5,1,0.841559,0.03996,[8 6] ; [14 12],[7.7 6.3] ; [14.3 11.7],0
s7,1,0.842342,0.03956,[2 8] ; [ 6 20],[2.22222222 7.77777778] ; [ 5.77777778 20.22222222],0
s8,1,0.868355,0.027473,[ 3 11] ; [ 5 21],[ 2.8 11.2] ; [ 5.2 20.8],0
b4,1,0.884966,0.020931,[10  4] ; [18  8],[9.8 4.2] ; [18.2  7.8],0
r1,1,0.91133,0.012401,[ 4 10] ; [ 7 19],[ 3.85 10.15] ; [ 7.15 18.85],0
s1,1,0.949823,0.00396,[ 1 13] ; [ 2 24],[ 1.05 12.95] ; [ 1.95 24.05],0
v4,1,1.0,0.0,[7 7] ; [13 13],[7. 7.] ; [13. 13.],0
