Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.7e-05,18.477967,[ 9 20] ; [97 36],[18.97530864 10.02469136] ; [87.02469136 45.97530864],1
v4,1,0.001487,10.094044,[20  9] ; [120  12],[25.2173913  3.7826087] ; [114.7826087  17.2173913],0
d5,1,0.005928,7.572035,[14 15] ; [98 34],[20.17391304  8.82608696] ; [91.82608696 40.17391304],0
d1,1,0.015293,5.882366,[ 6 23] ; [60 73],[11.81481481 17.18518519] ; [54.18518519 78.81481481],0
s7,1,0.01812,5.584517,[ 5 23] ; [53 74],[10.47741935 17.52258065] ; [47.52258065 79.47741935],0
a8,1,0.027709,4.846064,[ 6 21] ; [ 10 116],[ 2.82352941 24.17647059] ; [ 13.17647059 112.82352941],0
p6,1,0.037243,4.339285,[ 5 24] ; [48 80],[ 9.78980892 19.21019108] ; [43.21019108 84.78980892],0
b1,1,0.080873,3.047261,[16 13] ; [50 83],[11.81481481 17.18518519] ; [54.18518519 78.81481481],0
s2,1,0.093823,2.807523,[ 9 20] ; [64 69],[13.06790123 15.93209877] ; [59.93209877 73.06790123],0
a4,1,0.09604,2.770097,[ 6 23] ; [49 84],[ 9.84567901 19.15432099] ; [45.15432099 87.84567901],0
b4,1,0.099979,2.705876,[14 15] ; [86 47],[17.90123457 11.09876543] ; [82.09876543 50.90123457],0
p2,1,0.105149,2.625657,[20  9] ; [107  23],[23.16352201  5.83647799] ; [103.83647799  26.16352201],0
s3,1,0.120813,2.406754,[10 19] ; [66 65],[13.775 15.225] ; [62.225 68.775],0
u3,1,0.140374,2.17386,[ 4 11] ; [25 27],[6.49253731 8.50746269] ; [22.50746269 29.49253731],0
v3,1,0.175684,1.833762,[ 6 23] ; [43 85],[ 9.05095541 19.94904459] ; [39.94904459 88.05095541],0
a3,1,0.194435,1.683689,[14 15] ; [81 51],[17.11180124 11.88819876] ; [77.88819876 54.11180124],0
v1,1,0.198097,1.656352,[10 19] ; [61 67],[13.11464968 15.88535032] ; [57.88535032 70.11464968],0
s5,1,0.204517,1.609824,[ 5 24] ; [36 89],[ 7.72077922 21.27922078] ; [33.27922078 91.72077922],0
p12,1,0.222785,1.486344,[ 3 26] ; [  6 125],[ 1.63125 27.36875] ; [  7.36875 123.63125],0
p5,1,0.323508,0.974713,[ 5 24] ; [ 14 117],[ 3.44375 25.55625] ; [ 15.55625 115.44375],0
d2,1,0.33094,0.945217,[ 8 21] ; [49 83],[10.26708075 18.73291925] ; [46.73291925 85.26708075],0
n6,1,0.335521,0.92747,[21  8] ; [107  26],[22.91358025  6.08641975] ; [105.08641975  27.91358025],0
a7,1,0.338068,0.917745,[15 14] ; [81 51],[17.29192547 11.70807453] ; [78.70807453 53.29192547],0
p4,1,0.341201,0.905913,[17 12] ; [64 67],[14.68125 14.31875] ; [66.31875 64.68125],0
p10,1,0.342967,0.899308,[23  6] ; [113  18],[24.65  4.35] ; [111.35  19.65],0
u2,1,0.344675,0.892966,[9 6] ; [24 28],[7.3880597 7.6119403] ; [25.6119403 26.3880597],0
p3,1,0.375984,0.783792,[11 18] ; [62 70],[13.14906832 15.85093168] ; [59.85093168 72.14906832],0
p1,1,0.418832,0.65359,[ 2 27] ; [ 16 116],[ 3.24223602 25.75776398] ; [ 14.75776398 117.24223602],0
s6,1,0.435957,0.606902,[14 15] ; [72 56],[15.88535032 13.11464968] ; [70.11464968 57.88535032],0
b5,1,0.440771,0.594275,[17 12] ; [88 45],[18.7962963 10.2037037] ; [86.2037037 46.7962963],0
v2,1,0.445824,0.581247,[10 19] ; [54 74],[11.82165605 17.17834395] ; [52.17834395 75.82165605],0
d4,1,0.473732,0.513258,[19 10] ; [96 37],[20.58641975  8.41358025] ; [94.41358025 38.58641975],0
d3,1,0.513484,0.426961,[14 15] ; [72 59],[15.5875 13.4125] ; [70.4125 60.5875],0
