Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,9.3e-05,15.281864,[18 21] ; [108  30],[27.76271186 11.23728814] ; [98.23728814 39.76271186],1
r1,1,0.00144,10.154131,[20 20] ; [108  34],[28.13186813 11.86813187] ; [99.86813187 42.13186813],0
p9,1,0.00506,7.857999,[24 15] ; [114  24],[30.40677966  8.59322034] ; [107.59322034  30.40677966],0
r4,1,0.006853,7.310974,[29 11] ; [127  15],[34.28571429  5.71428571] ; [121.71428571  20.28571429],0
b1,1,0.013126,6.152113,[24 16] ; [54 88],[17.14285714 22.85714286] ; [60.85714286 81.14285714],0
a6,1,0.015439,5.865638,[17 23] ; [90 51],[23.64640884 16.35359116] ; [83.35359116 57.64640884],0
b4,1,0.02768,4.847896,[17 23] ; [88 54],[23.07692308 16.92307692] ; [81.92307692 60.07692308],0
r3,1,0.044684,4.030539,[33  7] ; [132  10],[36.26373626  3.73626374] ; [128.73626374  13.26373626],0
v2,1,0.046866,3.950196,[12 28] ; [64 70],[17.47126437 22.52873563] ; [58.52873563 75.47126437],0
n3,1,0.098416,2.731034,[9 6] ; [24  5],[11.25  3.75] ; [21.75  7.25],0
b3,1,0.100818,2.692548,[ 4 16] ; [34 52],[ 7.16981132 12.83018868] ; [30.83018868 55.16981132],0
b2,1,0.100818,2.692548,[ 4 16] ; [34 52],[ 7.16981132 12.83018868] ; [30.83018868 55.16981132],0
p8,1,0.102106,2.672331,[15 25] ; [72 66],[19.5505618 20.4494382] ; [67.4494382 70.5505618],0
n6,1,0.133012,2.256995,[29 11] ; [118  24],[32.30769231  7.69230769] ; [114.69230769  27.30769231],0
u2,1,0.153331,2.038791,[ 9 13] ; [38 27],[11.88505747 10.11494253] ; [35.11494253 29.88505747],0
a2,1,0.162957,1.946567,[ 1 39] ; [ 13 129],[ 3.07692308 36.92307692] ; [ 10.92307692 131.07692308],0
s4,1,0.170145,1.881669,[ 4 36] ; [ 27 113],[ 6.88888889 33.11111111] ; [ 24.11111111 115.88888889],0
a3,1,0.170895,1.875074,[16 22] ; [77 64],[19.74301676 18.25698324] ; [73.25698324 67.74301676],0
s6,1,0.192016,1.702083,[19 21] ; [81 56],[22.59887006 17.40112994] ; [77.40112994 59.59887006],0
a4,1,0.198973,1.649899,[ 5 34] ; [ 31 109],[ 7.84357542 31.15642458] ; [ 28.15642458 111.84357542],0
p3,1,0.219013,1.510828,[12 28] ; [57 83],[15.33333333 24.66666667] ; [53.66666667 86.33333333],0
s8,1,0.267739,1.228297,[10 30] ; [48 92],[12.88888889 27.11111111] ; [45.11111111 94.88888889],0
d4,1,0.300536,1.071813,[17 23] ; [73 68],[19.88950276 20.11049724] ; [70.11049724 70.88950276],0
p1,1,0.30118,1.068963,[ 3 37] ; [ 19 121],[ 4.88888889 35.11111111] ; [ 17.11111111 122.88888889],0
a7,1,0.310184,1.02989,[22 18] ; [90 51],[24.75138122 15.24861878] ; [87.24861878 53.75138122],0
a8,1,0.37563,0.784953,[ 6 30] ; [ 15 119],[ 4.44705882 31.55294118] ; [ 16.55294118 117.44705882],0
a5,1,0.403461,0.697986,[18 22] ; [74 67],[20.33149171 19.66850829] ; [71.66850829 69.33149171],0
n2,1,0.440794,0.594214,[15  2] ; [23  6],[14.04347826  2.95652174] ; [23.95652174  5.04347826],0
s3,1,0.504934,0.44455,[23 16] ; [72 64],[21.17142857 17.82857143] ; [73.82857143 62.17142857],0
s5,1,0.514047,0.42582,[ 9 30] ; [38 96],[10.59537572 28.40462428] ; [36.40462428 97.59537572],0
b5,1,0.536411,0.382232,[25 15] ; [81 61],[23.2967033 16.7032967] ; [82.7032967 59.2967033],0
p7,1,0.554197,0.349853,[21 19] ; [78 57],[22.62857143 17.37142857] ; [76.37142857 58.62857143],0
n4,1,0.564746,0.331554,[25 15] ; [95 46],[26.51933702 13.48066298] ; [93.48066298 47.51933702],0
s1,1,0.591536,0.287952,[ 1 39] ; [  6 131],[ 1.5819209 38.4180791] ; [  5.4180791 131.5819209],0
p6,1,0.597256,0.279154,[11 29] ; [44 94],[12.35955056 27.64044944] ; [42.64044944 95.35955056],0
a1,1,0.616223,0.251211,[ 1 39] ; [  6 136],[ 1.53846154 38.46153846] ; [  5.46153846 136.53846154],0
p5,1,0.616587,0.250694,[ 4 36] ; [ 18 121],[ 4.91620112 35.08379888] ; [ 17.08379888 121.91620112],0
n5,1,0.669916,0.181701,[26 14] ; [96 44],[27.11111111 12.88888889] ; [94.88888889 45.11111111],0
v1,1,0.690602,0.158434,[16 23] ; [62 77],[17.08988764 21.91011236] ; [60.91011236 78.08988764],0
u3,1,0.711729,0.136556,[11 12] ; [34 31],[11.76136364 11.23863636] ; [33.23863636 31.76136364],0
s2,1,0.756141,0.096443,[16 24] ; [59 79],[16.85393258 23.14606742] ; [58.14606742 79.85393258],0
r2,1,0.759868,0.093424,[36  4] ; [130  12],[36.48351648  3.51648352] ; [129.51648352  12.48351648],0
d3,1,0.782693,0.076072,[18 22] ; [60 81],[17.23756906 22.76243094] ; [60.76243094 80.23756906],0
s7,1,0.810512,0.057487,[15 24] ; [54 79],[15.64534884 23.35465116] ; [53.35465116 79.64534884],0
p4,1,0.819249,0.052217,[17 22] ; [63 75],[17.62711864 21.37288136] ; [62.37288136 75.62711864],0
p2,1,0.82061,0.05142,[29 11] ; [104  36],[29.55555556 10.44444444] ; [103.44444444  36.55555556],0
n1,1,0.839602,0.040967,[ 6 10] ; [10 19],[ 5.68888889 10.31111111] ; [10.31111111 18.68888889],0
v3,1,0.955348,0.003135,[13 26] ; [47 92],[13.14606742 25.85393258] ; [46.85393258 92.14606742],0
d2,1,0.996243,2.2e-05,[ 9 31] ; [ 32 110],[ 9.01098901 30.98901099] ; [ 31.98901099 110.01098901],0
