Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3e-06,22.036454,[ 57 110] ; [95 63],[78.10461538 88.89538462] ; [73.89538462 84.10461538],1
r1,1,0.000115,14.866832,[119  60] ; [137  25],[134.38123167  44.61876833] ; [121.61876833  40.38123167],1
p4,1,0.000197,13.860884,[ 53 124] ; [81 82],[ 69.75882353 107.24117647] ; [64.24117647 98.75882353],1
p9,1,0.000348,12.789977,[121  52] ; [138  22],[134.55555556  38.44444444] ; [124.44444444  35.55555556],1
p6,1,0.000422,12.430549,[ 33 143] ; [ 57 102],[ 47.28358209 128.71641791] ; [ 42.71641791 116.28358209],1
p10,1,0.000479,12.196729,[117  59] ; [133  27],[130.95238095  45.04761905] ; [119.04761905  40.95238095],1
r4,1,0.000583,11.828102,[135  44] ; [147  17],[147.16618076  31.83381924] ; [134.83381924  29.16618076],1
s6,1,0.000782,11.28384,[96 82] ; [116  46],[110.98823529  67.01176471] ; [101.01176471  60.98823529],1
r3,1,0.001475,10.109155,[147  31] ; [152  10],[156.53529412  21.46470588] ; [142.46470588  19.53529412],0
s2,1,0.002778,8.947635,[ 68 109] ; [88 73],[81.69230769 95.30769231] ; [74.30769231 86.69230769],0
p8,1,0.002784,8.943571,[ 53 122] ; [73 85],[ 66.21621622 108.78378378] ; [59.78378378 98.21621622],0
p7,1,0.003223,8.676833,[74 99] ; [91 63],[87.29357798 85.70642202] ; [77.70642202 76.29357798],0
v3,1,0.004075,8.250283,[ 46 127] ; [66 93],[ 58.36144578 114.63855422] ; [ 53.63855422 105.36144578],0
p2,1,0.005046,7.863042,[122  56] ; [134  30],[133.23976608  44.76023392] ; [122.76023392  41.23976608],0
r2,1,0.006358,7.445965,[152  24] ; [154   8],[159.33727811  16.66272189] ; [146.66272189  15.33727811],0
s8,1,0.007289,7.200341,[ 55 124] ; [73 90],[ 66.99415205 112.00584795] ; [ 61.00584795 101.99415205],0
a3,1,0.010509,6.546498,[109  69] ; [121  42],[120.05865103  57.94134897] ; [109.94134897  53.05865103],0
p11,1,0.011816,6.338318,[119  60] ; [129  35],[129.42274052  49.57725948] ; [118.57725948  45.42274052],0
s5,1,0.012677,6.213613,[ 37 136] ; [ 54 107],[ 47.13473054 125.86526946] ; [ 43.86526946 117.13473054],0
v4,1,0.012991,6.170297,[154  24] ; [154   9],[160.77419355  17.22580645] ; [147.22580645  15.77419355],0
p5,1,0.020797,5.343723,[  5 172] ; [ 14 149],[  9.89117647 167.10882353] ; [  9.10882353 153.89117647],0
s3,1,0.038133,4.299074,[83 94] ; [92 66],[92.46268657 84.53731343] ; [82.53731343 75.46268657],0
u4,1,0.042535,4.113796,[  1 178] ; [  6 158],[  3.65306122 175.34693878] ; [  3.34693878 160.65306122],0
a5,1,0.044388,4.041745,[114  65] ; [121  43],[122.63848397  56.36151603] ; [112.36151603  51.63848397],0
b1,1,0.054702,3.691137,[ 77 102] ; [ 54 110],[ 68.36443149 110.63556851] ; [ 62.63556851 101.36443149],0
n6,1,0.055291,3.673295,[142  37] ; [142  21],[148.64327485  30.35672515] ; [135.35672515  27.64327485],0
d4,1,0.096414,2.76388,[127  49] ; [131  33],[133.55294118  42.44705882] ; [124.44705882  39.55294118],0
u1,1,0.108721,2.57272,[ 18 161] ; [ 26 138],[ 22.96209913 156.03790087] ; [ 21.03790087 142.96209913],0
u3,1,0.114556,2.490215,[30 40] ; [25 18],[34.07079646 35.92920354] ; [20.92920354 22.07079646],0
p1,1,0.127955,2.317147,[  8 170] ; [ 14 150],[ 11.4502924 166.5497076] ; [ 10.5497076 153.4502924],0
b3,1,0.158901,1.984654,[29 65] ; [44 65],[33.80295567 60.19704433] ; [39.19704433 69.80295567],0
b2,1,0.158901,1.984654,[29 65] ; [44 65],[33.80295567 60.19704433] ; [39.19704433 69.80295567],0
s7,1,0.205258,1.604564,[ 67 105] ; [72 85],[72.66869301 99.33130699] ; [66.33130699 90.66869301],0
a2,1,0.278437,1.174705,[ 36 143] ; [ 41 123],[ 40.18367347 138.81632653] ; [ 36.81632653 127.18367347],0
n4,1,0.29322,1.104779,[145  34] ; [139  24],[148.64327485  30.35672515] ; [135.35672515  27.64327485],0
b5,1,0.314274,1.012627,[104  75] ; [104  60],[108.54810496  70.45189504] ; [99.45189504 64.54810496],0
s1,1,0.369046,0.806873,[  9 166] ; [  5 153],[  7.35735736 167.64264264] ; [  6.64264264 151.35735736],0
s4,1,0.377724,0.778097,[ 30 146] ; [ 22 140],[ 27.07692308 148.92307692] ; [ 24.92307692 137.07692308],0
a1,1,0.39765,0.715422,[ 10 169] ; [  6 158],[  8.34985423 170.65014577] ; [  7.65014577 156.34985423],0
d1,1,0.399771,0.709016,[89 90] ; [89 75],[92.89212828 86.10787172] ; [85.10787172 78.89212828],0
