Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,30.963407,[121  18] ; [99 71],[98.96440129 40.03559871] ; [121.03559871  48.96440129],1
p4,1,2e-06,23.110785,[114  27] ; [96 78],[94. 47.] ; [116.  58.],1
p3,1,6e-06,20.388583,[99 42] ; [78 96],[79.22857143 61.77142857] ; [97.77142857 76.22857143],1
p8,1,2.8e-05,17.517982,[99 43] ; [80 93],[80.69206349 61.30793651] ; [98.30793651 74.69206349],1
p5,1,4.8e-05,16.543496,[ 37 105] ; [ 15 155],[ 23.66666667 118.33333333] ; [ 28.33333333 141.66666667],1
p12,1,0.000199,13.837012,[ 26 116] ; [  9 166],[ 15.67823344 126.32176656] ; [ 19.32176656 155.67823344],1
a1,1,0.005011,7.875606,[ 15 127] ; [  5 170],[  8.95899054 133.04100946] ; [ 11.04100946 163.95899054],0
s5,1,0.005685,7.647574,[76 54] ; [72 98],[64.13333333 65.86666667] ; [83.86666667 86.13333333],0
p1,1,0.01425,6.00692,[ 24 117] ; [ 14 161],[ 16.9556962 124.0443038] ; [ 21.0443038 153.9556962],0
p2,1,0.018096,5.586799,[128  14] ; [141  34],[120.49842271  21.50157729] ; [148.50157729  26.49842271],0
b2,1,0.019279,5.476064,[49 52] ; [40 81],[40.49099099 60.50900901] ; [48.50900901 72.49099099],0
b3,1,0.019279,5.476064,[49 52] ; [40 81],[40.49099099 60.50900901] ; [48.50900901 72.49099099],0
n6,1,0.021103,5.31823,[130  10] ; [146  27],[123.45047923  16.54952077] ; [152.54952077  20.45047923],0
a4,1,0.05993,3.53933,[80 62] ; [80 95],[71.67192429 70.32807571] ; [88.32807571 86.67192429],0
v1,1,0.06791,3.332836,[87 53] ; [87 81],[79.09090909 60.90909091] ; [94.90909091 73.09090909],0
p9,1,0.074134,3.189027,[132  10] ; [151  23],[127.17088608  14.82911392] ; [155.82911392  18.17088608],0
